* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 5, 2024 11:50:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Gate Narrow L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.846	-158.7577
20.600000	96.865	-159.3254
20.900000	96.879	-159.9271
21.200001	96.888	-160.5132
21.400000	96.892	-160.8968
21.799999	96.902	-161.6646
22.000000	96.907	-162.0569
22.400000	96.916	-162.8644
22.700001	96.921	-163.4787
23.000000	96.921	-164.0786
23.299999	96.919	-164.6428
23.600000	96.916	-165.1588
24.000000	96.916	-165.7775
24.299999	96.921	-166.2124
24.700001	96.934	-166.7978
25.000000	96.944	-167.2619
25.400000	96.950	-167.9151
25.799999	96.948	-168.5763
26.200001	96.937	-169.2014
26.500000	96.929	-169.6331
26.900000	96.922	-170.1717
27.200001	96.922	-170.5718
27.600000	96.924	-171.1358
28.000000	96.925	-171.7493
28.500000	96.914	-172.5487
29.000000	96.892	-173.3038
29.500000	96.873	-173.9681
30.000000	96.866	-174.5675
30.400000	96.865	-175.0322
30.700001	96.863	-175.3779
31.100000	96.856	-175.8273
31.500000	96.842	-176.2521
32.000000	96.814	-176.7450
32.500000	96.781	-177.2156
33.000000	96.747	-177.6861
33.500000	96.718	-178.1628
34.000000	96.699	-178.6466
34.500000	96.691	-179.1433
35.000000	96.687	-179.6530
35.500000	96.680	179.8420
36.000000	96.663	179.3660
36.500000	96.637	178.9299
37.000000	96.605	178.5234
37.500000	96.573	178.1229
38.200001	96.538	177.5226
38.700001	96.523	177.0410
39.500000	96.499	176.2211
40.000000	96.472	175.7625
40.599998	96.428	175.3556
41.200001	96.384	175.0928
41.799999	96.351	174.8513
42.500000	96.326	174.4235
43.099998	96.300	173.9261
43.700001	96.264	173.4285
44.400002	96.217	172.9772
45.000000	96.185	172.6754
45.500000	96.164	172.4169
46.200001	96.133	171.9941
46.799999	96.104	171.6039
47.500000	96.071	171.1616
48.200001	96.036	170.7441
48.700001	96.006	170.4707
49.400002	95.959	170.1304
50.000000	95.922	169.8453
50.799999	95.877	169.4157
51.500000	95.835	169.0444
52.200001	95.790	168.7469
53.000000	95.741	168.4294
53.799999	95.689	168.0491
54.500000	95.647	167.7276
55.200001	95.620	167.4757
56.000000	95.605	167.2029
57.000000	95.563	166.7870
58.000000	95.503	166.3936
59.000000	95.483	165.9449
60.000000	95.450	165.4590
60.799999	95.384	165.2877
61.500000	95.321	165.2338
62.200001	95.266	165.0989
63.000000	95.211	164.8390
64.000000	95.155	164.5322
65.000000	95.102	164.2817
66.000000	95.049	164.0562
67.000000	95.003	163.8073
68.000000	94.948	163.5866
