* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 8:24:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Gate Wide R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.653	-160.9180
20.600000	96.664	-161.4772
20.900000	96.667	-162.0671
21.200001	96.661	-162.6257
21.400000	96.653	-162.9704
21.799999	96.638	-163.5908
22.000000	96.634	-163.8771
22.400000	96.643	-164.4535
22.700001	96.660	-164.9337
23.000000	96.682	-165.4772
23.299999	96.701	-166.0751
23.600000	96.714	-166.6962
24.000000	96.716	-167.4926
24.299999	96.711	-168.0308
24.700001	96.700	-168.6620
25.000000	96.692	-169.0898
25.400000	96.683	-169.6400
25.799999	96.675	-170.1976
26.200001	96.668	-170.7720
26.500000	96.665	-171.2132
26.900000	96.666	-171.8150
27.200001	96.669	-172.2753
27.600000	96.673	-172.8870
28.000000	96.672	-173.4638
28.500000	96.659	-174.0819
29.000000	96.637	-174.5856
29.500000	96.612	-175.0644
30.000000	96.581	-175.6174
30.400000	96.551	-176.1240
30.700001	96.526	-176.5202
31.100000	96.498	-177.0396
31.500000	96.482	-177.5322
32.000000	96.481	-178.1193
32.500000	96.488	-178.6872
33.000000	96.487	-179.2116
33.500000	96.471	-179.6570
34.000000	96.448	179.9632
34.500000	96.426	179.5833
35.000000	96.405	179.1476
35.500000	96.383	178.6608
36.000000	96.355	178.1724
36.500000	96.322	177.7257
37.000000	96.290	177.3212
37.500000	96.260	176.9172
38.200001	96.225	176.2626
38.700001	96.200	175.7330
39.500000	96.151	174.9720
40.000000	96.121	174.6496
40.599998	96.094	174.3706
41.200001	96.069	174.0630
41.799999	96.033	173.6613
42.500000	95.981	173.1540
43.099998	95.947	172.7483
43.700001	95.926	172.3621
44.400002	95.902	171.9273
45.000000	95.869	171.5754
45.500000	95.834	171.2864
46.200001	95.780	170.8841
46.799999	95.740	170.5774
47.500000	95.710	170.2745
48.200001	95.687	169.9531
48.700001	95.656	169.6931
49.400002	95.590	169.3262
50.000000	95.531	169.0109
50.799999	95.475	168.5352
51.500000	95.445	168.1346
52.200001	95.427	167.8630
53.000000	95.406	167.6569
53.799999	95.367	167.4315
54.500000	95.325	167.1833
55.200001	95.292	166.8614
56.000000	95.260	166.4553
57.000000	95.211	166.1090
58.000000	95.161	165.7932
59.000000	95.091	165.2846
60.000000	95.011	164.9303
60.799999	94.964	164.8209
61.500000	94.929	164.7096
62.200001	94.890	164.5151
63.000000	94.845	164.2117
64.000000	94.791	163.8977
65.000000	94.729	163.7487
66.000000	94.627	163.5626
67.000000	94.520	163.4009
68.000000	94.502	163.1454
69.000000	94.506	162.6818
70.000000	94.458	162.4297
71.000000	94.397	162.2931
72.000000	94.337	162.0233
73.000000	94.278	161.8116
74.000000	94.231	161.7108
75.000000	94.189	161.5844
76.199997	94.131	161.4019
77.500000	94.057	161.2863
78.800003	93.986	161.1910
80.000000	93.927	161.0741
81.199997	93.875	160.9241
82.500000	93.813	160.7321
83.800003	93.736	160.6276
85.000000	93.674	160.5455
86.199997	93.623	160.3612
87.500000	93.567	160.2053
88.500000	93.520	160.1282
90.000000	93.450	159.9864
91.199997	93.394	159.8857
92.500000	93.333	159.8272
93.800003	93.269	159.8056
95.000000	93.212	159.8128
96.199997	93.157	159.7676
97.500000	93.100	159.6652
98.800003	93.048	159.6028
100.000000	92.997	159.6221
101.500000	92.928	159.6359
103.000000	92.865	159.5865
104.400002	92.810	159.5599
106.000000	92.743	159.5552
107.500000	92.678	159.5923
109.000000	92.610	159.6625
110.599998	92.529	159.7625
112.000000	92.468	159.8960
113.800003	92.400	159.8842
115.000000	92.353	159.8511
117.199997	92.255	160.1655
118.000000	92.217	160.2039
120.599998	92.142	160.0247
122.000000	92.134	160.2009
124.099998	92.121	160.4914
125.000000	92.112	160.6049
126.500000	92.074	160.6724
128.000000	91.992	160.5933
131.500000	91.864	160.7207
132.000000	91.857	160.8221
134.000000	91.813	161.2279
136.000000	91.781	161.2633
138.000000	91.757	161.2901
140.000000	91.729	161.5175
143.000000	91.696	161.7350
145.000000	91.633	162.0688
147.500000	91.602	162.0754
150.000000	91.522	161.9549
152.500000	91.426	162.4316
155.000000	91.360	162.7188
157.500000	91.322	163.2115
160.000000	91.238	163.4060
162.500000	91.177	163.3344
165.000000	91.160	163.6412
167.500000	91.183	163.8904
170.000000	91.152	164.1389
172.500000	91.094	164.2975
175.000000	91.035	164.2025
177.500000	90.960	164.2913
180.000000	90.901	164.3699
182.500000	90.902	164.6927
185.000000	90.893	165.0324
187.500000	90.866	165.2656
190.000000	90.837	165.3814
192.500000	90.803	165.4787
195.000000	90.764	165.6310
197.500000	90.725	165.8037
200.000000	90.689	165.9656
203.000000	90.645	166.0578
206.000000	90.601	166.1667
209.000000	90.563	166.3228
212.000000	90.523	166.4820
214.000000	90.491	166.6413
218.000000	90.430	166.9410
220.000000	90.403	167.0549
224.000000	90.353	167.3457
227.000000	90.317	167.5760
230.000000	90.287	167.8326
233.000000	90.255	168.0851
236.000000	90.213	168.2827
240.000000	90.163	168.5884
243.000000	90.131	168.8423
247.000000	90.090	169.1562
250.000000	90.061	169.3783
254.000000	90.019	169.7359
258.000000	89.982	170.0207
262.000000	89.943	170.3266
265.000000	89.915	170.6014
269.000000	89.885	170.9429
272.000000	89.860	171.1628
276.000000	89.819	171.4626
280.000000	89.780	171.7878
285.000000	89.732	172.1553
290.000000	89.695	172.5445
295.000000	89.672	172.9012
300.000000	89.647	173.2379
304.000000	89.613	173.5832
307.000000	89.588	173.8488
311.000000	89.559	174.1867
315.000000	89.531	174.5021
320.000000	89.499	174.8882
325.000000	89.473	175.2791
330.000000	89.447	175.6608
335.000000	89.421	176.0543
340.000000	89.401	176.4694
345.000000	89.379	176.8609
350.000000	89.355	177.2315
355.000000	89.333	177.5919
360.000000	89.314	177.9531
365.000000	89.293	178.3337
370.000000	89.270	178.7046
375.000000	89.250	179.0816
382.000000	89.223	179.5983
387.000000	89.204	179.9713
395.000000	89.181	-179.4286
400.000000	89.169	-179.0560
406.000000	89.156	-178.5954
412.000000	89.147	-178.1420
418.000000	89.144	-177.6806
425.000000	89.124	-177.1479
431.000000	89.107	-176.7343
437.000000	89.097	-176.3374
444.000000	89.088	-175.8686
450.000000	89.082	-175.4537
455.000000	89.078	-175.0984
462.000000	89.072	-174.6052
468.000000	89.066	-174.2084
475.000000	89.061	-173.7542
482.000000	89.056	-173.3011
487.000000	89.052	-172.9859
494.000000	89.046	-172.5565
500.000000	89.041	-172.1927
508.000000	89.036	-171.6902
515.000000	89.032	-171.2471
522.000000	89.028	-170.8135
530.000000	89.026	-170.3314
538.000000	89.026	-169.8697
545.000000	89.020	-169.4224
552.000000	89.013	-168.9519
560.000000	89.010	-168.4379
570.000000	89.006	-167.8146
580.000000	89.005	-167.1874
590.000000	89.003	-166.5548
600.000000	89.003	-165.9244
608.000000	89.005	-165.4152
615.000000	89.007	-164.9736
622.000000	89.009	-164.5292
630.000000	89.013	-164.0105
640.000000	89.019	-163.3614
650.000000	89.028	-162.7245
660.000000	89.038	-162.0882
670.000000	89.047	-161.4315
680.000000	89.058	-160.7715
690.000000	89.070	-160.1144
700.000000	89.084	-159.4542
710.000000	89.100	-158.7908
720.000000	89.117	-158.1323
730.000000	89.137	-157.4818
740.000000	89.158	-156.8194
750.000000	89.180	-156.1522
762.000000	89.211	-155.3548
775.000000	89.246	-154.4970
788.000000	89.282	-153.6136
800.000000	89.317	-152.7895
812.000000	89.351	-151.9685
825.000000	89.391	-151.0795
838.000000	89.435	-150.1824
850.000000	89.482	-149.3547
862.000000	89.535	-148.5292
875.000000	89.601	-147.6395
885.000000	89.657	-146.9656
900.000000	89.750	-146.0182
912.000000	89.826	-145.3227
925.000000	89.907	-144.6142
938.000000	89.985	-143.9263
950.000000	90.056	-143.2904
962.000000	90.130	-142.6522
975.000000	90.214	-141.9621
988.000000	90.304	-141.2881
1000.000000	90.390	-140.6964
1015.000000	90.501	-139.9938
1030.000000	90.615	-139.3208
1044.000000	90.722	-138.7321
1060.000000	90.847	-138.1140
1075.000000	90.965	-137.5815
1090.000000	91.083	-137.0892
1106.000000	91.208	-136.6102
1120.000000	91.318	-136.2252
1138.000000	91.457	-135.7784
1150.000000	91.547	-135.5117
1172.000000	91.708	-135.0693
1180.000000	91.766	-134.9211
1206.000000	91.948	-134.4872
1220.000000	92.043	-134.2829
1241.000000	92.182	-133.9941
1250.000000	92.241	-133.8763
1265.000000	92.342	-133.6981
1280.000000	92.442	-133.5365
1315.000000	92.669	-133.1744
1320.000000	92.700	-133.1247
1340.000000	92.823	-132.9321
1360.000000	92.943	-132.7414
1380.000000	93.060	-132.5495
1400.000000	93.174	-132.3629
1430.000000	93.342	-132.0791
1450.000000	93.452	-131.8922
1475.000000	93.589	-131.6599
1500.000000	93.725	-131.4306
1525.000000	93.861	-131.2041
1550.000000	93.997	-130.9815
1575.000000	94.133	-130.7740
1600.000000	94.266	-130.5830
1625.000000	94.396	-130.4046
1650.000000	94.523	-130.2430
1675.000000	94.650	-130.0985
1700.000000	94.777	-129.9681
1725.000000	94.903	-129.8507
1750.000000	95.029	-129.7485
1775.000000	95.156	-129.6618
1800.000000	95.282	-129.5891
1825.000000	95.408	-129.5322
1850.000000	95.534	-129.4936
1875.000000	95.660	-129.4706
1900.000000	95.787	-129.4668
1925.000000	95.913	-129.4849
1950.000000	96.040	-129.5242
1975.000000	96.167	-129.5853
2000.000000	96.295	-129.6720
2030.000000	96.450	-129.8114
2060.000000	96.604	-129.9873
2090.000000	96.758	-130.1991
2120.000000	96.909	-130.4510
2140.000000	97.009	-130.6423
2180.000000	97.205	-131.0791
2200.000000	97.301	-131.3211
2240.000000	97.490	-131.8549
2270.000000	97.627	-132.3030
2300.000000	97.759	-132.7901
2330.000000	97.888	-133.3178
2360.000000	98.010	-133.8843
2400.000000	98.165	-134.6924
2430.000000	98.274	-135.3363
2470.000000	98.408	-136.2415
2500.000000	98.501	-136.9523
2540.000000	98.612	-137.9345
2580.000000	98.708	-138.9455
2620.000000	98.786	-139.9663
2650.000000	98.831	-140.7232
2690.000000	98.876	-141.6950
2720.000000	98.897	-142.3753
2760.000000	98.912	-143.1849
2800.000000	98.921	-143.8423
2850.000000	98.943	-144.4282
2900.000000	99.005	-144.8839
2950.000000	99.113	-145.5062
3000.000000	99.228	-146.5079
3040.000000	99.296	-147.5377
3070.000000	99.327	-148.3704
3110.000000	99.341	-149.4832
3150.000000	99.331	-150.5425
3200.000000	99.294	-151.7514
3250.000000	99.238	-152.8212
3300.000000	99.171	-153.7579
3350.000000	99.098	-154.5758
3400.000000	99.021	-155.2896
3450.000000	98.942	-155.9096
3500.000000	98.864	-156.4464
3550.000000	98.787	-156.9091
3600.000000	98.712	-157.3062
3650.000000	98.641	-157.6481
3700.000000	98.573	-157.9474
3750.000000	98.510	-158.2144
3820.000000	98.426	-158.5472
3870.000000	98.369	-158.7608
3950.000000	98.282	-159.0728
4000.000000	98.229	-159.2546
4060.000000	98.162	-159.4662
4120.000000	98.095	-159.6670
4180.000000	98.027	-159.8505
4250.000000	97.952	-160.0421
4310.000000	97.891	-160.1949
4370.000000	97.834	-160.3486
4440.000000	97.772	-160.5466
4500.000000	97.719	-160.7409
4550.000000	97.675	-160.9205
4620.000000	97.610	-161.1939
4680.000000	97.550	-161.4419
4750.000000	97.475	-161.7417
4820.000000	97.391	-162.0335
4870.000000	97.326	-162.2174
4940.000000	97.229	-162.4102
5000.000000	97.145	-162.4970
5080.000000	97.039	-162.4824
5150.000000	96.964	-162.3417
5220.000000	96.924	-162.1834
5300.000000	96.904	-162.2583
5380.000000	96.868	-162.5590
5450.000000	96.818	-162.8294
5520.000000	96.761	-163.0588
5600.000000	96.695	-163.2802
5700.000000	96.616	-163.5139
5800.000000	96.544	-163.7131
5900.000000	96.483	-163.8893
6000.000000	96.436	-164.0613
6080.000000	96.411	-164.2162
6150.000000	96.401	-164.3737
6220.000000	96.403	-164.5614
6300.000000	96.431	-164.8314
6400.000000	96.512	-165.2894
6500.000000	96.629	-165.9314
6600.000000	96.772	-166.8156
6700.000000	96.933	-168.0074
6800.000000	97.107	-169.5782
6900.000000	97.281	-171.5872
7000.000000	97.443	-174.0684
7100.000000	97.577	-177.0462
7200.000000	97.666	179.4768
7300.000000	97.691	175.5089
7400.000000	97.625	171.1241
7500.000000	97.448	166.4938
7620.000000	97.083	160.9090
7750.000000	96.517	155.1595
7880.000000	95.809	149.9561
8000.000000	95.048	145.6797
8120.000000	94.183	141.8230
8250.000000	93.144	138.0195
8380.000000	91.999	134.6636
8500.000000	90.834	132.2309
8620.000000	89.584	130.7979
8750.000000	88.197	130.6420
8850.000000	87.159	131.4830
9000.000000	85.721	133.9301
9120.000000	84.696	136.5552
9250.000000	83.708	139.7504
9380.000000	82.829	143.1183
9500.000000	82.095	146.2785
9620.000000	81.423	149.4570
9750.000000	80.755	152.9290
9880.000000	80.138	156.4398
10000.000000	79.607	159.7278
10150.000000	78.994	163.9604
10300.000000	78.432	168.4362
10440.000000	77.957	172.9090
10600.000000	77.489	178.5398
10750.000000	77.164	-175.4482
10900.000000	77.028	-168.6517
11060.000000	77.209	-160.9688
11200.000000	77.708	-154.8181
11380.000000	78.716	-149.4562
11500.000000	79.462	-147.9718
11720.000000	80.645	-148.6685
11800.000000	80.981	-149.5231
12060.000000	81.798	-152.5657
12200.000000	82.165	-153.8967
12410.000000	82.778	-155.4674
12500.000000	83.096	-156.0646
12650.000000	83.730	-157.0942
12800.000000	84.520	-158.3423
13150.000000	87.186	-163.7067
13200.000000	87.693	-165.0121
13400.000000	90.108	-172.8327
13600.000000	92.957	172.5380
13800.000000	95.381	148.2921
14000.000000	96.182	116.6486
14300.000000	93.763	73.1561
14500.000000	91.060	53.8315
14750.000000	88.051	37.9356
15000.000000	85.909	25.9923
15250.000000	84.498	14.6682
15500.000000	83.634	2.3578
15750.000000	83.205	-11.9241
16000.000000	83.168	-29.0443
16250.000000	83.439	-49.7679
16500.000000	83.734	-74.5481
16750.000000	83.732	-103.1016
17000.000000	83.208	-134.2178
17250.000000	82.121	-166.3533
17500.000000	80.608	161.5457
17750.000000	78.870	129.5944
18000.000000	77.066	97.1569
18250.000000	75.279	63.1644
18500.000000	73.532	26.5146
18750.000000	71.775	-13.9691
19000.000000	69.906	-59.3655
19250.000000	67.796	-110.5786
19500.000000	65.314	-168.9260
19750.000000	62.448	122.5646
20000.000000	60.042	51.7727
