* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 7:56:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Hexa CP145 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.143	-5.6168
20.600000	96.109	-6.0955
20.900000	96.061	-6.5622
21.200001	96.012	-6.9657
21.400000	95.983	-7.2059
21.799999	95.937	-7.6636
22.000000	95.920	-7.9041
22.400000	95.891	-8.4431
22.700001	95.867	-8.8938
23.000000	95.834	-9.3560
23.299999	95.793	-9.7954
23.600000	95.746	-10.1858
24.000000	95.683	-10.6220
24.299999	95.641	-10.9080
24.700001	95.595	-11.2868
25.000000	95.564	-11.5955
25.400000	95.522	-12.0439
25.799999	95.475	-12.5015
26.200001	95.421	-12.9239
26.500000	95.381	-13.2046
26.900000	95.330	-13.5397
27.200001	95.294	-13.7782
27.600000	95.248	-14.1006
28.000000	95.202	-14.4359
28.500000	95.143	-14.8627
29.000000	95.087	-15.2887
29.500000	95.034	-15.7281
30.000000	94.981	-16.1905
30.400000	94.932	-16.5533
30.700001	94.891	-16.7971
31.100000	94.833	-17.0599
31.500000	94.779	-17.2491
32.000000	94.725	-17.4362
32.500000	94.684	-17.6593
33.000000	94.642	-17.9592
33.500000	94.588	-18.2803
34.000000	94.524	-18.5411
34.500000	94.462	-18.7298
35.000000	94.409	-18.9158
35.500000	94.359	-19.1620
36.000000	94.301	-19.4528
36.500000	94.235	-19.7209
37.000000	94.170	-19.9293
37.500000	94.116	-20.1011
38.200001	94.055	-20.3392
38.700001	94.016	-20.4977
39.500000	93.961	-20.7124
40.000000	93.925	-20.8620
40.599998	93.866	-21.0634
41.200001	93.788	-21.2145
41.799999	93.711	-21.2942
42.500000	93.644	-21.4421
43.099998	93.591	-21.6857
43.700001	93.530	-21.9274
44.400002	93.458	-22.0762
45.000000	93.406	-22.1514
45.500000	93.364	-22.2341
46.200001	93.299	-22.3560
46.799999	93.250	-22.4476
47.500000	93.200	-22.5941
48.200001	93.136	-22.7435
48.700001	93.081	-22.7875
49.400002	93.005	-22.8004
50.000000	92.948	-22.8666
50.799999	92.880	-23.0240
51.500000	92.839	-23.1190
52.200001	92.807	-23.1464
53.000000	92.753	-23.0624
53.799999	92.683	-22.8969
54.500000	92.626	-22.8682
55.200001	92.582	-23.0319
56.000000	92.546	-23.3494
57.000000	92.502	-23.6593
58.000000	92.446	-23.7092
59.000000	92.375	-23.7655
60.000000	92.274	-23.7898
60.799999	92.201	-23.6560
61.500000	92.153	-23.5305
62.200001	92.111	-23.4511
63.000000	92.061	-23.4091
64.000000	91.989	-23.4184
65.000000	91.920	-23.3959
66.000000	91.896	-23.4544
67.000000	91.869	-23.6509
68.000000	91.799	-23.5189
69.000000	91.729	-23.1641
70.000000	91.656	-23.0766
71.000000	91.582	-23.1293
72.000000	91.533	-23.1263
73.000000	91.494	-23.0305
74.000000	91.454	-22.8460
75.000000	91.419	-22.7167
76.199997	91.370	-22.6827
77.500000	91.293	-22.6364
78.800003	91.205	-22.5512
80.000000	91.148	-22.5029
81.199997	91.091	-22.4489
