* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 7:59:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Hexa CP145 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.808	-4.1944
20.600000	96.779	-4.7193
20.900000	96.743	-5.2482
21.200001	96.706	-5.7226
21.400000	96.685	-6.0080
21.799999	96.652	-6.5269
22.000000	96.640	-6.7739
22.400000	96.620	-7.2704
22.700001	96.603	-7.6533
23.000000	96.580	-8.0410
23.299999	96.551	-8.4233
23.600000	96.515	-8.7918
24.000000	96.463	-9.2604
24.299999	96.425	-9.6047
24.700001	96.377	-10.0775
25.000000	96.344	-10.4539
25.400000	96.302	-10.9856
25.799999	96.261	-11.5300
26.200001	96.220	-12.0506
26.500000	96.190	-12.4043
26.900000	96.151	-12.8109
27.200001	96.122	-13.0678
27.600000	96.086	-13.3632
28.000000	96.050	-13.6359
28.500000	96.000	-13.9954
29.000000	95.938	-14.4061
29.500000	95.867	-14.8562
30.000000	95.794	-15.3073
30.400000	95.744	-15.6491
30.700001	95.713	-15.8935
31.100000	95.682	-16.2112
31.500000	95.658	-16.5298
32.000000	95.626	-16.9331
32.500000	95.582	-17.3226
33.000000	95.523	-17.6702
33.500000	95.458	-17.9759
34.000000	95.398	-18.2783
34.500000	95.345	-18.6184
35.000000	95.292	-18.9864
35.500000	95.234	-19.3205
36.000000	95.173	-19.5687
36.500000	95.117	-19.7506
37.000000	95.068	-19.9427
37.500000	95.023	-20.2007
38.200001	94.956	-20.6294
38.700001	94.911	-20.9118
39.500000	94.851	-21.3101
40.000000	94.807	-21.5495
40.599998	94.736	-21.7778
41.200001	94.656	-21.8900
41.799999	94.591	-21.9667
42.500000	94.538	-22.1994
43.099998	94.498	-22.5222
43.700001	94.460	-22.8444
44.400002	94.413	-23.1411
45.000000	94.358	-23.2944
45.500000	94.295	-23.3146
46.200001	94.201	-23.2576
46.799999	94.132	-23.3666
47.500000	94.059	-23.8214
48.200001	94.008	-24.3807
48.700001	94.003	-24.7227
49.400002	94.015	-25.1320
50.000000	93.986	-25.3332
50.799999	93.866	-25.0955
51.500000	93.759	-24.6316
52.200001	93.694	-24.5241
53.000000	93.637	-24.9607
53.799999	93.580	-25.4647
54.500000	93.531	-25.6678
55.200001	93.482	-25.6675
56.000000	93.421	-25.5864
57.000000	93.330	-25.5377
58.000000	93.226	-25.5574
59.000000	93.120	-25.6937
60.000000	93.040	-25.8560
60.799999	93.016	-25.9927
61.500000	93.005	-26.1520
62.200001	92.976	-26.2997
63.000000	92.918	-26.3745
64.000000	92.834	-26.3432
65.000000	92.764	-26.3194
66.000000	92.705	-26.3894
67.000000	92.645	-26.5474
68.000000	92.579	-26.6236
69.000000	92.519	-26.5381
70.000000	92.453	-26.4431
71.000000	92.376	-26.4155
72.000000	92.308	-26.4603
73.000000	92.252	-26.5024
74.000000	92.200	-26.4667
75.000000	92.144	-26.4020
76.199997	92.073	-26.3644
77.500000	91.995	-26.3365
78.800003	91.921	-26.3417
80.000000	91.860	-26.3846
81.199997	91.798	-26.3682
82.500000	91.725	-26.2829
83.800003	91.661	-26.2551
85.000000	91.598	-26.2179
86.199997	91.533	-26.1024
87.500000	91.469	-25.9970
88.500000	91.423	-25.9124
90.000000	91.351	-25.7699
91.199997	91.291	-25.6845
92.500000	91.227	-25.5839
93.800003	91.172	-25.4455
95.000000	91.128	-25.3421
96.199997	91.078	-25.2694
97.500000	91.004	-25.2038
98.800003	90.923	-25.1367
100.000000	90.865	-25.0576
101.500000	90.815	-24.8321
103.000000	90.775	-24.7574
104.400002	90.731	-24.9773
106.000000	90.668	-24.8527
107.500000	90.589	-24.3083
109.000000	90.501	-23.8820
110.599998	90.434	-23.5930
112.000000	90.381	-23.2857
113.800003	90.315	-22.7491
115.000000	90.280	-22.4331
117.199997	90.237	-21.9432
118.000000	90.224	-21.8435
120.599998	90.202	-21.1527
122.000000	90.214	-20.7275
124.099998	90.240	-20.4977
125.000000	90.221	-20.4846
126.500000	90.204	-20.4221
128.000000	90.279	-20.1430
131.500000	90.292	-20.5378
132.000000	90.269	-20.7182
134.000000	90.198	-21.0319
136.000000	90.148	-20.9814
138.000000	90.073	-20.8096
140.000000	90.012	-20.7501
143.000000	89.906	-20.4651
145.000000	89.896	-20.3457
147.500000	89.866	-20.1930
150.000000	89.793	-19.9324
152.500000	89.724	-19.5591
155.000000	89.679	-19.1525
157.500000	89.641	-18.7391
160.000000	89.612	-18.5108
162.500000	89.604	-18.4753
165.000000	89.566	-18.2545
167.500000	89.516	-18.1700
170.000000	89.505	-18.0505
172.500000	89.486	-17.7796
175.000000	89.437	-17.5841
177.500000	89.364	-17.5690
180.000000	89.289	-17.6543
182.500000	89.257	-17.2109
185.000000	89.238	-16.7702
187.500000	89.206	-16.4697
190.000000	89.174	-16.2494
192.500000	89.145	-16.0628
195.000000	89.110	-15.8551
197.500000	89.074	-15.5616
200.000000	89.053	-15.2529
203.000000	89.027	-15.0356
206.000000	88.995	-14.8745
209.000000	88.972	-14.6287
212.000000	88.961	-14.4240
214.000000	88.948	-14.3072
218.000000	88.907	-14.0393
220.000000	88.886	-13.9047
224.000000	88.847	-13.6242
227.000000	88.819	-13.4086
230.000000	88.787	-13.1589
233.000000	88.758	-12.9691
236.000000	88.738	-12.7569
240.000000	88.716	-12.4458
243.000000	88.699	-12.2234
247.000000	88.670	-11.9471
250.000000	88.649	-11.7585
254.000000	88.625	-11.5090
258.000000	88.600	-11.1730
262.000000	88.572	-10.8749
265.000000	88.552	-10.6778
269.000000	88.530	-10.4252
272.000000	88.512	-10.2233
276.000000	88.495	-9.9859
280.000000	88.478	-9.7876
285.000000	88.447	-9.5279
290.000000	88.412	-9.2668
295.000000	88.384	-8.9912
300.000000	88.359	-8.7123
304.000000	88.333	-8.4342
307.000000	88.316	-8.2457
311.000000	88.295	-8.0056
315.000000	88.276	-7.7511
320.000000	88.250	-7.4370
325.000000	88.221	-7.1326
330.000000	88.195	-6.8429
335.000000	88.171	-6.5441
340.000000	88.149	-6.2505
345.000000	88.130	-5.9644
350.000000	88.110	-5.6627
355.000000	88.088	-5.3745
360.000000	88.068	-5.0907
365.000000	88.047	-4.8142
