* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 8:02:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Hexa Divinus L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.206	-5.0844
20.600000	96.202	-5.5122
20.900000	96.190	-6.0311
21.200001	96.167	-6.5863
21.400000	96.143	-6.9496
21.799999	96.081	-7.5914
22.000000	96.047	-7.8512
22.400000	95.983	-8.2562
22.700001	95.946	-8.5082
23.000000	95.919	-8.7747
23.299999	95.897	-9.0959
23.600000	95.875	-9.4832
24.000000	95.835	-10.0699
24.299999	95.798	-10.5186
24.700001	95.743	-11.0724
25.000000	95.702	-11.4393
25.400000	95.654	-11.8745
25.799999	95.613	-12.2759
26.200001	95.574	-12.6632
26.500000	95.543	-12.9451
26.900000	95.496	-13.3028
27.200001	95.457	-13.5532
27.600000	95.401	-13.8608
28.000000	95.342	-14.1389
28.500000	95.272	-14.4531
29.000000	95.213	-14.7566
29.500000	95.163	-15.0851
30.000000	95.114	-15.4422
30.400000	95.070	-15.7234
30.700001	95.035	-15.9209
31.100000	94.989	-16.1770
31.500000	94.947	-16.4610
32.000000	94.897	-16.9088
32.500000	94.841	-17.4329
33.000000	94.776	-17.9035
33.500000	94.713	-18.2051
34.000000	94.664	-18.3491
34.500000	94.626	-18.4444
35.000000	94.587	-18.5880
35.500000	94.539	-18.8190
36.000000	94.488	-19.1488
36.500000	94.436	-19.5615
37.000000	94.382	-19.9733
37.500000	94.326	-20.2484
38.200001	94.257	-20.2922
38.700001	94.218	-20.2138
39.500000	94.142	-20.2610
40.000000	94.074	-20.4152
40.599998	93.991	-20.6265
41.200001	93.931	-20.8352
41.799999	93.887	-21.0344
42.500000	93.826	-21.1620
43.099998	93.763	-21.1507
43.700001	93.702	-21.1446
44.400002	93.637	-21.2983
45.000000	93.582	-21.5192
45.500000	93.536	-21.6636
46.200001	93.478	-21.7336
46.799999	93.428	-21.7433
47.500000	93.357	-21.8263
48.200001	93.271	-22.0126
48.700001	93.212	-22.1914
49.400002	93.144	-22.4955
50.000000	93.093	-22.7616
50.799999	93.020	-22.9747
51.500000	92.962	-23.0574
52.200001	92.912	-23.2559
53.000000	92.853	-23.6287
53.799999	92.817	-23.8306
54.500000	92.823	-23.7418
55.200001	92.834	-23.4593
56.000000	92.806	-23.0427
57.000000	92.695	-22.7779
58.000000	92.578	-22.8855
59.000000	92.566	-23.2273
60.000000	92.535	-23.5472
60.799999	92.443	-23.3768
61.500000	92.368	-23.1247
62.200001	92.316	-23.0746
63.000000	92.270	-23.1389
64.000000	92.210	-23.0278
65.000000	92.132	-22.9243
66.000000	92.072	-23.2668
67.000000	92.028	-23.7849
68.000000	91.976	-23.6101
69.000000	91.927	-23.0887
70.000000	91.857	-22.9324
71.000000	91.795	-22.9363
72.000000	91.754	-22.8265
73.000000	91.710	-22.6426
74.000000	91.656	-22.5740
75.000000	91.606	-22.5678
76.199997	91.554	-22.4942
77.500000	91.492	-22.3626
78.800003	91.438	-22.3008
80.000000	91.384	-22.2400
81.199997	91.326	-22.1286
82.500000	91.267	-22.0068
83.800003	91.213	-21.8989
85.000000	91.167	-21.8042
86.199997	91.122	-21.6871
87.500000	91.072	-21.5745
88.500000	91.033	-21.4966
90.000000	90.979	-21.3599
91.199997	90.936	-21.2302
92.500000	90.891	-21.1034
93.800003	90.847	-20.9805
95.000000	90.809	-20.8726
96.199997	90.770	-20.7547
97.500000	90.730	-20.6121
98.800003	90.691	-20.4633
100.000000	90.653	-20.3538
101.500000	90.602	-20.2190
103.000000	90.562	-20.0754
104.400002	90.528	-19.9215
106.000000	90.489	-19.7526
107.500000	90.448	-19.6119
