* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 8:05:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Hexa Divinus R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.038	-2.7817
20.600000	97.007	-3.1949
20.900000	96.968	-3.5985
21.200001	96.931	-3.9791
21.400000	96.908	-4.2342
21.799999	96.871	-4.7775
22.000000	96.855	-5.0709
22.400000	96.824	-5.6908
22.700001	96.801	-6.1638
23.000000	96.777	-6.6230
23.299999	96.753	-7.0559
23.600000	96.730	-7.4599
24.000000	96.702	-7.9654
24.299999	96.681	-8.3336
24.700001	96.650	-8.8243
25.000000	96.623	-9.1905
25.400000	96.578	-9.6589
25.799999	96.530	-10.0842
26.200001	96.484	-10.4678
26.500000	96.455	-10.7472
26.900000	96.423	-11.1423
27.200001	96.400	-11.4672
27.600000	96.365	-11.9243
28.000000	96.322	-12.3673
28.500000	96.265	-12.8511
29.000000	96.215	-13.2849
29.500000	96.169	-13.7503
30.000000	96.113	-14.2543
30.400000	96.058	-14.6224
30.700001	96.014	-14.8461
31.100000	95.964	-15.0785
31.500000	95.926	-15.2861
32.000000	95.892	-15.6047
32.500000	95.854	-16.0035
33.000000	95.803	-16.3951
33.500000	95.749	-16.7158
34.000000	95.705	-17.0110
34.500000	95.667	-17.3540
35.000000	95.620	-17.7265
35.500000	95.564	-18.0347
36.000000	95.512	-18.2325
36.500000	95.474	-18.3863
37.000000	95.446	-18.6001
37.500000	95.414	-18.9093
38.200001	95.351	-19.4039
38.700001	95.300	-19.7265
39.500000	95.227	-20.1843
40.000000	95.182	-20.4498
40.599998	95.119	-20.7171
41.200001	95.050	-20.8900
41.799999	94.985	-20.9940
42.500000	94.923	-21.1475
43.099998	94.875	-21.3737
43.700001	94.826	-21.6480
44.400002	94.764	-21.9203
45.000000	94.715	-22.0864
45.500000	94.676	-22.2099
46.200001	94.620	-22.4103
46.799999	94.569	-22.6076
47.500000	94.509	-22.8315
48.200001	94.455	-23.0140
48.700001	94.419	-23.1137
49.400002	94.369	-23.2343
50.000000	94.320	-23.3546
50.799999	94.243	-23.5593
51.500000	94.174	-23.7460
52.200001	94.114	-23.9006
53.000000	94.052	-24.0197
53.799999	93.985	-24.0840
54.500000	93.924	-24.1411
55.200001	93.872	-24.2751
56.000000	93.822	-24.5224
57.000000	93.762	-24.7130
58.000000	93.701	-24.7021
59.000000	93.621	-24.8042
60.000000	93.529	-24.9562
60.799999	93.480	-25.0510
61.500000	93.449	-25.1535
62.200001	93.412	-25.2631
63.000000	93.357	-25.3642
64.000000	93.284	-25.3943
65.000000	93.220	-25.3665
66.000000	93.137	-25.3991
67.000000	93.040	-25.3487
68.000000	92.992	-25.3176
69.000000	92.969	-25.4622
70.000000	92.925	-25.6092
71.000000	92.861	-25.6942
72.000000	92.794	-25.7362
73.000000	92.734	-25.7388
74.000000	92.675	-25.7206
75.000000	92.619	-25.7226
76.199997	92.557	-25.7401
77.500000	92.484	-25.6662
78.800003	92.411	-25.6145
80.000000	92.351	-25.6377
