* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 7:26:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Hexa Foam R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.319	-4.6048
20.600000	96.299	-5.0521
20.900000	96.273	-5.5460
21.200001	96.242	-6.0504
21.400000	96.220	-6.3897
21.799999	96.173	-7.0662
22.000000	96.148	-7.3965
22.400000	96.094	-8.0198
22.700001	96.053	-8.4408
23.000000	96.014	-8.8193
23.299999	95.978	-9.1656
23.600000	95.948	-9.4985
24.000000	95.915	-9.9551
24.299999	95.891	-10.3195
24.700001	95.858	-10.8264
25.000000	95.828	-11.2040
25.400000	95.786	-11.6780
25.799999	95.742	-12.1089
26.200001	95.699	-12.5078
26.500000	95.667	-12.7951
26.900000	95.620	-13.1648
27.200001	95.584	-13.4273
27.600000	95.535	-13.7537
28.000000	95.491	-14.0683
28.500000	95.447	-14.4997
29.000000	95.407	-15.0151
29.500000	95.352	-15.5586
30.000000	95.280	-15.9964
30.400000	95.219	-16.2161
30.700001	95.178	-16.3238
31.100000	95.135	-16.4633
31.500000	95.102	-16.6837
32.000000	95.058	-17.1291
32.500000	94.996	-17.6799
33.000000	94.922	-18.1778
33.500000	94.857	-18.5423
34.000000	94.812	-18.8198
34.500000	94.781	-19.0938
35.000000	94.744	-19.3858
35.500000	94.693	-19.6559
36.000000	94.632	-19.8760
36.500000	94.571	-20.0761
37.000000	94.517	-20.3192
37.500000	94.466	-20.6424
38.200001	94.390	-21.1672
38.700001	94.330	-21.4897
39.500000	94.240	-21.8078
40.000000	94.194	-21.9393
40.599998	94.143	-22.1194
41.200001	94.085	-22.3315
41.799999	94.024	-22.5341
42.500000	93.960	-22.7469
43.099998	93.909	-22.9247
43.700001	93.859	-23.0939
44.400002	93.801	-23.2909
45.000000	93.750	-23.4884
45.500000	93.705	-23.6657
46.200001	93.639	-23.8822
46.799999	93.584	-24.0228
47.500000	93.519	-24.1545
48.200001	93.452	-24.2593
48.700001	93.406	-24.3294
49.400002	93.348	-24.4508
50.000000	93.302	-24.5769
50.799999	93.245	-24.7678
51.500000	93.192	-24.9716
52.200001	93.126	-25.1348
53.000000	93.050	-25.1781
53.799999	92.990	-25.2519
54.500000	92.928	-25.4343
55.200001	92.862	-25.5945
56.000000	92.807	-25.7154
57.000000	92.744	-25.7948
58.000000	92.657	-25.7630
59.000000	92.539	-26.1118
60.000000	92.402	-26.4327
60.799999	92.371	-26.3146
61.500000	92.389	-26.1856
62.200001	92.386	-26.1398
63.000000	92.335	-26.1392
64.000000	92.245	-26.2062
65.000000	92.173	-26.2655
66.000000	92.120	-26.2410
67.000000	92.061	-26.2104
68.000000	91.995	-26.2588
69.000000	91.925	-26.3193
70.000000	91.861	-26.2954
71.000000	91.807	-26.2673
72.000000	91.754	-26.3012
73.000000	91.694	-26.3236
74.000000	91.635	-26.2785
75.000000	91.578	-26.2064
76.199997	91.508	-26.1268
77.500000	91.435	-26.1083
78.800003	91.366	-26.1071
80.000000	91.309	-26.0596
81.199997	91.253	-26.0251
82.500000	91.186	-25.9616
83.800003	91.114	-25.8293
85.000000	91.053	-25.7451
86.199997	90.996	-25.6904
87.500000	90.939	-25.6059
88.500000	90.899	-25.5491
90.000000	90.835	-25.4834
91.199997	90.783	-25.3930
92.500000	90.728	-25.2609
