* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 7:08:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Hexa Narrow Bore L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.049	-5.7583
20.600000	96.028	-6.1370
20.900000	96.004	-6.5507
21.200001	95.980	-6.9769
21.400000	95.961	-7.2627
21.799999	95.916	-7.8120
22.000000	95.891	-8.0641
22.400000	95.840	-8.5154
22.700001	95.804	-8.8241
23.000000	95.772	-9.1362
23.299999	95.743	-9.4769
23.600000	95.715	-9.8585
24.000000	95.671	-10.4173
24.299999	95.633	-10.8441
24.700001	95.576	-11.3717
25.000000	95.533	-11.7152
25.400000	95.479	-12.1081
25.799999	95.434	-12.4706
26.200001	95.395	-12.8621
26.500000	95.366	-13.1957
26.900000	95.319	-13.6843
27.200001	95.277	-14.0574
27.600000	95.215	-14.5169
28.000000	95.154	-14.9024
28.500000	95.090	-15.2923
29.000000	95.036	-15.6374
29.500000	94.979	-15.9618
30.000000	94.912	-16.2350
30.400000	94.858	-16.4146
30.700001	94.821	-16.5527
31.100000	94.779	-16.7894
31.500000	94.742	-17.1165
32.000000	94.689	-17.6028
32.500000	94.626	-18.0234
33.000000	94.564	-18.2555
33.500000	94.516	-18.3339
34.000000	94.478	-18.4026
34.500000	94.433	-18.5753
35.000000	94.371	-18.8674
35.500000	94.295	-19.2260
36.000000	94.217	-19.5714
36.500000	94.151	-19.8208
37.000000	94.103	-19.9298
37.500000	94.073	-19.9335
38.200001	94.026	-19.9136
38.700001	93.965	-19.9148
39.500000	93.842	-19.8804
40.000000	93.791	-19.9263
40.599998	93.771	-20.2365
41.200001	93.761	-20.7865
41.799999	93.727	-21.3028
42.500000	93.661	-21.6193
43.099998	93.595	-21.7248
43.700001	93.524	-21.8105
44.400002	93.442	-21.9358
45.000000	93.380	-22.0665
45.500000	93.333	-22.1878
46.200001	93.264	-22.3390
46.799999	93.203	-22.4214
47.500000	93.140	-22.4735
48.200001	93.092	-22.5191
48.700001	93.068	-22.5756
49.400002	93.035	-22.7010
50.000000	92.992	-22.8007
50.799999	92.919	-22.8188
51.500000	92.855	-22.7899
52.200001	92.794	-22.8556
53.000000	92.715	-23.0239
53.799999	92.638	-23.1293
54.500000	92.595	-23.1303
55.200001	92.580	-23.1485
56.000000	92.569	-23.3257
57.000000	92.501	-23.5282
58.000000	92.400	-23.1708
59.000000	92.330	-22.7318
60.000000	92.240	-22.7676
60.799999	92.158	-22.9420
61.500000	92.110	-23.1031
62.200001	92.079	-23.2415
63.000000	92.044	-23.2973
64.000000	91.984	-23.1821
65.000000	91.910	-23.0656
66.000000	91.813	-23.1040
67.000000	91.711	-23.0416
68.000000	91.668	-22.9542
69.000000	91.648	-23.0530
70.000000	91.611	-23.0522
71.000000	91.572	-22.9553
72.000000	91.524	-22.8818
73.000000	91.469	-22.8080
74.000000	91.416	-22.7645
75.000000	91.364	-22.7184
76.199997	91.307	-22.5819
77.500000	91.243	-22.4191
78.800003	91.179	-22.2979
80.000000	91.133	-22.2093
81.199997	91.081	-22.0956
82.500000	91.014	-21.9302
83.800003	90.954	-21.7833
85.000000	90.915	-21.6965
86.199997	90.877	-21.6519
87.500000	90.836	-21.5667
88.500000	90.803	-21.4830
90.000000	90.749	-21.2840
91.199997	90.710	-21.1194
92.500000	90.673	-20.9548
93.800003	90.633	-20.8009
95.000000	90.586	-20.7215
96.199997	90.538	-20.6039
97.500000	90.498	-20.4293
98.800003	90.462	-20.2854
100.000000	90.427	-20.1938
101.500000	90.381	-20.0795
103.000000	90.345	-19.9359
104.400002	90.310	-19.7422
106.000000	90.258	-19.5231
107.500000	90.205	-19.3887
109.000000	90.163	-19.2802
110.599998	90.124	-19.1121
112.000000	90.088	-18.8337
113.800003	90.035	-18.5163
115.000000	90.009	-18.4211
117.199997	89.987	-18.2057
118.000000	89.974	-18.0820
120.599998	89.897	-17.7594
122.000000	89.866	-17.7100
124.099998	89.816	-17.4475
125.000000	89.789	-17.3364
126.500000	89.749	-17.2237
128.000000	89.729	-17.0644
131.500000	89.708	-16.4656
132.000000	89.699	-16.4034
134.000000	89.658	-16.2531
136.000000	89.652	-16.0952
138.000000	89.625	-15.9867
140.000000	89.575	-16.1182
143.000000	89.537	-15.7578
145.000000	89.507	-15.2535
147.500000	89.465	-15.0559
150.000000	89.440	-14.9122
152.500000	89.408	-14.5810
155.000000	89.371	-14.1075
157.500000	89.345	-13.7768
160.000000	89.321	-13.4955
162.500000	89.309	-13.1453
165.000000	89.280	-12.6631
167.500000	89.240	-12.0756
170.000000	89.251	-11.8522
172.500000	89.313	-11.8116
175.000000	89.326	-11.7757
177.500000	89.321	-11.6841
180.000000	89.309	-11.6026
182.500000	89.284	-11.5920
185.000000	89.253	-11.5774
187.500000	89.225	-11.4999
190.000000	89.195	-11.3955
192.500000	89.164	-11.2423
195.000000	89.133	-11.0774
197.500000	89.104	-10.9254
200.000000	89.075	-10.7877
203.000000	89.045	-10.6023
206.000000	89.024	-10.3792
209.000000	89.009	-10.1627
212.000000	88.988	-9.8903
214.000000	88.969	-9.7475
218.000000	88.938	-9.4845
220.000000	88.925	-9.3373
224.000000	88.899	-9.0658
227.000000	88.877	-8.8754
230.000000	88.854	-8.6959
233.000000	88.832	-8.4810
236.000000	88.816	-8.2829
240.000000	88.796	-8.0369
243.000000	88.780	-7.8495
247.000000	88.759	-7.6182
250.000000	88.742	-7.4140
254.000000	88.721	-7.1335
258.000000	88.697	-6.8959
262.000000	88.674	-6.6253
265.000000	88.656	-6.4245
269.000000	88.634	-6.1235
272.000000	88.620	-5.9164
276.000000	88.599	-5.6930
280.000000	88.577	-5.4429
285.000000	88.550	-5.1053
290.000000	88.525	-4.7658
295.000000	88.497	-4.4924
300.000000	88.463	-4.2430
304.000000	88.454	-3.8739
307.000000	88.452	-3.5825
311.000000	88.449	-3.2019
315.000000	88.447	-2.8107
320.000000	88.447	-2.3849
325.000000	88.452	-2.0355
330.000000	88.463	-1.7199
335.000000	88.471	-1.5008
340.000000	88.482	-1.3212
345.000000	88.487	-1.1338
350.000000	88.478	-0.9594
355.000000	88.463	-0.8046
360.000000	88.449	-0.6557
365.000000	88.438	-0.4619
370.000000	88.427	-0.2754
375.000000	88.415	-0.0655
382.000000	88.396	0.2820
387.000000	88.379	0.5177
395.000000	88.358	0.9119
400.000000	88.348	1.1692
406.000000	88.337	1.4759
412.000000	88.322	1.8046
418.000000	88.302	2.2087
425.000000	88.295	2.5226
431.000000	88.297	2.6996
437.000000	88.292	2.9478
444.000000	88.281	3.2590
450.000000	88.273	3.5296
455.000000	88.266	3.7526
462.000000	88.255	4.0618
468.000000	88.245	4.3367
475.000000	88.233	4.6551
