* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 7:36:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Hexa Narrow Bore R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	96.874	-3.1424
20.600000	96.845	-3.4998
20.900000	96.813	-3.9089
21.200001	96.783	-4.3611
21.400000	96.763	-4.6872
21.799999	96.724	-5.3759
22.000000	96.703	-5.7210
22.400000	96.662	-6.3717
22.700001	96.634	-6.8103
23.000000	96.610	-7.2136
23.299999	96.589	-7.6012
23.600000	96.570	-7.9929
24.000000	96.541	-8.5362
24.299999	96.515	-8.9520
24.700001	96.473	-9.4906
25.000000	96.439	-9.8662
25.400000	96.395	-10.3221
25.799999	96.354	-10.7379
26.200001	96.318	-11.1335
26.500000	96.291	-11.4264
26.900000	96.255	-11.8197
27.200001	96.226	-12.1212
27.600000	96.185	-12.5389
28.000000	96.141	-12.9785
28.500000	96.082	-13.5465
29.000000	96.019	-14.0908
29.500000	95.955	-14.5525
30.000000	95.897	-14.9012
30.400000	95.859	-15.1151
30.700001	95.836	-15.2624
31.100000	95.810	-15.4792
31.500000	95.786	-15.7546
32.000000	95.748	-16.1954
32.500000	95.694	-16.6934
33.000000	95.627	-17.1592
33.500000	95.559	-17.5334
34.000000	95.500	-17.8232
34.500000	95.454	-18.0775
35.000000	95.415	-18.3404
35.500000	95.378	-18.6305
36.000000	95.338	-18.9487
36.500000	95.294	-19.2840
37.000000	95.244	-19.6125
37.500000	95.190	-19.9068
38.200001	95.119	-20.2513
38.700001	95.070	-20.4747
39.500000	94.989	-20.8155
40.000000	94.933	-20.9860
40.599998	94.867	-21.1239
41.200001	94.811	-21.2422
41.799999	94.762	-21.4291
42.500000	94.700	-21.7594
43.099998	94.639	-22.0625
43.700001	94.582	-22.3264
44.400002	94.524	-22.5869
45.000000	94.475	-22.7654
45.500000	94.432	-22.8716
46.200001	94.373	-23.0208
46.799999	94.324	-23.2613
47.500000	94.254	-23.6722
48.200001	94.175	-24.0148
48.700001	94.125	-24.1379
49.400002	94.074	-24.2017
50.000000	94.035	-24.2423
50.799999	93.980	-24.3100
51.500000	93.935	-24.3963
52.200001	93.892	-24.5532
53.000000	93.825	-24.7589
53.799999	93.737	-24.8433
54.500000	93.670	-24.8265
55.200001	93.625	-24.8458
56.000000	93.584	-25.0069
57.000000	93.508	-25.3541
58.000000	93.420	-25.5761
59.000000	93.412	-25.7919
60.000000	93.399	-26.2265
60.799999	93.311	-26.2880
61.500000	93.215	-26.0642
62.200001	93.137	-25.9062
63.000000	93.066	-25.9701
64.000000	92.987	-26.0544
65.000000	92.921	-26.0175
66.000000	92.833	-26.1192
67.000000	92.732	-26.1981
68.000000	92.684	-26.1755
69.000000	92.658	-26.2724
70.000000	92.598	-26.3181
71.000000	92.536	-26.2599
72.000000	92.480	-26.2722
73.000000	92.424	-26.3060
74.000000	92.371	-26.3054
75.000000	92.320	-26.2912
76.199997	92.253	-26.2819
77.500000	92.175	-26.2597
78.800003	92.103	-26.2177
80.000000	92.038	-26.2059
81.199997	91.972	-26.1764
82.500000	91.903	-26.1249
83.800003	91.828	-26.0366
85.000000	91.771	-26.0042
86.199997	91.722	-26.0217
87.500000	91.665	-25.9594
88.500000	91.618	-25.8925
90.000000	91.549	-25.8483
91.199997	91.495	-25.8007
92.500000	91.431	-25.7160
93.800003	91.362	-25.6438
95.000000	91.308	-25.5736
96.199997	91.259	-25.5093
97.500000	91.201	-25.4124
98.800003	91.146	-25.2790
100.000000	91.101	-25.1524
101.500000	91.049	-25.0377
103.000000	90.994	-24.8520
104.400002	90.922	-24.5753
106.000000	90.845	-24.3754
107.500000	90.792	-24.4131
109.000000	90.745	-24.3709
110.599998	90.703	-24.2282
112.000000	90.667	-24.0796
113.800003	90.608	-23.9265
115.000000	90.561	-23.9000
