* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 12:10:58 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R Truthear Hexa Nov 6
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.826	-3.0751
20.600000	99.795	-3.5103
20.900000	99.758	-3.9616
21.200001	99.723	-4.4060
21.400000	99.701	-4.7052
21.799999	99.662	-5.3208
22.000000	99.643	-5.6353
22.400000	99.607	-6.2597
22.700001	99.579	-6.7080
23.000000	99.553	-7.1317
23.299999	99.529	-7.5344
23.600000	99.507	-7.9255
24.000000	99.477	-8.4440
24.299999	99.453	-8.8336
24.700001	99.417	-9.3444
25.000000	99.386	-9.7121
25.400000	99.343	-10.1764
25.799999	99.300	-10.6192
26.200001	99.258	-11.0549
26.500000	99.228	-11.3811
26.900000	99.186	-11.8120
27.200001	99.156	-12.1275
27.600000	99.116	-12.5359
28.000000	99.079	-12.9381
28.500000	99.034	-13.4477
29.000000	98.985	-13.9611
29.500000	98.929	-14.4434
30.000000	98.869	-14.8627
30.400000	98.823	-15.1552
30.700001	98.791	-15.3614
31.100000	98.752	-15.6357
31.500000	98.717	-15.9211
32.000000	98.674	-16.2938
32.500000	98.629	-16.6699
33.000000	98.582	-17.0335
33.500000	98.532	-17.3791
34.000000	98.479	-17.7104
34.500000	98.426	-18.0359
35.000000	98.373	-18.3625
35.500000	98.321	-18.6891
36.000000	98.270	-19.0050
36.500000	98.220	-19.2976
37.000000	98.172	-19.5644
37.500000	98.124	-19.8176
38.200001	98.056	-20.1807
38.700001	98.004	-20.4488
39.500000	97.918	-20.8522
40.000000	97.869	-21.0739
40.599998	97.816	-21.3230
41.200001	97.766	-21.5716
41.799999	97.714	-21.8173
42.500000	97.650	-22.0879
43.099998	97.594	-22.3088
43.700001	97.537	-22.5207
44.400002	97.473	-22.7507
45.000000	97.421	-22.9412
45.500000	97.378	-23.1055
46.200001	97.316	-23.3385
46.799999	97.260	-23.5202
47.500000	97.195	-23.7059
48.200001	97.132	-23.8947
48.700001	97.090	-24.0443
49.400002	97.032	-24.2540
50.000000	96.986	-24.3969
50.799999	96.929	-24.5182
51.500000	96.881	-24.6166
52.200001	96.825	-24.7628
53.000000	96.750	-24.9528
53.799999	96.680	-25.0814
54.500000	96.631	-25.1646
55.200001	96.582	-25.3010
56.000000	96.513	-25.5029
57.000000	96.437	-25.6991
58.000000	96.373	-25.7554
59.000000	96.289	-25.3518
60.000000	96.236	-25.0082
60.799999	96.188	-25.3642
61.500000	96.118	-25.8496
62.200001	96.054	-26.1482
63.000000	96.005	-26.2632
64.000000	95.942	-26.3072
65.000000	95.869	-26.3468
66.000000	95.804	-26.4313
67.000000	95.744	-26.4788
68.000000	95.680	-26.4959
69.000000	95.612	-26.5182
70.000000	95.548	-26.5405
71.000000	95.484	-26.5676
72.000000	95.424	-26.6079
73.000000	95.369	-26.6606
74.000000	95.312	-26.6715
75.000000	95.254	-26.6408
76.199997	95.185	-26.6488
77.500000	95.113	-26.6695
78.800003	95.042	-26.6182
80.000000	94.978	-26.5732
81.199997	94.913	-26.5478
82.500000	94.845	-26.4883
83.800003	94.784	-26.4376
85.000000	94.728	-26.4217
86.199997	94.670	-26.4105
87.500000	94.605	-26.3639
88.500000	94.557	-26.3135
90.000000	94.488	-26.2433
91.199997	94.432	-26.1809
92.500000	94.375	-26.1058
93.800003	94.318	-26.0329
95.000000	94.267	-25.9625
96.199997	94.216	-25.8850
97.500000	94.163	-25.8025
98.800003	94.112	-25.7170
100.000000	94.066	-25.6444
101.500000	94.007	-25.5598
103.000000	93.950	-25.4484
104.400002	93.901	-25.3129
106.000000	93.845	-25.1679
107.500000	93.791	-25.0667
109.000000	93.739	-24.9583
110.599998	93.685	-24.8356
112.000000	93.638	-24.7286
113.800003	93.579	-24.5741
115.000000	93.539	-24.4611
117.199997	93.473	-24.2990
118.000000	93.451	-24.2709
120.599998	93.379	-24.1341
122.000000	93.335	-23.9456
124.099998	93.273	-23.6902
125.000000	93.248	-23.5982
126.500000	93.208	-23.4680
128.000000	93.172	-23.3482
131.500000	93.091	-23.0752
132.000000	93.079	-23.0256
134.000000	93.036	-22.7966
136.000000	92.995	-22.6216
138.000000	92.948	-22.5095
140.000000	92.902	-22.2948
143.000000	92.837	-21.9528
145.000000	92.797	-21.7847
147.500000	92.750	-21.5427
150.000000	92.701	-21.2953
152.500000	92.654	-21.0801
155.000000	92.610	-20.8671
157.500000	92.564	-20.6287
160.000000	92.518	-20.4014
162.500000	92.472	-20.1728
165.000000	92.423	-19.9462
167.500000	92.367	-19.7148
170.000000	92.319	-19.4693
172.500000	92.279	-19.2421
175.000000	92.246	-18.9519
177.500000	92.234	-18.3700
180.000000	92.226	-17.6290
182.500000	92.153	-17.7983
185.000000	92.080	-17.9570
187.500000	92.036	-17.8245
190.000000	91.999	-17.5874
192.500000	91.959	-17.3426
195.000000	91.918	-17.1456
197.500000	91.880	-16.9435
200.000000	91.843	-16.7240
203.000000	91.797	-16.4731
206.000000	91.753	-16.1933
209.000000	91.711	-15.9167
212.000000	91.671	-15.6099
214.000000	91.642	-15.3327
218.000000	91.575	-14.7927
220.000000	91.549	-14.5274
224.000000	91.512	-13.8988
227.000000	91.492	-13.3795
230.000000	91.485	-12.8502
233.000000	91.502	-12.3772
236.000000	91.536	-11.9712
240.000000	91.585	-11.6855
243.000000	91.616	-11.5549
247.000000	91.636	-11.5176
250.000000	91.633	-11.5125
254.000000	91.616	-11.5208
258.000000	91.594	-11.4770
262.000000	91.566	-11.2951
265.000000	91.545	-11.1908
269.000000	91.515	-11.0349
272.000000	91.489	-10.8869
276.000000	91.453	-10.7183
280.000000	91.418	-10.5562
285.000000	91.388	-10.2753
290.000000	91.354	-10.0335
295.000000	91.319	-9.8905
300.000000	91.289	-9.7278
304.000000	91.260	-9.3227
307.000000	91.240	-9.0157
311.000000	91.219	-8.7337
315.000000	91.198	-8.5079
320.000000	91.170	-8.2304
325.000000	91.142	-7.9764
330.000000	91.116	-7.7103
335.000000	91.090	-7.4449
340.000000	91.064	-7.1777
345.000000	91.037	-6.8894
350.000000	91.010	-6.5976
355.000000	90.981	-6.3028
360.000000	90.951	-6.0149
365.000000	90.925	-5.7019
370.000000	90.908	-5.3398
375.000000	90.895	-5.0255
382.000000	90.877	-4.6565
387.000000	90.860	-4.3790
395.000000	90.832	-3.9303
400.000000	90.815	-3.6633
406.000000	90.796	-3.3418
412.000000	90.786	-3.0084
418.000000	90.789	-2.6623
425.000000	90.757	-2.2485
431.000000	90.716	-1.8854
437.000000	90.695	-1.5067
444.000000	90.681	-1.0328
450.000000	90.677	-0.6511
455.000000	90.676	-0.3725
462.000000	90.676	-0.0350
468.000000	90.675	0.2174
475.000000	90.669	0.4956
482.000000	90.656	0.7741
487.000000	90.643	0.9766
494.000000	90.623	1.2703
500.000000	90.606	1.5360
508.000000	90.583	1.9107
515.000000	90.563	2.2455
522.000000	90.545	2.5899
530.000000	90.524	2.9950
538.000000	90.505	3.4204
545.000000	90.490	3.7805
552.000000	90.475	4.1286
560.000000	90.458	4.5416
570.000000	90.436	5.0737
580.000000	90.417	5.6049
590.000000	90.401	6.1314
600.000000	90.389	6.6501
608.000000	90.374	7.1099
615.000000	90.360	7.5103
622.000000	90.350	7.9021
630.000000	90.340	8.3535
640.000000	90.327	8.9155
650.000000	90.313	9.4665
660.000000	90.298	10.0173
670.000000	90.295	10.6140
680.000000	90.293	11.2065
690.000000	90.290	11.7867
700.000000	90.287	12.3711
710.000000	90.288	12.9585
720.000000	90.291	13.5421
730.000000	90.288	14.1513
740.000000	90.288	14.7668
750.000000	90.291	15.3792
762.000000	90.301	16.1054
775.000000	90.325	16.8734
788.000000	90.338	17.6918
800.000000	90.340	18.4782
812.000000	90.352	19.2469
825.000000	90.371	20.0881
838.000000	90.398	20.9517
850.000000	90.419	21.7005
862.000000	90.443	22.4411
875.000000	90.477	23.2610
885.000000	90.506	23.8950
900.000000	90.553	24.8518
912.000000	90.601	25.5684
925.000000	90.658	26.3349
938.000000	90.717	27.0941
950.000000	90.774	27.7740
962.000000	90.836	28.4350
975.000000	90.908	29.1352
988.000000	90.984	29.8056
1000.000000	91.055	30.3936
1015.000000	91.149	31.0809
1030.000000	91.246	31.7439
1044.000000	91.336	32.3298
1060.000000	91.442	32.9372
1075.000000	91.542	33.4565
1090.000000	91.644	33.9234
1106.000000	91.752	34.3657
1120.000000	91.844	34.7155
1138.000000	91.957	35.1218
1150.000000	92.033	35.3569
1172.000000	92.170	35.7255
1180.000000	92.217	35.8452
1206.000000	92.363	36.1848
1220.000000	92.437	36.3510
1241.000000	92.543	36.5680
1250.000000	92.588	36.6516
1265.000000	92.663	36.7857
1280.000000	92.736	36.9168
1315.000000	92.899	37.1965
1320.000000	92.921	37.2365
1340.000000	93.005	37.4027
1360.000000	93.085	37.5744
1380.000000	93.161	37.7587
1400.000000	93.231	37.9348
1430.000000	93.332	38.2429
1450.000000	93.397	38.4568
1475.000000	93.475	38.7205
1500.000000	93.550	39.0349
1525.000000	93.628	39.3253
1550.000000	93.703	39.6408
1575.000000	93.778	39.9777
1600.000000	93.852	40.3279
1625.000000	93.922	40.6914
1650.000000	93.991	41.0576
1675.000000	94.060	41.4331
1700.000000	94.130	41.8161
1725.000000	94.202	42.2057
1750.000000	94.276	42.5971
1775.000000	94.351	42.9885
