* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 7:21:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Hexa Sancai L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	92.838	8.5528
20.600000	92.847	8.1676
20.900000	92.863	7.7330
21.200001	92.882	7.2469
21.400000	92.893	6.8915
21.799999	92.897	6.1434
22.000000	92.889	5.7807
22.400000	92.856	5.1520
22.700001	92.825	4.7936
23.000000	92.797	4.5191
23.299999	92.777	4.2859
23.600000	92.765	4.0452
24.000000	92.752	3.6576
24.299999	92.740	3.3138
24.700001	92.716	2.8243
25.000000	92.692	2.4662
25.400000	92.660	2.0236
25.799999	92.633	1.6094
26.200001	92.609	1.1992
26.500000	92.589	0.8938
26.900000	92.557	0.5183
27.200001	92.528	0.2868
27.600000	92.492	0.0618
28.000000	92.470	-0.1078
28.500000	92.473	-0.3972
29.000000	92.491	-0.9340
29.500000	92.485	-1.6744
30.000000	92.434	-2.3302
30.400000	92.374	-2.5887
30.700001	92.334	-2.5960
31.100000	92.305	-2.4466
31.500000	92.309	-2.3011
32.000000	92.338	-2.3894
32.500000	92.347	-2.8318
33.000000	92.313	-3.4299
33.500000	92.252	-3.9457
34.000000	92.195	-4.2957
34.500000	92.158	-4.5464
35.000000	92.136	-4.7898
35.500000	92.117	-5.0554
36.000000	92.094	-5.3248
36.500000	92.067	-5.5814
37.000000	92.041	-5.8368
37.500000	92.014	-6.1206
38.200001	91.961	-6.5788
38.700001	91.904	-6.8840
39.500000	91.807	-7.1529
40.000000	91.769	-7.1966
40.599998	91.756	-7.2702
