* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 7:23:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Hexa Sancai R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.363	9.3028
20.600000	94.351	9.0010
20.900000	94.340	8.6776
21.200001	94.333	8.3055
21.400000	94.333	8.0047
21.799999	94.331	7.2451
22.000000	94.326	6.7954
22.400000	94.296	5.8372
22.700001	94.257	5.1596
23.000000	94.208	4.5949
23.299999	94.162	4.1767
23.600000	94.128	3.8921
24.000000	94.112	3.6246
24.299999	94.121	3.4212
24.700001	94.146	3.0590
25.000000	94.161	2.7119
25.400000	94.165	2.1976
25.799999	94.149	1.6973
26.200001	94.120	1.2542
26.500000	94.095	0.9554
26.900000	94.063	0.5756
27.200001	94.041	0.2905
27.600000	94.016	-0.0948
28.000000	93.998	-0.4820
28.500000	93.988	-0.9749
29.000000	93.985	-1.4981
29.500000	93.967	-2.0289
30.000000	93.922	-2.4719
30.400000	93.872	-2.7031
30.700001	93.835	-2.8087
31.100000	93.800	-2.9175
31.500000	93.787	-3.0827
32.000000	93.794	-3.4748
32.500000	93.809	-4.0514
33.000000	93.814	-4.6677
33.500000	93.808	-5.1869
34.000000	93.791	-5.5684
34.500000	93.762	-5.8376
35.000000	93.722	-6.0271
35.500000	93.681	-6.1780
36.000000	93.651	-6.3653
36.500000	93.632	-6.6625
37.000000	93.612	-7.0651
37.500000	93.579	-7.4804
38.200001	93.516	-7.9209
38.700001	93.472	-8.1469
39.500000	93.415	-8.5498
40.000000	93.387	-8.8956
40.599998	93.355	-9.3925
41.200001	93.318	-9.8831
41.799999	93.273	-10.2296
42.500000	93.224	-10.4011
43.099998	93.190	-10.4804
43.700001	93.156	-10.6063
44.400002	93.118	-10.8418
45.000000	93.096	-11.1511
45.500000	93.080	-11.4666
46.200001	93.057	-11.8087
46.799999	93.051	-11.9142
47.500000	93.049	-11.9949
48.200001	92.992	-12.0525
48.700001	92.915	-11.9140
49.400002	92.824	-11.5663
50.000000	92.788	-11.5648
50.799999	92.735	-12.1496
51.500000	92.678	-12.6301
52.200001	92.671	-12.9185
53.000000	92.687	-13.3487
53.799999	92.656	-13.7247
54.500000	92.623	-13.8925
55.200001	92.602	-14.0997
56.000000	92.569	-14.3597
57.000000	92.516	-14.5258
58.000000	92.450	-14.7204
59.000000	92.383	-15.0321
60.000000	92.335	-15.3963
60.799999	92.291	-15.6126
61.500000	92.240	-15.6786
62.200001	92.189	-15.5794
63.000000	92.164	-15.3968
64.000000	92.140	-15.5029
65.000000	92.053	-15.7056
66.000000	91.995	-16.0418
67.000000	91.919	-16.7055
68.000000	91.806	-16.6022
69.000000	91.779	-16.1317
70.000000	91.778	-16.2551
71.000000	91.757	-16.4182
72.000000	91.742	-16.2877
73.000000	91.723	-16.1838
74.000000	91.701	-16.3129
75.000000	91.676	-16.5731
76.199997	91.618	-16.7290
77.500000	91.551	-16.7697
78.800003	91.507	-16.8486
80.000000	91.467	-16.9355
81.199997	91.415	-17.0907
82.500000	91.359	-17.0954
83.800003	91.307	-16.8114
85.000000	91.259	-16.8252
86.199997	91.201	-17.0931
87.500000	91.156	-17.2439
88.500000	91.123	-17.2616
90.000000	91.071	-17.2976
91.199997	91.031	-17.3348
92.500000	90.989	-17.3293
93.800003	90.944	-17.3285
95.000000	90.899	-17.3253
96.199997	90.851	-17.3120
97.500000	90.804	-17.3138
98.800003	90.763	-17.3245
100.000000	90.727	-17.3063
101.500000	90.680	-17.2426
103.000000	90.630	-17.1446
104.400002	90.581	-17.0245
106.000000	90.531	-16.9366
107.500000	90.498	-17.0167
109.000000	90.483	-17.2410
110.599998	90.478	-17.3493
112.000000	90.466	-17.2061
113.800003	90.362	-16.9186
115.000000	90.288	-16.7236
117.199997	90.227	-16.5328
118.000000	90.217	-16.4849
120.599998	90.188	-16.4374
122.000000	90.168	-16.3547
124.099998	90.133	-16.2689
125.000000	90.115	-16.2257
126.500000	90.072	-16.1491
128.000000	90.025	-16.0701
131.500000	89.951	-15.7554
132.000000	89.936	-15.7281
134.000000	89.889	-15.7141
136.000000	89.874	-15.7715
138.000000	89.834	-15.5593
140.000000	89.789	-15.3926
143.000000	89.712	-15.1829
145.000000	89.671	-15.0062
147.500000	89.649	-14.8170
150.000000	89.609	-14.6919
152.500000	89.577	-14.5839
155.000000	89.551	-14.3642
157.500000	89.519	-14.1615
160.000000	89.487	-14.0059
162.500000	89.451	-13.8509
165.000000	89.413	-13.6663
167.500000	89.367	-13.4640
170.000000	89.334	-13.3235
172.500000	89.297	-13.1726
175.000000	89.254	-12.9599
177.500000	89.225	-12.6033
180.000000	89.201	-12.1694
182.500000	89.162	-12.1786
185.000000	89.121	-12.2039
187.500000	89.086	-11.9951
190.000000	89.054	-11.8026
192.500000	89.021	-11.6637
195.000000	88.991	-11.4694
197.500000	88.966	-11.2119
200.000000	88.953	-10.8895
203.000000	88.952	-10.6140
206.000000	88.939	-10.4776
209.000000	88.916	-10.3805
212.000000	88.891	-10.2889
214.000000	88.873	-10.2255
218.000000	88.837	-10.0364
220.000000	88.822	-9.8860
224.000000	88.786	-9.6299
227.000000	88.752	-9.4018
230.000000	88.725	-9.1631
233.000000	88.703	-8.9422
236.000000	88.679	-8.7390
240.000000	88.651	-8.4329
243.000000	88.633	-8.2300
247.000000	88.613	-7.9262
250.000000	88.603	-7.7197
254.000000	88.592	-7.5216
258.000000	88.572	-7.1851
262.000000	88.567	-6.8302
265.000000	88.573	-6.6904
269.000000	88.570	-6.4789
272.000000	88.557	-6.2610
276.000000	88.544	-5.9920
280.000000	88.533	-5.8178
285.000000	88.525	-5.6574
290.000000	88.507	-5.4122
295.000000	88.492	-5.1417
300.000000	88.493	-4.8944
304.000000	88.478	-4.7644
307.000000	88.460	-4.6797
311.000000	88.439	-4.5306
315.000000	88.422	-4.3285
320.000000	88.407	-4.1121
325.000000	88.390	-3.9476
330.000000	88.375	-3.7309
335.000000	88.361	-3.4860
340.000000	88.349	-3.2752
345.000000	88.336	-3.0935
350.000000	88.314	-2.9196
355.000000	88.294	-2.7311
360.000000	88.276	-2.5269
365.000000	88.259	-2.3351
370.000000	88.243	-2.1421
375.000000	88.220	-1.9164
382.000000	88.189	-1.5800
387.000000	88.175	-1.3415
395.000000	88.153	-0.9961
400.000000	88.135	-0.7969
406.000000	88.112	-0.5323
412.000000	88.085	-0.2483
418.000000	88.050	0.0517
425.000000	88.029	0.3645
431.000000	88.022	0.6018
437.000000	88.007	0.8669
444.000000	87.989	1.1775
450.000000	87.975	1.4615
455.000000	87.961	1.7079
462.000000	87.942	2.0357
468.000000	87.927	2.3141
475.000000	87.909	2.6439
482.000000	87.891	2.9724
487.000000	87.876	3.2122
494.000000	87.856	3.5563
500.000000	87.841	3.8463
508.000000	87.823	4.2202
515.000000	87.808	4.5543
522.000000	87.793	4.9116
530.000000	87.778	5.3213
538.000000	87.763	5.7074
545.000000	87.747	6.0609
552.000000	87.733	6.4251
560.000000	87.719	6.8318
570.000000	87.705	7.3646
580.000000	87.690	7.8953
590.000000	87.676	8.4282
600.000000	87.667	8.9634
608.000000	87.661	9.3847
615.000000	87.657	9.7445
622.000000	87.652	10.0962
630.000000	87.646	10.4933
640.000000	87.639	10.9853
650.000000	87.633	11.4944
660.000000	87.628	12.0458
670.000000	87.619	12.5735
680.000000	87.610	13.1016
690.000000	87.605	13.6502
700.000000	87.600	14.2065
710.000000	87.597	14.7763
720.000000	87.595	15.3470
730.000000	87.595	15.9165
740.000000	87.597	16.4914
750.000000	87.600	17.0742
762.000000	87.607	17.7882
775.000000	87.618	18.5480
788.000000	87.631	19.3489
800.000000	87.645	20.1158
812.000000	87.661	20.8658
825.000000	87.678	21.6750
838.000000	87.699	22.4969
850.000000	87.722	23.2490
862.000000	87.749	24.0040
875.000000	87.783	24.8246
885.000000	87.813	25.4421
900.000000	87.863	26.3551
912.000000	87.910	27.0929
925.000000	87.965	27.8788
938.000000	88.024	28.6395
950.000000	88.083	29.3277
962.000000	88.146	30.0035
975.000000	88.218	30.7106
988.000000	88.294	31.3828
1000.000000	88.367	31.9761
1015.000000	88.463	32.6825
1030.000000	88.562	33.3506
1044.000000	88.657	33.9379
1060.000000	88.768	34.5472
1075.000000	88.872	35.0672
1090.000000	88.978	35.5405
1106.000000	89.091	35.9957
1120.000000	89.189	36.3480
1138.000000	89.313	36.7371
1150.000000	89.393	36.9759
1172.000000	89.536	37.3677
1180.000000	89.586	37.4889
1206.000000	89.743	37.8229
1220.000000	89.824	37.9714
1241.000000	89.940	38.1580
1250.000000	89.989	38.2285
1265.000000	90.070	38.3406
1280.000000	90.151	38.4494
1315.000000	90.328	38.6701
1320.000000	90.352	38.7007
1340.000000	90.444	38.8221
1360.000000	90.530	38.9363
1380.000000	90.612	39.0606
1400.000000	90.690	39.1960
1430.000000	90.801	39.4106
1450.000000	90.872	39.5665
1475.000000	90.957	39.7751
1500.000000	91.039	40.0052
1525.000000	91.121	40.2521
1550.000000	91.201	40.5142
1575.000000	91.280	40.7872
1600.000000	91.357	41.0742
1625.000000	91.430	41.3756
1650.000000	91.501	41.6782
1675.000000	91.573	41.9922
1700.000000	91.645	42.3138
1725.000000	91.720	42.6419
1750.000000	91.795	42.9751
1775.000000	91.872	43.3077
1800.000000	91.951	43.6452
1825.000000	92.032	43.9845
1850.000000	92.114	44.3200
1875.000000	92.199	44.6528
1900.000000	92.286	44.9846
1925.000000	92.375	45.3115
1950.000000	92.466	45.6331
1975.000000	92.559	45.9487
2000.000000	92.656	46.2551
2030.000000	92.776	46.6113
2060.000000	92.901	46.9506
2090.000000	93.030	47.2723
2120.000000	93.162	47.5729
2140.000000	93.252	47.7598
2180.000000	93.436	48.1039
2200.000000	93.530	48.2592
2240.000000	93.722	48.5321
2270.000000	93.870	48.6999
2300.000000	94.020	48.8338
2330.000000	94.173	48.9321
2360.000000	94.328	48.9899
2400.000000	94.539	49.0050
2430.000000	94.699	48.9680
2470.000000	94.916	48.8433
2500.000000	95.081	48.6937
2540.000000	95.304	48.4136
2580.000000	95.530	48.0359
2620.000000	95.755	47.5533
2650.000000	95.922	47.1189
2690.000000	96.143	46.4411
2720.000000	96.307	45.8557
2760.000000	96.520	44.9690
2800.000000	96.725	43.9559
2850.000000	96.967	42.5118
2900.000000	97.189	40.8683
2950.000000	97.385	39.0329
3000.000000	97.549	37.0186
3040.000000	97.653	35.2958
3070.000000	97.713	33.9508
3110.000000	97.767	32.1063
3150.000000	97.789	30.2311
3200.000000	97.771	27.9010
3250.000000	97.705	25.6622
3300.000000	97.595	23.5787
3350.000000	97.452	21.6885
3400.000000	97.286	20.0008
3450.000000	97.104	18.5044
3500.000000	96.910	17.1807
3550.000000	96.706	16.0120
3600.000000	96.493	14.9948
3650.000000	96.274	14.1297
3700.000000	96.049	13.4159
3750.000000	95.822	12.8524
3820.000000	95.503	12.3144
3870.000000	95.278	12.1028
3950.000000	94.928	12.0445
4000.000000	94.716	12.1699
4060.000000	94.472	12.4675
4120.000000	94.241	12.8995
4180.000000	94.028	13.4398
4250.000000	93.804	14.1669
4310.000000	93.631	14.8475
4370.000000	93.475	15.5680
4440.000000	93.313	16.4473
