* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Feb 21, 2026 11:45:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Hola Coreir R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.538	-162.6219
20.600000	100.548	-163.1179
20.900000	100.555	-163.6526
21.200001	100.561	-164.1882
21.400000	100.566	-164.5443
21.799999	100.575	-165.2492
22.000000	100.580	-165.5948
22.400000	100.592	-166.2649
22.700001	100.601	-166.7478
23.000000	100.610	-167.2166
23.299999	100.618	-167.6756
23.600000	100.624	-168.1284
24.000000	100.628	-168.7244
24.299999	100.629	-169.1646
24.700001	100.628	-169.7423
25.000000	100.628	-170.1709
25.400000	100.627	-170.7417
25.799999	100.626	-171.3129
26.200001	100.624	-171.8766
26.500000	100.622	-172.2859
26.900000	100.618	-172.8052
27.200001	100.615	-173.1748
27.600000	100.612	-173.6481
28.000000	100.608	-174.1085
28.500000	100.601	-174.6732
29.000000	100.591	-175.2277
29.500000	100.580	-175.7829
30.000000	100.568	-176.3557
30.400000	100.555	-176.8245
30.700001	100.544	-177.1723
31.100000	100.528	-177.6158
31.500000	100.516	-178.0292
32.000000	100.508	-178.5186
32.500000	100.506	-179.0082
33.000000	100.502	-179.5061
33.500000	100.489	-179.9852
34.000000	100.469	179.5788
34.500000	100.449	179.1738
35.000000	100.431	178.7633
35.500000	100.415	178.3268
36.000000	100.399	177.8731
36.500000	100.382	177.4215
37.000000	100.363	176.9836
37.500000	100.340	176.5726
38.200001	100.303	176.0780
38.700001	100.283	175.7711
39.500000	100.268	175.2189
40.000000	100.256	174.8073
40.599998	100.225	174.3390
41.200001	100.190	173.9505
41.799999	100.161	173.5528
42.500000	100.126	173.0190
43.099998	100.100	172.6100
43.700001	100.091	172.2547
44.400002	100.066	171.8491
45.000000	100.002	171.7307
45.500000	99.952	171.8909
46.200001	99.975	171.8926
46.799999	100.037	170.9859
47.500000	100.021	169.3022
48.200001	99.949	168.2958
48.700001	99.953	168.1045
49.400002	100.012	167.8415
50.000000	99.988	167.4767
50.799999	99.829	167.5085
51.500000	99.725	167.8701
52.200001	99.680	167.8178
53.000000	99.625	167.4268
53.799999	99.585	167.1625
54.500000	99.566	166.8882
55.200001	99.529	166.5450
56.000000	99.479	166.2338
57.000000	99.436	165.8669
58.000000	99.385	165.4508
59.000000	99.329	165.0416
60.000000	99.276	164.6227
60.799999	99.236	164.3347
61.500000	99.203	164.1237
62.200001	99.170	163.9343
63.000000	99.130	163.7340
64.000000	99.078	163.4778
65.000000	99.020	163.2021
66.000000	98.965	162.9368
