* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Feb 22, 2026 12:04:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Hola Jiju L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.892	-167.5443
20.600000	99.893	-168.0315
20.900000	99.890	-168.5480
21.200001	99.887	-169.0558
21.400000	99.885	-169.3890
21.799999	99.884	-170.0431
22.000000	99.885	-170.3643
22.400000	99.890	-170.9969
22.700001	99.894	-171.4674
23.000000	99.898	-171.9389
23.299999	99.900	-172.4124
23.600000	99.898	-172.8841
24.000000	99.890	-173.4963
24.299999	99.881	-173.9332
24.700001	99.869	-174.4834
25.000000	99.861	-174.8801
25.400000	99.852	-175.4074
25.799999	99.843	-175.9451
26.200001	99.831	-176.4843
26.500000	99.820	-176.8762
26.900000	99.808	-177.3719
27.200001	99.803	-177.7304
27.600000	99.803	-178.2184
28.000000	99.807	-178.7451
28.500000	99.804	-179.4490
29.000000	99.783	179.8823
29.500000	99.749	179.3404
30.000000	99.716	178.9183
30.400000	99.697	178.6036
30.700001	99.685	178.3489
31.100000	99.669	177.9727
31.500000	99.650	177.5701
32.000000	99.624	177.0710
32.500000	99.600	176.5994
33.000000	99.581	176.1456
33.500000	99.562	175.6978
34.000000	99.541	175.2570
34.500000	99.519	174.8211
35.000000	99.495	174.3816
35.500000	99.467	173.9438
36.000000	99.438	173.5308
36.500000	99.409	173.1520
37.000000	99.386	172.7827
37.500000	99.366	172.3886
38.200001	99.333	171.8039
38.700001	99.304	171.4132
39.500000	99.260	170.8796
40.000000	99.236	170.5796
40.599998	99.206	170.2315
41.200001	99.172	169.8918
41.799999	99.137	169.5485
42.500000	99.094	169.1302
43.099998	99.056	168.7612
43.700001	99.020	168.3885
44.400002	98.979	167.9641
45.000000	98.947	167.6262
45.500000	98.923	167.3547
46.200001	98.887	166.9647
46.799999	98.845	166.6453
47.500000	98.791	166.3293
48.200001	98.751	165.9776
48.700001	98.727	165.6396
49.400002	98.684	165.1340
50.000000	98.640	164.8318
50.799999	98.596	164.6457
51.500000	98.565	164.4968
52.200001	98.520	164.2796
53.000000	98.467	163.9921
53.799999	98.433	163.6313
54.500000	98.405	163.2801
55.200001	98.363	162.9891
56.000000	98.298	162.6949
57.000000	98.189	162.2656
58.000000	98.099	161.9703
59.000000	98.087	161.7501
60.000000	98.080	161.4142
60.799999	98.041	161.1480
61.500000	97.992	160.9223
62.200001	97.937	160.7167
63.000000	97.879	160.5517
64.000000	97.824	160.3814
65.000000	97.774	160.1518
66.000000	97.723	159.8987
67.000000	97.669	159.6632
68.000000	97.611	159.4517
69.000000	97.551	159.2247
70.000000	97.495	158.9819
71.000000	97.441	158.7729
72.000000	97.387	158.5866
73.000000	97.327	158.3702
74.000000	97.263	158.1613
75.000000	97.207	158.0040
76.199997	97.146	157.8578
77.500000	97.076	157.7137
78.800003	97.003	157.5452
80.000000	96.948	157.4160
81.199997	96.891	157.3110
82.500000	96.819	157.1924
