* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Feb 22, 2026 12:05:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Hola Jiju R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.310	-165.8661
20.600000	100.312	-166.3494
20.900000	100.312	-166.8627
21.200001	100.312	-167.3741
21.400000	100.313	-167.7168
21.799999	100.318	-168.4121
22.000000	100.322	-168.7646
22.400000	100.330	-169.4704
22.700001	100.334	-169.9900
23.000000	100.336	-170.4919
23.299999	100.336	-170.9711
23.600000	100.336	-171.4272
24.000000	100.334	-172.0074
24.299999	100.333	-172.4307
24.700001	100.331	-172.9911
25.000000	100.330	-173.4123
25.400000	100.325	-173.9732
25.799999	100.319	-174.5259
26.200001	100.311	-175.0632
26.500000	100.304	-175.4553
26.900000	100.295	-175.9663
27.200001	100.288	-176.3435
27.600000	100.277	-176.8400
28.000000	100.266	-177.3276
28.500000	100.251	-177.9199
29.000000	100.237	-178.4940
29.500000	100.223	-179.0581
30.000000	100.208	-179.6173
30.400000	100.193	179.9416
30.700001	100.181	179.6174
31.100000	100.164	179.1953
31.500000	100.146	178.7823
32.000000	100.126	178.2716
32.500000	100.106	177.7639
33.000000	100.085	177.2686
33.500000	100.063	176.8000
34.000000	100.041	176.3612
34.500000	100.021	175.9404
35.000000	100.002	175.5226
35.500000	99.982	175.1019
36.000000	99.960	174.6808
36.500000	99.936	174.2641
37.000000	99.909	173.8565
37.500000	99.881	173.4641
38.200001	99.843	172.9451
38.700001	99.819	172.5853
39.500000	99.781	171.9996
40.000000	99.756	171.6292
40.599998	99.723	171.1943
41.200001	99.691	170.7756
41.799999	99.660	170.3755
42.500000	99.625	169.9355
43.099998	99.594	169.5674
43.700001	99.559	169.1972
44.400002	99.516	168.7787
45.000000	99.484	168.4300
45.500000	99.461	168.1305
46.200001	99.423	167.7285
46.799999	99.385	167.4566
47.500000	99.346	167.1296
48.200001	99.302	166.5753
48.700001	99.249	166.0930
49.400002	99.157	165.6136
50.000000	99.109	165.4960
50.799999	99.115	165.3932
51.500000	99.120	165.1071
52.200001	99.087	164.7841
53.000000	99.031	164.4905
53.799999	98.982	164.1668
54.500000	98.944	163.8569
55.200001	98.908	163.5654
56.000000	98.865	163.2431
57.000000	98.804	162.8757
58.000000	98.747	162.5426
59.000000	98.693	162.1814
60.000000	98.636	161.8293
60.799999	98.589	161.5782
61.500000	98.548	161.3843
62.200001	98.507	161.2036
63.000000	98.460	160.9854
64.000000	98.400	160.6852
65.000000	98.340	160.4033
66.000000	98.284	160.1466
67.000000	98.229	159.8843
68.000000	98.174	159.6218
69.000000	98.118	159.3827
70.000000	98.064	159.1682
71.000000	98.010	158.9613
72.000000	97.955	158.7621
73.000000	97.897	158.5652
74.000000	97.837	158.3751
75.000000	97.782	158.2025
76.199997	97.721	157.9738
77.500000	97.651	157.7178
78.800003	97.583	157.5132
80.000000	97.525	157.3553
81.199997	97.464	157.2040
82.500000	97.396	157.0336
83.800003	97.326	156.8749
85.000000	97.265	156.7485
86.199997	97.204	156.6390
87.500000	97.138	156.5131
88.500000	97.089	156.3973
90.000000	97.018	156.2630
91.199997	96.963	156.1849
92.500000	96.902	156.1151
93.800003	96.843	156.0489
95.000000	96.788	155.9534
96.199997	96.731	155.8326
97.500000	96.669	155.7189
98.800003	96.607	155.6401
100.000000	96.552	155.5922
101.500000	96.490	155.5406
103.000000	96.427	155.4846
104.400002	96.366	155.4325
106.000000	96.298	155.3642
107.500000	96.235	155.3149
109.000000	96.172	155.2945
110.599998	96.105	155.2931
112.000000	96.053	155.3074
113.800003	95.985	155.3207
115.000000	95.930	155.3129
117.199997	95.826	155.3647
118.000000	95.787	155.3778
120.599998	95.677	155.4367
122.000000	95.643	155.5720
124.099998	95.586	155.7084
125.000000	95.557	155.7478
126.500000	95.508	155.8090
128.000000	95.469	155.8672
131.500000	95.394	155.9867
132.000000	95.381	155.9853
134.000000	95.326	155.9852
136.000000	95.266	156.0068
138.000000	95.204	156.0173
140.000000	95.145	156.0476
143.000000	95.054	156.1569
145.000000	94.996	156.2503
147.500000	94.931	156.4034
150.000000	94.866	156.6017
152.500000	94.799	156.6340
155.000000	94.735	156.7346
157.500000	94.671	156.8779
160.000000	94.605	157.0086
162.500000	94.536	157.1757
165.000000	94.466	157.3429
167.500000	94.399	157.5080
170.000000	94.335	157.6805
172.500000	94.273	157.8677
175.000000	94.209	158.0662
177.500000	94.146	158.2632
180.000000	94.088	158.4627
182.500000	94.034	158.6728
185.000000	93.982	158.8859
187.500000	93.933	159.0940
190.000000	93.887	159.2789
192.500000	93.839	159.4472
195.000000	93.790	159.6304
197.500000	93.741	159.8034
200.000000	93.695	159.9661
203.000000	93.642	160.2191
206.000000	93.591	160.4604
209.000000	93.540	160.6940
212.000000	93.492	160.9318
214.000000	93.461	161.0884
218.000000	93.400	161.3948
220.000000	93.370	161.5481
224.000000	93.312	161.8687
227.000000	93.269	162.1143
230.000000	93.228	162.3499
233.000000	93.187	162.5844
236.000000	93.148	162.8289
240.000000	93.098	163.1545
243.000000	93.061	163.4012
247.000000	93.010	163.7054
250.000000	92.974	163.9277
254.000000	92.928	164.2866
258.000000	92.881	164.6304
262.000000	92.835	164.9578
265.000000	92.803	165.2052
269.000000	92.762	165.5308
272.000000	92.731	165.7727
276.000000	92.690	166.0984
280.000000	92.652	166.4195
285.000000	92.604	166.8185
290.000000	92.557	167.2288
295.000000	92.513	167.6397
300.000000	92.471	168.0336
304.000000	92.440	168.3495
307.000000	92.417	168.5887
311.000000	92.387	168.9041
315.000000	92.358	169.2159
320.000000	92.323	169.6035
325.000000	92.288	169.9859
330.000000	92.255	170.3735
335.000000	92.222	170.7608
340.000000	92.192	171.1443
345.000000	92.165	171.5019
350.000000	92.141	171.8408
355.000000	92.113	172.2717
360.000000	92.087	172.6832
365.000000	92.064	173.0580
370.000000	92.042	173.4159
375.000000	92.020	173.7697
382.000000	91.990	174.2666
387.000000	91.970	174.6165
395.000000	91.938	175.1613
400.000000	91.918	175.4940
406.000000	91.897	175.9163
412.000000	91.877	176.3366
418.000000	91.857	176.7414
425.000000	91.835	177.2034
431.000000	91.817	177.5989
437.000000	91.799	177.9989
444.000000	91.780	178.5065
450.000000	91.766	178.9534
455.000000	91.750	179.2423
462.000000	91.729	179.6543
468.000000	91.713	-179.9582
475.000000	91.696	-179.5020
482.000000	91.681	-179.0509
487.000000	91.671	-178.7300
494.000000	91.657	-178.2809
500.000000	91.646	-177.8959
508.000000	91.631	-177.3736
515.000000	91.620	-176.9278
522.000000	91.610	-176.4810
530.000000	91.599	-175.9706
538.000000	91.590	-175.4667
545.000000	91.585	-175.0287
552.000000	91.580	-174.5907
560.000000	91.569	-174.0858
570.000000	91.558	-173.4552
580.000000	91.551	-172.8246
590.000000	91.545	-172.2023
600.000000	91.541	-171.5789
608.000000	91.538	-171.0787
615.000000	91.536	-170.6405
622.000000	91.535	-170.2043
630.000000	91.536	-169.7101
640.000000	91.539	-169.0996
650.000000	91.542	-168.4959
660.000000	91.546	-167.8550
670.000000	91.552	-167.2226
680.000000	91.559	-166.5961
690.000000	91.568	-165.9684
700.000000	91.578	-165.3417
710.000000	91.589	-164.7177
720.000000	91.602	-164.0929
730.000000	91.617	-163.4669
740.000000	91.634	-162.8441
750.000000	91.652	-162.2229
762.000000	91.678	-161.4657
775.000000	91.708	-160.6490
788.000000	91.741	-159.8338
800.000000	91.772	-159.0810
812.000000	91.804	-158.3320
825.000000	91.840	-157.5309
838.000000	91.881	-156.7341
850.000000	91.921	-156.0081
862.000000	91.964	-155.2861
875.000000	92.016	-154.5138
885.000000	92.058	-153.9296
900.000000	92.127	-153.0736
912.000000	92.185	-152.4052
925.000000	92.252	-151.7014
938.000000	92.321	-151.0189
950.000000	92.389	-150.4082
962.000000	92.459	-149.8209
975.000000	92.538	-149.2130
988.000000	92.619	-148.6345
1000.000000	92.695	-148.1271
1015.000000	92.791	-147.5254
1030.000000	92.889	-146.9618
1044.000000	92.982	-146.4741
1060.000000	93.088	-145.9528
1075.000000	93.188	-145.4989
1090.000000	93.288	-145.0858
1106.000000	93.393	-144.6881
1120.000000	93.485	-144.3690
1138.000000	93.601	-143.9984
1150.000000	93.677	-143.7763
1172.000000	93.811	-143.4190
1180.000000	93.859	-143.3029
1206.000000	94.008	-142.9683
1220.000000	94.085	-142.8132
1241.000000	94.198	-142.6049
1250.000000	94.246	-142.5235
1265.000000	94.328	-142.3983
1280.000000	94.409	-142.2827
1315.000000	94.589	-142.0268
1320.000000	94.614	-141.9915
1340.000000	94.711	-141.8537
1360.000000	94.805	-141.7160
1380.000000	94.897	-141.5794
1400.000000	94.987	-141.4491
1430.000000	95.116	-141.2551
1450.000000	95.200	-141.1272
1475.000000	95.303	-140.9712
1500.000000	95.404	-140.8249
1525.000000	95.503	-140.6808
1550.000000	95.600	-140.5418
1575.000000	95.694	-140.4072
1600.000000	95.785	-140.2766
1625.000000	95.871	-140.1520
1650.000000	95.954	-140.0347
1675.000000	96.036	-139.9215
1700.000000	96.116	-139.8145
1725.000000	96.195	-139.7149
1750.000000	96.273	-139.6217
1775.000000	96.348	-139.5329
1800.000000	96.424	-139.4484
1825.000000	96.498	-139.3693
1850.000000	96.571	-139.2957
1875.000000	96.644	-139.2240
1900.000000	96.715	-139.1600
1925.000000	96.786	-139.1024
1950.000000	96.856	-139.0502
1975.000000	96.925	-139.0028
2000.000000	96.994	-138.9585
2030.000000	97.078	-138.9109
2060.000000	97.162	-138.8674
2090.000000	97.246	-138.8266
2120.000000	97.329	-138.7901
2140.000000	97.385	-138.7704
2180.000000	97.498	-138.7556
2200.000000	97.555	-138.7635
2240.000000	97.667	-138.8180
2270.000000	97.746	-138.8920
2300.000000	97.821	-138.9824
2330.000000	97.891	-139.0790
2360.000000	97.957	-139.1694
2400.000000	98.039	-139.2648
2430.000000	98.098	-139.3167
2470.000000	98.177	-139.3552
2500.000000	98.240	-139.3686
2540.000000	98.331	-139.3919
2580.000000	98.427	-139.4623
2620.000000	98.520	-139.5992
2650.000000	98.584	-139.7296
2690.000000	98.660	-139.8967
2720.000000	98.711	-139.9895
2760.000000	98.780	-140.0522
2800.000000	98.856	-140.0636
2850.000000	98.970	-140.0916
2900.000000	99.096	-140.2505
2950.000000	99.218	-140.5756
3000.000000	99.320	-141.0000
3040.000000	99.386	-141.3515
3070.000000	99.429	-141.5978
3110.000000	99.479	-141.8854
3150.000000	99.525	-142.1205
3200.000000	99.584	-142.3433
3250.000000	99.649	-142.5078
3300.000000	99.723	-142.6539
3350.000000	99.806	-142.8165
3400.000000	99.894	-143.0187
3450.000000	99.983	-143.2636
3500.000000	100.073	-143.5403
3550.000000	100.163	-143.8421
3600.000000	100.255	-144.1653
3650.000000	100.350	-144.5130
3700.000000	100.450	-144.8998
3750.000000	100.553	-145.3450
3820.000000	100.702	-146.0959
3870.000000	100.808	-146.7390
3950.000000	100.969	-147.9572
4000.000000	101.060	-148.8331
4060.000000	101.153	-149.9937
4120.000000	101.229	-151.2713
4180.000000	101.288	-152.6610
4250.000000	101.329	-154.4097
4310.000000	101.337	-155.9941
4370.000000	101.317	-157.6282
4440.000000	101.256	-159.5573
4500.000000	101.171	-161.1915
4550.000000	101.077	-162.5128
4620.000000	100.913	-164.2613
4680.000000	100.745	-165.6335
4750.000000	100.525	-167.0558
4820.000000	100.285	-168.2673
4870.000000	100.106	-169.0024
4940.000000	99.850	-169.8603
5000.000000	99.628	-170.4477
5080.000000	99.333	-171.0329
5150.000000	99.076	-171.3697
5220.000000	98.824	-171.5492
5300.000000	98.544	-171.5680
5380.000000	98.277	-171.3983
5450.000000	98.056	-171.1082
5520.000000	97.852	-170.7023
5600.000000	97.640	-170.1191
5700.000000	97.411	-169.2492
5800.000000	97.227	-168.2765
5900.000000	97.090	-167.2546
6000.000000	97.002	-166.2450
6080.000000	96.967	-165.4919
6150.000000	96.963	-164.9001
6220.000000	96.985	-164.3934
6300.000000	97.048	-163.9456
6400.000000	97.188	-163.6276
6500.000000	97.378	-163.6372
6600.000000	97.603	-164.0420
6700.000000	97.853	-164.9090
6800.000000	98.118	-166.3099
6900.000000	98.387	-168.3156
7000.000000	98.643	-170.9833
7100.000000	98.872	-174.3828
7200.000000	99.050	-178.6295
7300.000000	99.134	176.1704
7400.000000	99.056	170.0405
7500.000000	98.737	163.2651
7620.000000	97.949	155.2274
7750.000000	96.619	148.3169
7880.000000	95.006	144.6135
8000.000000	93.488	144.0444
8120.000000	92.060	145.4677
8250.000000	90.672	148.3861
8380.000000	89.457	152.1590
8500.000000	88.464	156.1638
8620.000000	87.570	160.6105
8750.000000	86.698	165.9746
8850.000000	86.095	170.5801
9000.000000	85.326	178.5085
9120.000000	84.880	-174.0602
9250.000000	84.677	-164.8571
9380.000000	84.913	-155.0078
9500.000000	85.605	-146.6554
9620.000000	86.676	-140.6354
9750.000000	88.007	-137.8302
9880.000000	89.217	-138.6054
10000.000000	90.066	-141.3202
10150.000000	90.751	-145.5103
10300.000000	91.155	-149.1444
10440.000000	91.448	-151.5865
10600.000000	91.848	-153.5077
10750.000000	92.386	-155.0365
10900.000000	93.138	-156.9790
11060.000000	94.205	-160.4157
11200.000000	95.336	-165.5415
11380.000000	96.864	-176.5266
11500.000000	97.694	172.9545
11720.000000	98.156	148.8771
11800.000000	97.885	139.8408
12060.000000	95.733	115.5178
12200.000000	94.210	106.8315
12410.000000	92.056	98.5576
12500.000000	91.261	96.1821
12650.000000	90.144	93.1234
12800.000000	89.275	90.6953
13150.000000	88.115	85.3260
13200.000000	88.043	84.4343
13400.000000	87.990	80.1603
13600.000000	88.321	74.1204
13800.000000	89.019	65.1954
14000.000000	89.956	51.9886
14300.000000	91.011	22.2531
14500.000000	90.736	-2.4623
14750.000000	88.914	-32.6296
15000.000000	86.061	-57.0338
15250.000000	83.064	-75.6171
15500.000000	80.386	-90.7988
15750.000000	78.089	-104.6990
16000.000000	76.115	-118.5139
16250.000000	74.413	-132.8185
16500.000000	72.828	-147.7997
16750.000000	71.201	-163.3606
17000.000000	69.442	-178.9067
17250.000000	67.555	166.5760
17500.000000	65.860	154.0258
17750.000000	65.075	141.2366
18000.000000	65.401	121.7642
18250.000000	65.852	91.8818
18500.000000	65.337	53.3665
18750.000000	63.436	10.5019
19000.000000	60.354	-33.7634
19250.000000	56.531	-79.2306
19500.000000	52.030	-125.9302
19750.000000	46.850	-172.5302
20000.000000	43.301	140.2456
