* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 24, 2024 10:36:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Hola L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.629	-165.2785
20.600000	99.645	-165.5526
20.900000	99.654	-165.8686
21.200001	99.652	-166.2180
21.400000	99.645	-166.4668
21.799999	99.621	-166.9877
22.000000	99.610	-167.2553
22.400000	99.596	-167.8125
22.700001	99.598	-168.2688
23.000000	99.611	-168.7731
23.299999	99.631	-169.3232
23.600000	99.650	-169.8972
24.000000	99.668	-170.6394
24.299999	99.675	-171.1384
24.700001	99.678	-171.7043
25.000000	99.678	-172.0687
25.400000	99.677	-172.5203
25.799999	99.674	-172.9767
26.200001	99.667	-173.4536
26.500000	99.661	-173.8180
26.900000	99.654	-174.3024
27.200001	99.651	-174.6641
27.600000	99.650	-175.1498
28.000000	99.648	-175.6395
28.500000	99.638	-176.2292
29.000000	99.619	-176.7498
29.500000	99.601	-177.1997
30.000000	99.593	-177.6458
30.400000	99.592	-178.0496
30.700001	99.590	-178.3847
31.100000	99.579	-178.8474
31.500000	99.560	-179.2788
32.000000	99.530	-179.7122
32.500000	99.507	179.9581
33.000000	99.498	179.6321
33.500000	99.493	179.2204
34.000000	99.479	178.7321
34.500000	99.454	178.2466
35.000000	99.430	177.8131
35.500000	99.414	177.3994
36.000000	99.405	176.9497
36.500000	99.391	176.4656
37.000000	99.368	176.0024
37.500000	99.344	175.6030
38.200001	99.316	175.1301
38.700001	99.299	174.8217
39.500000	99.274	174.3569
40.000000	99.262	174.0419
40.599998	99.242	173.5886
41.200001	99.203	173.1235
41.799999	99.150	172.7862
42.500000	99.107	172.5262
43.099998	99.092	172.1971
43.700001	99.078	171.6917
44.400002	99.050	171.0743
45.000000	99.028	170.6701
45.500000	99.010	170.4278
46.200001	98.966	170.2245
46.799999	98.918	170.1157
47.500000	98.883	169.7088
48.200001	98.850	168.7214
48.700001	98.802	167.9081
49.400002	98.722	167.2581
50.000000	98.695	167.3315
50.799999	98.720	167.7019
51.500000	98.724	167.7613
52.200001	98.683	167.5673
53.000000	98.631	167.1848
53.799999	98.599	166.7645
54.500000	98.577	166.4989
