* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 24, 2024 10:37:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Hola R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.317	-162.7076
20.600000	100.356	-163.3175
20.900000	100.379	-164.0219
21.200001	100.377	-164.7180
21.400000	100.366	-165.1450
21.799999	100.332	-165.8730
22.000000	100.317	-166.1801
22.400000	100.302	-166.7473
22.700001	100.304	-167.1977
23.000000	100.312	-167.7079
23.299999	100.318	-168.2730
23.600000	100.316	-168.8571
24.000000	100.303	-169.5845
24.299999	100.291	-170.0523
24.700001	100.281	-170.5757
25.000000	100.281	-170.9284
25.400000	100.289	-171.4057
25.799999	100.298	-171.9222
26.200001	100.300	-172.4633
26.500000	100.297	-172.8634
26.900000	100.290	-173.3705
27.200001	100.286	-173.7318
27.600000	100.281	-174.2009
28.000000	100.277	-174.6675
28.500000	100.271	-175.2483
29.000000	100.263	-175.8164
29.500000	100.254	-176.3683
30.000000	100.245	-176.9060
30.400000	100.236	-177.3234
30.700001	100.229	-177.6280
31.100000	100.221	-178.0256
31.500000	100.212	-178.4223
32.000000	100.200	-178.9293
32.500000	100.186	-179.4457
33.000000	100.169	-179.9489
33.500000	100.153	179.5825
34.000000	100.138	179.1504
34.500000	100.124	178.7411
35.000000	100.109	178.3386
35.500000	100.091	177.9307
36.000000	100.072	177.5074
36.500000	100.052	177.0677
37.000000	100.031	176.6304
37.500000	100.009	176.2267
38.200001	99.983	175.7213
38.700001	99.966	175.3414
39.500000	99.925	174.6402
40.000000	99.887	174.2435
40.599998	99.849	173.9213
41.200001	99.840	173.6813
41.799999	99.844	173.3489
42.500000	99.826	172.8223
43.099998	99.791	172.3663
43.700001	99.758	171.9386
44.400002	99.723	171.4806
45.000000	99.687	171.1738
45.500000	99.655	170.9550
46.200001	99.603	170.5814
46.799999	99.560	170.2065
47.500000	99.559	169.7886
48.200001	99.623	169.2394
48.700001	99.656	168.7471
49.400002	99.609	168.2820
50.000000	99.511	168.3462
50.799999	99.413	168.5828
51.500000	99.368	168.2910
52.200001	99.325	167.7158
53.000000	99.296	167.2310
53.799999	99.283	166.9034
54.500000	99.251	166.6587
55.200001	99.208	166.4360
56.000000	99.166	166.1141
57.000000	99.119	165.6806
58.000000	99.077	165.3338
59.000000	99.023	164.9730
60.000000	98.952	164.4859
60.799999	98.889	163.9996
61.500000	98.845	163.6775
62.200001	98.834	163.5112
63.000000	98.840	163.4044
64.000000	98.810	163.3138
65.000000	98.740	163.1733
66.000000	98.666	162.8455
67.000000	98.609	162.4927
68.000000	98.561	162.1909
69.000000	98.505	161.9314
70.000000	98.450	161.6863
71.000000	98.400	161.4461
72.000000	98.353	161.2261
73.000000	98.309	161.0060
74.000000	98.266	160.7902
75.000000	98.221	160.5660
76.199997	98.160	160.3022
77.500000	98.095	160.0650
78.800003	98.036	159.8236
80.000000	97.982	159.5620
81.199997	97.918	159.3641
82.500000	97.848	159.2428
83.800003	97.784	159.0809
85.000000	97.732	158.9078
86.199997	97.679	158.7567
87.500000	97.620	158.6079
88.500000	97.577	158.4987
90.000000	97.514	158.3308
91.199997	97.460	158.2081
92.500000	97.401	158.0713
93.800003	97.344	157.9302
95.000000	97.292	157.8215
96.199997	97.239	157.7338
97.500000	97.192	157.6412
98.800003	97.164	157.5662
100.000000	97.125	157.4681
101.500000	97.032	157.3257
103.000000	96.945	157.2133
104.400002	96.887	157.1206
106.000000	96.828	157.0082
107.500000	96.771	156.9905
109.000000	96.716	156.9914
110.599998	96.658	156.9508
112.000000	96.606	156.9004
113.800003	96.537	156.8526
115.000000	96.490	156.8446
117.199997	96.404	156.7992
118.000000	96.376	156.7802
120.599998	96.285	156.7481
122.000000	96.236	156.7337
124.099998	96.165	156.7137
125.000000	96.135	156.7121
126.500000	96.089	156.7139
128.000000	96.040	156.7282
131.500000	95.925	156.7692
132.000000	95.910	156.7794
134.000000	95.851	156.8368
136.000000	95.793	156.8766
138.000000	95.735	156.9031
140.000000	95.680	156.9437
143.000000	95.600	157.0999
145.000000	95.543	157.2010
147.500000	95.476	157.3360
150.000000	95.420	157.3599
152.500000	95.350	157.3999
155.000000	95.282	157.5114
157.500000	95.217	157.6304
160.000000	95.149	157.7322
162.500000	95.081	157.8339
165.000000	95.021	157.9560
167.500000	94.956	158.1275
170.000000	94.891	158.2679
172.500000	94.831	158.4019
175.000000	94.765	158.5628
177.500000	94.701	158.7229
180.000000	94.641	158.8906
