* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jul 8, 2025 11:28:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Pure ASMR L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.897	-179.1064
20.600000	100.880	-179.4664
20.900000	100.858	-179.8643
21.200001	100.833	179.7194
21.400000	100.817	179.4323
21.799999	100.784	178.8450
22.000000	100.769	178.5517
22.400000	100.740	177.9815
22.700001	100.721	177.5770
23.000000	100.702	177.1973
23.299999	100.683	176.8442
23.600000	100.662	176.5165
24.000000	100.633	176.1090
24.299999	100.611	175.8115
24.700001	100.582	175.4010
25.000000	100.559	175.0719
25.400000	100.529	174.6085
25.799999	100.500	174.1429
26.200001	100.473	173.7080
26.500000	100.454	173.4126
26.900000	100.431	173.0577
27.200001	100.411	172.8146
27.600000	100.377	172.5135
28.000000	100.336	172.2295
28.500000	100.281	171.8638
29.000000	100.233	171.4309
29.500000	100.194	170.9380
30.000000	100.160	170.5090
30.400000	100.137	170.2921
30.700001	100.125	170.1939
31.100000	100.109	170.0743
31.500000	100.080	169.8807
32.000000	100.002	169.5142
32.500000	99.900	169.1266
33.000000	99.846	168.7298
33.500000	99.900	168.0401
34.000000	100.013	166.8289
34.500000	100.070	165.3995
35.000000	100.005	164.4976
35.500000	99.861	164.6640
36.000000	99.741	165.6639
36.500000	99.690	166.6281
37.000000	99.662	166.9174
37.500000	99.603	166.6107
38.200001	99.496	166.0046
38.700001	99.458	165.7190
39.500000	99.442	165.3505
40.000000	99.409	165.1778
40.599998	99.349	165.0834
41.200001	99.302	164.9538
41.799999	99.271	164.6393
42.500000	99.228	164.2184
43.099998	99.186	164.0262
43.700001	99.148	163.9184
44.400002	99.092	163.6335
45.000000	99.016	163.2617
45.500000	98.943	163.0273
46.200001	98.881	162.9455
46.799999	98.883	162.9185
47.500000	98.891	162.7137
48.200001	98.850	162.5417
48.700001	98.808	162.5896
49.400002	98.775	162.8150
50.000000	98.772	163.0470
50.799999	98.788	163.4220
51.500000	98.814	163.5832
52.200001	98.793	163.2476
53.000000	98.664	162.5122
53.799999	98.512	161.9420
54.500000	98.441	161.6011
55.200001	98.405	161.3678
56.000000	98.367	161.3323
57.000000	98.317	161.3698
58.000000	98.262	161.1747
59.000000	98.216	161.0234
60.000000	98.173	160.9827
60.799999	98.124	160.8833
61.500000	98.073	160.7517
62.200001	98.029	160.6663
63.000000	97.993	160.6600
64.000000	97.948	160.6367
65.000000	97.889	160.3447
66.000000	97.807	159.8583
67.000000	97.718	159.7289
68.000000	97.688	159.8105
69.000000	97.680	159.4757
70.000000	97.628	159.2301
71.000000	97.585	159.5528
