* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jul 8, 2025 11:30:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Pure ASMR R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.727	-176.3518
20.600000	100.713	-176.7211
20.900000	100.694	-177.1193
21.200001	100.674	-177.5209
21.400000	100.661	-177.7893
21.799999	100.636	-178.3224
22.000000	100.626	-178.5837
22.400000	100.607	-179.0902
22.700001	100.596	-179.4565
23.000000	100.585	-179.8156
23.299999	100.574	179.8278
23.600000	100.561	179.4711
24.000000	100.540	178.9986
24.299999	100.520	178.6526
24.700001	100.491	178.2114
25.000000	100.470	177.8975
25.400000	100.442	177.4968
25.799999	100.417	177.1077
26.200001	100.392	176.7256
26.500000	100.373	176.4462
26.900000	100.346	176.0897
27.200001	100.325	175.8363
27.600000	100.298	175.5114
28.000000	100.274	175.1880
28.500000	100.247	174.7700
29.000000	100.220	174.3459
29.500000	100.191	173.9493
30.000000	100.160	173.5979
30.400000	100.136	173.3345
30.700001	100.118	173.1325
31.100000	100.092	172.8456
31.500000	100.063	172.5413
32.000000	100.023	172.1665
32.500000	99.985	171.8350
33.000000	99.954	171.5537
33.500000	99.929	171.2975
34.000000	99.903	171.0447
34.500000	99.870	170.7939
35.000000	99.833	170.5454
35.500000	99.797	170.2815
36.000000	99.762	169.9836
36.500000	99.728	169.6636
37.000000	99.693	169.3610
37.500000	99.661	169.1050
38.200001	99.625	168.8101
38.700001	99.604	168.6183
39.500000	99.567	168.3368
40.000000	99.537	168.1751
40.599998	99.494	167.9734
41.200001	99.447	167.7402
41.799999	99.407	167.4688
42.500000	99.373	167.1479
43.099998	99.347	166.9482
43.700001	99.313	166.8354
44.400002	99.257	166.6961
45.000000	99.199	166.4816
45.500000	99.161	166.2492
46.200001	99.145	165.9217
46.799999	99.143	165.7491
47.500000	99.099	165.8333
48.200001	99.002	166.0630
48.700001	98.919	166.0430
49.400002	98.839	165.6937
50.000000	98.896	165.3688
50.799999	99.207	164.8477
51.500000	99.452	163.9686
52.200001	99.387	163.3214
53.000000	99.026	163.8642
53.799999	98.748	164.7121
54.500000	98.662	164.4838
55.200001	98.631	163.9160
56.000000	98.622	163.7654
57.000000	98.588	163.8974
58.000000	98.507	163.7843
59.000000	98.475	163.4592
60.000000	98.444	163.2265
60.799999	98.394	163.2155
61.500000	98.353	163.1589
62.200001	98.323	162.9817
63.000000	98.292	162.8091
64.000000	98.247	162.9551
65.000000	98.191	163.0344
66.000000	98.082	162.6673
67.000000	97.989	162.4790
68.000000	97.988	162.5263
69.000000	97.983	162.5138
70.000000	97.936	162.4548
71.000000	97.897	162.3536
72.000000	97.879	162.3223
73.000000	97.832	162.3298
74.000000	97.747	162.2733
75.000000	97.692	162.1506
76.199997	97.666	162.2141
77.500000	97.615	162.5586
78.800003	97.646	162.5835
80.000000	97.774	162.0273
81.199997	97.737	161.8363
82.500000	97.612	162.2098
83.800003	97.483	162.1167
85.000000	97.394	162.0115
86.199997	97.326	161.5172
87.500000	97.242	161.5771
88.500000	97.202	162.2504
90.000000	97.107	162.8450
91.199997	97.014	162.6843
92.500000	96.997	162.5903
93.800003	97.023	162.7208
95.000000	97.001	162.8276
96.199997	96.978	163.1416
97.500000	96.933	164.6058
98.800003	96.940	165.9833
100.000000	96.954	164.9444
101.500000	96.890	163.9107
103.000000	96.734	165.0760
104.400002	96.693	165.5385
106.000000	96.820	164.2936
107.500000	96.863	163.8958
109.000000	96.850	163.8710
110.599998	96.847	163.5409
112.000000	96.818	163.3031
113.800003	96.752	163.2245
115.000000	96.718	163.1431
117.199997	96.673	163.0929
118.000000	96.668	163.1708
120.599998	96.639	163.2890
122.000000	96.611	163.3121
124.099998	96.593	163.5430
125.000000	96.552	163.5235
126.500000	96.477	163.4247
128.000000	96.457	163.3560
131.500000	96.404	163.1781
132.000000	96.385	163.2016
134.000000	96.320	163.3815
136.000000	96.301	163.5211
138.000000	96.283	163.6751
140.000000	96.251	163.7054
143.000000	96.194	163.9048
145.000000	96.161	164.0471
147.500000	96.126	164.1897
150.000000	96.106	164.3929
152.500000	96.075	164.4969
155.000000	96.034	164.6435
157.500000	96.022	164.8165
160.000000	96.013	164.9700
162.500000	95.983	165.1096
165.000000	95.952	165.0726
167.500000	95.932	165.0706
170.000000	95.898	165.1990
172.500000	95.839	165.2556
175.000000	95.812	165.1620
177.500000	95.798	165.2397
180.000000	95.770	165.3761
182.500000	95.735	165.4509
185.000000	95.697	165.5031
187.500000	95.658	165.6018
190.000000	95.624	165.6787
192.500000	95.596	165.7464
195.000000	95.567	165.8457
197.500000	95.539	165.9484
200.000000	95.512	166.0657
203.000000	95.477	166.1891
206.000000	95.449	166.2615
209.000000	95.428	166.3759
212.000000	95.407	166.5236
214.000000	95.393	166.5915
218.000000	95.360	166.7253
220.000000	95.342	166.8034
224.000000	95.306	166.9429
227.000000	95.283	167.0346
230.000000	95.265	167.1319
233.000000	95.244	167.2512
236.000000	95.220	167.3607
240.000000	95.188	167.4865
243.000000	95.164	167.5704
247.000000	95.134	167.7058
250.000000	95.113	167.8511
254.000000	95.087	168.0008
258.000000	95.057	168.1414
262.000000	95.028	168.2844
265.000000	95.006	168.3922
269.000000	94.978	168.5326
272.000000	94.958	168.6118
276.000000	94.936	168.7289
280.000000	94.913	168.8968
285.000000	94.880	169.0793
290.000000	94.853	169.2418
295.000000	94.824	169.4349
300.000000	94.793	169.5658
304.000000	94.771	169.6907
307.000000	94.752	169.8132
311.000000	94.729	169.9561
315.000000	94.708	170.0425
320.000000	94.676	170.1835
325.000000	94.651	170.3676
330.000000	94.624	170.4632
335.000000	94.585	170.5977
340.000000	94.555	170.8157
345.000000	94.536	171.0086
350.000000	94.514	171.1386
355.000000	94.486	171.2805
360.000000	94.456	171.4387
365.000000	94.429	171.5948
370.000000	94.402	171.7477
375.000000	94.376	171.9014
382.000000	94.344	172.1108
387.000000	94.319	172.2726
395.000000	94.279	172.5202
400.000000	94.255	172.6495
406.000000	94.224	172.8176
412.000000	94.193	173.0070
418.000000	94.164	173.2095
425.000000	94.125	173.4312
431.000000	94.093	173.6134
437.000000	94.064	173.7944
444.000000	94.030	174.0280
450.000000	94.000	174.2589
455.000000	93.975	174.4253
462.000000	93.942	174.6310
468.000000	93.913	174.8150
475.000000	93.875	175.0670
482.000000	93.842	175.3247
487.000000	93.818	175.4964
494.000000	93.786	175.7361
500.000000	93.758	175.9388
508.000000	93.719	176.2082
515.000000	93.680	176.4265
522.000000	93.638	176.7313
530.000000	93.599	177.1022
538.000000	93.564	177.4127
545.000000	93.528	177.6950
552.000000	93.491	177.9888
560.000000	93.453	178.3098
570.000000	93.407	178.7427
580.000000	93.361	179.2015
590.000000	93.316	179.6693
600.000000	93.273	-179.8544
608.000000	93.238	-179.4598
615.000000	93.209	-179.1079
622.000000	93.181	-178.7532
630.000000	93.150	-178.3424
640.000000	93.113	-177.8147
650.000000	93.077	-177.2806
660.000000	93.042	-176.7434
670.000000	93.010	-176.1915
680.000000	92.978	-175.6197
690.000000	92.949	-175.0423
700.000000	92.922	-174.4580
710.000000	92.896	-173.8674
720.000000	92.873	-173.2700
730.000000	92.851	-172.6605
740.000000	92.831	-172.0397
750.000000	92.813	-171.4174
762.000000	92.799	-170.6411
775.000000	92.787	-169.7945
788.000000	92.778	-168.9439
800.000000	92.772	-168.1537
812.000000	92.767	-167.3531
825.000000	92.766	-166.4830
838.000000	92.770	-165.6154
850.000000	92.779	-164.8078
862.000000	92.791	-164.0086
875.000000	92.808	-163.1424
885.000000	92.826	-162.4822
900.000000	92.861	-161.5058
912.000000	92.894	-160.7417
925.000000	92.938	-159.9290
938.000000	92.985	-159.1121
950.000000	93.031	-158.3933
962.000000	93.081	-157.7252
975.000000	93.140	-157.0208
988.000000	93.203	-156.3199
1000.000000	93.265	-155.6999
1015.000000	93.344	-155.0110
1030.000000	93.427	-154.3657
1044.000000	93.507	-153.7921
1060.000000	93.598	-153.1874
1075.000000	93.683	-152.6692
1090.000000	93.770	-152.1981
1106.000000	93.861	-151.7416
1120.000000	93.939	-151.3818
1138.000000	94.036	-150.9696
1150.000000	94.098	-150.7209
1172.000000	94.209	-150.3110
1180.000000	94.248	-150.1765
1206.000000	94.366	-149.7816
1220.000000	94.426	-149.5864
1241.000000	94.512	-149.3084
1250.000000	94.548	-149.1973
1265.000000	94.609	-149.0348
1280.000000	94.669	-148.8765
1315.000000	94.800	-148.4985
1320.000000	94.818	-148.4437
1340.000000	94.885	-148.2234
1360.000000	94.948	-147.9954
1380.000000	95.009	-147.7524
1400.000000	95.067	-147.5011
1430.000000	95.146	-147.0864
1450.000000	95.192	-146.7820
1475.000000	95.260	-146.4416
1500.000000	95.330	-146.0943
1525.000000	95.395	-145.7059
1550.000000	95.460	-145.2967
1575.000000	95.524	-144.8745
1600.000000	95.587	-144.4412
1625.000000	95.648	-144.0016
1650.000000	95.709	-143.5556
1675.000000	95.772	-143.0973
1700.000000	95.836	-142.6355
1725.000000	95.901	-142.1745
1750.000000	95.970	-141.7097
1775.000000	96.041	-141.2376
1800.000000	96.115	-140.7592
1825.000000	96.189	-140.2943
1850.000000	96.263	-139.8184
1875.000000	96.342	-139.3044
1900.000000	96.429	-138.7679
1925.000000	96.528	-138.2210
1950.000000	96.640	-137.6894
1975.000000	96.764	-137.2328
2000.000000	96.894	-136.8848
2030.000000	97.050	-136.5816
2060.000000	97.197	-136.3388
2090.000000	97.338	-136.1217
2120.000000	97.477	-135.9430
2140.000000	97.568	-135.8240
2180.000000	97.750	-135.6033
2200.000000	97.843	-135.5137
2240.000000	98.036	-135.3584
2270.000000	98.187	-135.2807
2300.000000	98.338	-135.2664
2330.000000	98.489	-135.3220
2360.000000	98.638	-135.4396
2400.000000	98.833	-135.6799
2430.000000	98.975	-135.9164
2470.000000	99.158	-136.2867
2500.000000	99.291	-136.6255
2540.000000	99.463	-137.1430
2580.000000	99.626	-137.7147
2620.000000	99.774	-138.4023
2650.000000	99.873	-138.9434
2690.000000	99.998	-139.6205
2720.000000	100.082	-140.1060
2760.000000	100.185	-140.7077
2800.000000	100.293	-141.2313
2850.000000	100.460	-141.8244
2900.000000	100.675	-142.6898
2950.000000	100.894	-144.1483
3000.000000	101.047	-146.1023
3040.000000	101.104	-147.7841
3070.000000	101.115	-149.0203
3110.000000	101.095	-150.5849
3150.000000	101.043	-152.0343
3200.000000	100.941	-153.6461
3250.000000	100.806	-154.9788
3300.000000	100.656	-156.0065
3350.000000	100.507	-156.7493
3400.000000	100.369	-157.2764
3450.000000	100.247	-157.6719
3500.000000	100.138	-158.0095
3550.000000	100.037	-158.3203
3600.000000	99.938	-158.6095
3650.000000	99.837	-158.8645
3700.000000	99.733	-159.0626
3750.000000	99.628	-159.1846
3820.000000	99.487	-159.2089
3870.000000	99.396	-159.1396
3950.000000	99.269	-158.9353
4000.000000	99.200	-158.7903
4060.000000	99.122	-158.6215
4120.000000	99.050	-158.4692
4180.000000	98.983	-158.3365
4250.000000	98.910	-158.1913
4310.000000	98.852	-158.0737
4370.000000	98.799	-157.9669
4440.000000	98.744	-157.8693
4500.000000	98.703	-157.8282
4550.000000	98.673	-157.8377
4620.000000	98.630	-157.9317
4680.000000	98.591	-158.0921
4750.000000	98.536	-158.3621
4820.000000	98.467	-158.7051
4870.000000	98.408	-158.9800
4940.000000	98.309	-159.3794
5000.000000	98.208	-159.7134
5080.000000	98.052	-160.0973
5150.000000	97.898	-160.3341
5220.000000	97.731	-160.4486
5300.000000	97.531	-160.4068
5380.000000	97.329	-160.1585
5450.000000	97.159	-159.7729
5520.000000	97.001	-159.2507
5600.000000	96.842	-158.5173
5700.000000	96.683	-157.4962
5800.000000	96.564	-156.4893
5900.000000	96.473	-155.5751
6000.000000	96.396	-154.7521
6080.000000	96.337	-154.1120
6150.000000	96.289	-153.5240
6220.000000	96.250	-152.8864
6300.000000	96.227	-152.0840
