* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jul 8, 2025 11:23:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Pure Foam L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.457	-177.5643
20.600000	100.452	-177.9683
20.900000	100.447	-178.4268
21.200001	100.440	-178.9134
21.400000	100.433	-179.2466
21.799999	100.410	-179.8982
22.000000	100.394	179.8022
22.400000	100.354	179.2887
22.700001	100.323	178.9794
23.000000	100.294	178.7120
23.299999	100.269	178.4529
23.600000	100.247	178.1709
24.000000	100.218	177.7334
24.299999	100.195	177.3653
24.700001	100.161	176.8556
25.000000	100.136	176.4837
25.400000	100.105	176.0218
25.799999	100.080	175.5991
26.200001	100.058	175.2053
26.500000	100.041	174.9242
26.900000	100.016	174.5663
27.200001	99.994	174.3091
27.600000	99.963	173.9756
28.000000	99.930	173.6430
28.500000	99.891	173.2198
29.000000	99.853	172.7974
29.500000	99.816	172.3992
30.000000	99.780	172.0393
30.400000	99.752	171.7743
30.700001	99.730	171.5812
31.100000	99.701	171.3200
31.500000	99.669	171.0456
32.000000	99.627	170.6840
32.500000	99.584	170.3243
33.000000	99.542	169.9975
33.500000	99.507	169.7116
34.000000	99.477	169.4420
34.500000	99.449	169.1609
35.000000	99.415	168.8716
35.500000	99.376	168.6015
36.000000	99.340	168.3631
36.500000	99.312	168.1353
37.000000	99.288	167.8904
37.500000	99.261	167.6325
38.200001	99.208	167.3146
38.700001	99.162	167.1446
39.500000	99.093	166.8991
40.000000	99.056	166.7040
40.599998	99.014	166.4288
41.200001	98.972	166.1800
41.799999	98.932	166.0254
42.500000	98.889	165.9339
43.099998	98.853	165.8092
43.700001	98.811	165.5607
44.400002	98.753	165.1795
45.000000	98.710	164.9114
45.500000	98.686	164.7714
46.200001	98.662	164.6455
46.799999	98.624	164.5387
47.500000	98.555	164.3841
48.200001	98.498	164.1169
48.700001	98.482	163.8138
49.400002	98.481	163.3895
50.000000	98.482	163.3042
50.799999	98.479	163.6717
51.500000	98.452	163.9711
52.200001	98.369	163.9021
53.000000	98.240	163.5558
53.799999	98.166	163.1711
54.500000	98.148	162.8619
55.200001	98.126	162.6821
56.000000	98.081	162.6447
57.000000	98.016	162.5672
58.000000	97.962	162.4014
59.000000	97.922	162.2613
60.000000	97.869	162.1663
60.799999	97.823	162.1264
61.500000	97.789	162.0717
62.200001	97.755	162.0036
63.000000	97.719	161.9494
64.000000	97.680	161.8503
65.000000	97.622	161.6704
66.000000	97.543	161.6084
67.000000	97.487	161.6633
68.000000	97.459	161.6441
69.000000	97.426	161.5934
70.000000	97.382	161.5744
71.000000	97.339	161.5383
72.000000	97.301	161.4783
73.000000	97.263	161.4064
74.000000	97.218	161.3530
75.000000	97.176	161.3314
76.199997	97.128	161.3622
77.500000	97.072	161.3820
78.800003	97.023	161.3136
80.000000	96.997	161.1931
