* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jul 17, 2025 1:21:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Pure Jijujet L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.460	-179.0035
20.600000	100.448	-179.4057
20.900000	100.431	-179.8474
21.200001	100.411	179.7039
21.400000	100.396	179.4057
21.799999	100.364	178.8256
22.000000	100.348	178.5491
22.400000	100.317	178.0269
22.700001	100.293	177.6561
23.000000	100.270	177.2924
23.299999	100.245	176.9275
23.600000	100.217	176.5581
24.000000	100.175	176.0640
24.299999	100.143	175.6999
24.700001	100.104	175.2308
25.000000	100.079	174.8913
25.400000	100.053	174.4510
25.799999	100.033	174.0256
26.200001	100.014	173.6262
26.500000	99.996	173.3504
26.900000	99.969	173.0107
27.200001	99.945	172.7629
27.600000	99.909	172.4113
28.000000	99.866	172.0124
28.500000	99.803	171.4604
29.000000	99.737	170.9249
29.500000	99.683	170.4810
30.000000	99.650	170.1310
30.400000	99.636	169.8849
30.700001	99.626	169.7061
31.100000	99.608	169.4745
31.500000	99.582	169.2590
32.000000	99.541	169.0114
32.500000	99.500	168.7501
33.000000	99.461	168.4278
33.500000	99.420	168.0490
34.000000	99.375	167.6758
34.500000	99.328	167.3684
35.000000	99.286	167.1293
35.500000	99.249	166.9135
36.000000	99.212	166.6871
36.500000	99.169	166.4619
37.000000	99.124	166.2679
37.500000	99.084	166.1057
38.200001	99.045	165.8625
38.700001	99.021	165.6445
39.500000	98.976	165.2634
40.000000	98.939	165.0303
40.599998	98.886	164.7528
41.200001	98.824	164.4965
41.799999	98.769	164.2859
42.500000	98.733	164.0267
43.099998	98.715	163.7214
43.700001	98.679	163.4224
44.400002	98.612	163.2684
45.000000	98.556	163.2653
45.500000	98.519	163.2243
46.200001	98.469	163.0305
46.799999	98.424	162.8352
47.500000	98.377	162.6706
48.200001	98.331	162.5376
48.700001	98.291	162.4525
49.400002	98.232	162.3608
50.000000	98.191	162.2701
50.799999	98.150	162.0566
51.500000	98.111	161.8424
52.200001	98.069	161.6924
53.000000	98.027	161.5756
53.799999	97.988	161.4479
54.500000	97.949	161.3324
55.200001	97.904	161.2372
56.000000	97.848	161.1487
57.000000	97.787	161.0275
58.000000	97.738	160.8813
59.000000	97.689	160.7413
60.000000	97.633	160.6350
60.799999	97.588	160.5833
61.500000	97.551	160.5512
62.200001	97.514	160.5052
63.000000	97.464	160.4311
64.000000	97.403	160.3680
65.000000	97.363	160.2907
66.000000	97.320	160.1424
67.000000	97.258	160.0816
68.000000	97.207	160.0758
69.000000	97.166	160.0335
70.000000	97.125	160.0156
71.000000	97.078	160.0313
72.000000	97.025	160.0388
73.000000	96.975	160.0145
74.000000	96.930	159.9504
75.000000	96.882	159.9362
76.199997	96.834	160.0428
77.500000	96.787	160.0754
78.800003	96.733	160.0002
80.000000	96.680	159.9473
81.199997	96.622	159.9930
82.500000	96.566	160.0007
83.800003	96.524	160.0684
85.000000	96.496	160.4960
86.199997	96.507	160.8221
87.500000	96.482	160.3959
88.500000	96.396	160.1743
90.000000	96.293	160.3332
91.199997	96.250	160.2208
92.500000	96.201	160.1141
93.800003	96.162	160.2566
95.000000	96.149	160.2629
96.199997	96.131	160.0801
97.500000	96.093	160.1101
98.800003	96.050	160.1370
100.000000	95.987	159.9981
101.500000	95.922	160.3198
103.000000	95.912	160.8689
104.400002	95.904	161.1295
106.000000	95.839	161.3303
107.500000	95.737	161.3286
109.000000	95.724	160.9068
110.599998	95.733	159.8140
112.000000	95.657	159.6150
113.800003	95.645	160.8890
115.000000	95.651	161.3819
117.199997	95.616	161.6758
118.000000	95.601	161.6719
120.599998	95.552	161.6309
122.000000	95.516	161.6968
124.099998	95.463	161.7607
125.000000	95.446	161.8013
126.500000	95.419	161.8916
128.000000	95.394	161.9777
131.500000	95.344	162.2256
132.000000	95.333	162.2540
134.000000	95.290	162.3404
136.000000	95.253	162.4330
138.000000	95.221	162.5537
140.000000	95.194	162.6452
143.000000	95.150	162.7739
145.000000	95.124	162.8901
147.500000	95.090	163.0582
150.000000	95.052	163.2522
152.500000	95.024	163.3333
155.000000	94.991	163.4228
157.500000	94.960	163.5301
160.000000	94.926	163.6549
162.500000	94.886	163.8112
165.000000	94.849	163.9572
167.500000	94.815	164.1148
170.000000	94.780	164.2628
172.500000	94.744	164.3655
175.000000	94.713	164.4781
177.500000	94.689	164.6373
180.000000	94.658	164.7882
182.500000	94.625	164.8873
185.000000	94.591	164.9979
187.500000	94.556	165.1291
190.000000	94.523	165.2670
192.500000	94.496	165.3957
195.000000	94.468	165.5181
197.500000	94.439	165.6790
200.000000	94.409	165.8555
203.000000	94.380	165.9453
206.000000	94.354	166.0557
209.000000	94.334	166.2123
212.000000	94.311	166.3492
214.000000	94.297	166.4219
218.000000	94.267	166.5812
220.000000	94.250	166.6792
224.000000	94.217	166.8658
227.000000	94.195	166.9955
230.000000	94.173	167.1229
233.000000	94.150	167.2444
236.000000	94.127	167.3686
240.000000	94.098	167.5383
243.000000	94.076	167.6644
247.000000	94.047	167.8149
250.000000	94.026	167.9310
254.000000	93.997	168.1208
258.000000	93.970	168.2988
262.000000	93.941	168.4519
265.000000	93.918	168.5600
269.000000	93.886	168.7446
272.000000	93.866	168.8810
276.000000	93.841	169.0631
280.000000	93.814	169.2175
285.000000	93.778	169.4115
290.000000	93.744	169.6089
295.000000	93.714	169.8121
300.000000	93.681	170.0247
304.000000	93.656	170.1898
307.000000	93.637	170.3060
311.000000	93.611	170.4712
315.000000	93.581	170.6373
320.000000	93.546	170.8351
325.000000	93.524	171.0551
330.000000	93.500	171.2681
335.000000	93.469	171.4790
340.000000	93.441	171.7267
345.000000	93.411	171.9518
350.000000	93.383	172.1503
355.000000	93.367	172.3793
360.000000	93.351	172.6041
365.000000	93.331	172.7892
370.000000	93.308	172.9688
375.000000	93.282	173.1379
382.000000	93.253	173.3665
387.000000	93.233	173.5275
395.000000	93.194	173.8163
400.000000	93.169	174.0010
406.000000	93.139	174.2259
412.000000	93.109	174.4479
418.000000	93.081	174.6717
425.000000	93.047	174.9339
431.000000	93.018	175.1610
437.000000	92.990	175.3876
444.000000	92.963	175.6641
450.000000	92.940	175.9139
455.000000	92.914	176.1185
462.000000	92.877	176.3956
468.000000	92.848	176.6316
475.000000	92.815	176.9052
482.000000	92.783	177.1815
487.000000	92.761	177.3866
494.000000	92.727	177.6746
500.000000	92.697	177.9222
508.000000	92.659	178.2637
515.000000	92.629	178.5653
522.000000	92.599	178.8751
530.000000	92.565	179.2425
538.000000	92.531	179.6087
545.000000	92.499	179.9357
552.000000	92.467	-179.7316
560.000000	92.437	-179.3503
570.000000	92.399	-178.8657
580.000000	92.360	-178.3758
590.000000	92.321	-177.8783
600.000000	92.284	-177.3658
608.000000	92.255	-176.9481
615.000000	92.231	-176.5789
622.000000	92.207	-176.2085
630.000000	92.181	-175.7776
640.000000	92.147	-175.2229
650.000000	92.114	-174.6647
660.000000	92.089	-174.0994
670.000000	92.064	-173.5274
680.000000	92.039	-172.9483
690.000000	92.014	-172.3581
700.000000	91.992	-171.7639
710.000000	91.973	-171.1589
720.000000	91.955	-170.5409
730.000000	91.940	-169.9201
740.000000	91.927	-169.2885
750.000000	91.918	-168.6470
762.000000	91.905	-167.8877
775.000000	91.895	-167.0554
788.000000	91.890	-166.2064
800.000000	91.889	-165.4169
812.000000	91.887	-164.6254
825.000000	91.889	-163.7676
838.000000	91.893	-162.9182
850.000000	91.902	-162.1361
862.000000	91.917	-161.3481
875.000000	91.937	-160.4982
885.000000	91.956	-159.8496
900.000000	91.989	-158.8866
912.000000	92.020	-158.1300
925.000000	92.059	-157.3262
938.000000	92.103	-156.5419
950.000000	92.148	-155.8388
962.000000	92.195	-155.1594
975.000000	92.249	-154.4504
988.000000	92.307	-153.7701
1000.000000	92.364	-153.1645
1015.000000	92.437	-152.4439
1030.000000	92.513	-151.7728
1044.000000	92.585	-151.1773
1060.000000	92.666	-150.5525
1075.000000	92.741	-150.0164
1090.000000	92.817	-149.5110
1106.000000	92.898	-149.0135
1120.000000	92.967	-148.6079
1138.000000	93.053	-148.1244
1150.000000	93.108	-147.8239
1172.000000	93.205	-147.3205
1180.000000	93.239	-147.1477
1206.000000	93.343	-146.6111
1220.000000	93.395	-146.3373
1241.000000	93.470	-145.9450
1250.000000	93.503	-145.7814
