* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jul 8, 2025 11:15:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Pure Narrow R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.760	-176.3490
20.600000	100.743	-176.6871
20.900000	100.725	-177.0546
21.200001	100.709	-177.4346
21.400000	100.701	-177.6964
21.799999	100.689	-178.2379
22.000000	100.684	-178.5135
22.400000	100.674	-179.0607
22.700001	100.665	-179.4594
23.000000	100.655	-179.8443
23.299999	100.644	179.7844
23.600000	100.632	179.4256
24.000000	100.614	178.9680
24.299999	100.600	178.6453
24.700001	100.581	178.2515
25.000000	100.567	177.9867
25.400000	100.550	177.6690
25.799999	100.532	177.3753
26.200001	100.511	177.0856
26.500000	100.492	176.8623
26.900000	100.460	176.5511
27.200001	100.435	176.3052
27.600000	100.400	175.9561
28.000000	100.368	175.5809
28.500000	100.333	175.0906
29.000000	100.303	174.6222
29.500000	100.277	174.2196
30.000000	100.251	173.8799
30.400000	100.228	173.6250
30.700001	100.207	173.4303
31.100000	100.172	173.1629
31.500000	100.133	172.8936
32.000000	100.088	172.5620
32.500000	100.055	172.2225
33.000000	100.034	171.8548
33.500000	100.014	171.4718
34.000000	99.983	171.1222
34.500000	99.941	170.8466
35.000000	99.901	170.6339
35.500000	99.872	170.4221
36.000000	99.859	170.1423
36.500000	99.855	169.7720
37.000000	99.845	169.3586
37.500000	99.819	168.9955
38.200001	99.758	168.6974
38.700001	99.709	168.6053
39.500000	99.644	168.4310
40.000000	99.610	168.2322
40.599998	99.575	167.9496
41.200001	99.547	167.6783
41.799999	99.519	167.4321
42.500000	99.472	167.2198
43.099998	99.426	167.1244
43.700001	99.392	166.9993
44.400002	99.358	166.6855
45.000000	99.320	166.4010
45.500000	99.292	166.2528
46.200001	99.266	166.0807
46.799999	99.224	165.9004
47.500000	99.158	165.8183
48.200001	99.171	165.5529
48.700001	99.220	164.8570
49.400002	99.230	163.6512
50.000000	99.191	163.6250
50.799999	99.328	165.2092
51.500000	99.563	165.7916
52.200001	99.541	164.9702
53.000000	99.170	164.3807
53.799999	98.877	164.7068
54.500000	98.812	164.5450
55.200001	98.776	164.0682
56.000000	98.725	163.9592
57.000000	98.683	164.0166
58.000000	98.610	163.7979
59.000000	98.540	163.6922
60.000000	98.495	163.6266
60.799999	98.467	163.4615
61.500000	98.442	163.2285
62.200001	98.410	163.0469
63.000000	98.378	163.0167
64.000000	98.358	163.0222
65.000000	98.320	162.9459
66.000000	98.267	163.0828
67.000000	98.233	163.1551
68.000000	98.178	162.9595
69.000000	98.121	162.8093
70.000000	98.085	162.7078
71.000000	98.040	162.6240
72.000000	97.990	162.5807
73.000000	97.951	162.5286
74.000000	97.915	162.5095
75.000000	97.872	162.5441
76.199997	97.820	162.5016
77.500000	97.788	162.4450
78.800003	97.774	162.5506
80.000000	97.729	162.6554
81.199997	97.660	162.5473
82.500000	97.600	162.3051
83.800003	97.577	162.0591
85.000000	97.531	162.0114
86.199997	97.474	162.1007
87.500000	97.417	162.1767
88.500000	97.381	162.2830
90.000000	97.301	162.3456
91.199997	97.237	162.2900
92.500000	97.215	162.1268
93.800003	97.210	161.9862
95.000000	97.196	162.0140
96.199997	97.166	162.1641
97.500000	97.099	161.9069
98.800003	96.990	161.3502
100.000000	96.943	161.5380
101.500000	96.972	162.6605
103.000000	96.961	163.6719
104.400002	96.964	163.6641
106.000000	96.950	163.0759
107.500000	96.913	163.0116
109.000000	96.893	162.9535
110.599998	96.878	162.9706
112.000000	96.853	163.0677
113.800003	96.811	163.1416
115.000000	96.784	163.1594
117.199997	96.751	163.1506
118.000000	96.734	163.1699
120.599998	96.653	163.3503
122.000000	96.619	163.3442
124.099998	96.612	163.3445
125.000000	96.608	163.2596
126.500000	96.583	163.1699
128.000000	96.552	163.1541
131.500000	96.491	163.1625
132.000000	96.480	163.1506
134.000000	96.434	163.1006
136.000000	96.395	163.1326
138.000000	96.369	163.3280
140.000000	96.351	163.4721
143.000000	96.315	163.5125
145.000000	96.284	163.6230
147.500000	96.239	163.7709
150.000000	96.194	163.8895
152.500000	96.156	164.0174
155.000000	96.129	164.1836
157.500000	96.100	164.3959
160.000000	96.085	164.5399
162.500000	96.065	164.5735
165.000000	96.029	164.5927
167.500000	95.993	164.6248
170.000000	95.962	164.6674
172.500000	95.932	164.7403
175.000000	95.905	164.8597
177.500000	95.872	164.9861
180.000000	95.833	165.0698
182.500000	95.796	165.1445
185.000000	95.762	165.2315
187.500000	95.730	165.3387
190.000000	95.700	165.4380
192.500000	95.671	165.5283
195.000000	95.647	165.6381
197.500000	95.622	165.7379
200.000000	95.596	165.8362
203.000000	95.563	165.9503
206.000000	95.532	166.0399
209.000000	95.506	166.1083
212.000000	95.481	166.1741
214.000000	95.464	166.2428
218.000000	95.430	166.4342
220.000000	95.412	166.5091
224.000000	95.380	166.6365
227.000000	95.358	166.7529
230.000000	95.337	166.8973
233.000000	95.313	167.0473
236.000000	95.289	167.1798
240.000000	95.256	167.3685
243.000000	95.234	167.4490
247.000000	95.195	167.5296
250.000000	95.173	167.5417
254.000000	95.166	167.7498
258.000000	95.161	168.0332
262.000000	95.138	168.1494
265.000000	95.111	168.1827
269.000000	95.078	168.2505
272.000000	95.060	168.3066
276.000000	95.038	168.3641
280.000000	95.009	168.4364
285.000000	94.973	168.6353
290.000000	94.939	168.8251
295.000000	94.905	168.9891
300.000000	94.871	169.1131
304.000000	94.845	169.2140
307.000000	94.827	169.2800
311.000000	94.803	169.3950
315.000000	94.780	169.5289
320.000000	94.749	169.7054
325.000000	94.718	169.8722
330.000000	94.687	170.0046
335.000000	94.664	170.0998
340.000000	94.635	170.2491
345.000000	94.607	170.4208
350.000000	94.579	170.5993
355.000000	94.549	170.7721
360.000000	94.518	170.9291
365.000000	94.489	171.0810
370.000000	94.460	171.2264
375.000000	94.429	171.3646
382.000000	94.390	171.5734
387.000000	94.366	171.7450
395.000000	94.318	171.9351
400.000000	94.284	172.1288
406.000000	94.251	172.3629
412.000000	94.222	172.5913
418.000000	94.193	172.8188
425.000000	94.157	173.0487
431.000000	94.125	173.2337
437.000000	94.096	173.4388
444.000000	94.064	173.6820
450.000000	94.035	173.8812
455.000000	94.010	174.0676
462.000000	93.976	174.3243
468.000000	93.948	174.5264
475.000000	93.916	174.7616
482.000000	93.886	174.9984
487.000000	93.863	175.1628
494.000000	93.830	175.3939
500.000000	93.801	175.5919
508.000000	93.761	175.8635
515.000000	93.726	176.1003
522.000000	93.690	176.3493
530.000000	93.650	176.6552
538.000000	93.608	176.9759
