* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jul 8, 2025 11:32:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Pure Velvet L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.151	-178.0200
20.600000	101.136	-178.3776
20.900000	101.119	-178.7711
21.200001	101.101	-179.1850
21.400000	101.090	-179.4738
21.799999	101.066	179.9286
22.000000	101.053	179.6302
22.400000	101.026	179.0627
22.700001	101.006	178.6759
23.000000	100.988	178.3217
23.299999	100.974	177.9887
23.600000	100.961	177.6624
24.000000	100.945	177.2215
24.299999	100.930	176.8851
24.700001	100.906	176.4393
25.000000	100.884	176.1146
25.400000	100.851	175.6975
25.799999	100.815	175.2927
26.200001	100.778	174.8943
26.500000	100.749	174.6011
26.900000	100.710	174.2242
27.200001	100.683	173.9549
27.600000	100.652	173.6104
28.000000	100.627	173.2726
28.500000	100.602	172.8500
29.000000	100.574	172.4405
29.500000	100.541	172.0704
30.000000	100.503	171.7421
30.400000	100.471	171.4889
30.700001	100.447	171.2915
31.100000	100.414	171.0112
31.500000	100.380	170.7164
32.000000	100.338	170.3511
32.500000	100.298	170.0170
33.000000	100.260	169.7290
33.500000	100.225	169.4855
34.000000	100.192	169.2703
34.500000	100.162	169.0547
35.000000	100.132	168.8101
35.500000	100.098	168.5340
36.000000	100.056	168.2582
36.500000	100.010	168.0217
37.000000	99.967	167.8274
37.500000	99.933	167.6331
38.200001	99.895	167.2859
38.700001	99.867	167.0050
39.500000	99.810	166.6347
40.000000	99.773	166.4755
40.599998	99.731	166.3024
41.200001	99.692	166.0911
41.799999	99.657	165.8348
42.500000	99.618	165.5480
43.099998	99.581	165.3786
43.700001	99.543	165.2580
44.400002	99.497	165.0591
45.000000	99.456	164.8147
45.500000	99.428	164.6182
46.200001	99.400	164.4343
46.799999	99.365	164.3743
47.500000	99.291	164.3549
48.200001	99.204	164.0786
48.700001	99.150	163.5606
49.400002	99.093	162.7762
50.000000	99.113	162.7359
50.799999	99.330	163.5152
51.500000	99.533	163.7333
52.200001	99.491	163.3110
53.000000	99.185	163.0971
53.799999	98.943	163.1505
54.500000	98.868	162.8466
55.200001	98.834	162.5537
56.000000	98.811	162.5989
57.000000	98.771	162.5925
58.000000	98.698	162.3535
59.000000	98.644	162.1617
60.000000	98.584	162.0637
60.799999	98.541	162.0299
61.500000	98.518	161.9486
62.200001	98.498	161.8510
63.000000	98.462	161.8157
64.000000	98.412	161.8558
65.000000	98.382	161.8329
66.000000	98.368	161.7659
67.000000	98.330	161.6285
68.000000	98.245	161.4328
69.000000	98.165	161.2990
70.000000	98.122	161.2217
71.000000	98.079	161.2194
72.000000	98.017	161.2420
73.000000	97.956	161.1993
74.000000	97.913	161.1567
75.000000	97.881	161.1943
76.199997	97.840	161.1802
77.500000	97.817	160.8851
78.800003	97.781	160.4943
80.000000	97.653	160.7832
81.199997	97.585	161.4033
82.500000	97.587	161.1237
83.800003	97.543	161.0208
85.000000	97.504	161.1689
86.199997	97.474	161.1011
87.500000	97.468	161.0392
88.500000	97.453	161.1362
90.000000	97.378	161.4038
91.199997	97.322	161.4772
92.500000	97.285	161.4357
93.800003	97.256	161.5030
95.000000	97.235	161.4758
96.199997	97.206	161.4702
97.500000	97.143	161.5054
98.800003	97.081	161.1882
100.000000	97.056	160.8235
101.500000	97.060	161.3567
103.000000	97.034	161.8204
104.400002	96.990	161.9098
106.000000	96.968	162.0329
107.500000	96.924	162.1429
109.000000	96.872	162.2538
110.599998	96.826	162.3757
112.000000	96.786	162.3651
113.800003	96.736	162.3012
115.000000	96.707	162.2481
117.199997	96.649	162.3043
118.000000	96.632	162.4416
120.599998	96.580	162.6604
122.000000	96.527	162.9605
124.099998	96.480	163.6967
125.000000	96.496	163.7198
126.500000	96.525	163.6298
128.000000	96.525	163.5611
131.500000	96.430	163.0400
132.000000	96.426	162.9500
134.000000	96.417	162.7100
136.000000	96.405	162.6329
138.000000	96.404	162.8206
140.000000	96.391	163.2053
143.000000	96.329	163.5117
145.000000	96.284	163.5831
147.500000	96.271	163.6586
150.000000	96.263	163.7275
152.500000	96.201	163.7362
155.000000	96.160	163.7553
157.500000	96.141	163.9802
160.000000	96.117	164.2440
162.500000	96.065	164.3390
165.000000	96.015	164.3571
167.500000	95.975	164.4280
170.000000	95.944	164.5488
172.500000	95.911	164.6240
175.000000	95.886	164.7341
177.500000	95.854	164.9037
180.000000	95.819	165.0173
182.500000	95.788	165.0123
185.000000	95.765	165.1247
187.500000	95.736	165.2134
190.000000	95.706	165.3625
192.500000	95.667	165.4990
195.000000	95.632	165.5894
197.500000	95.612	165.6877
200.000000	95.593	165.8101
203.000000	95.552	165.9830
206.000000	95.506	166.1108
209.000000	95.482	166.2653
212.000000	95.468	166.4031
214.000000	95.463	166.4718
218.000000	95.444	166.6454
220.000000	95.425	166.7183
224.000000	95.385	166.7937
227.000000	95.358	166.8694
230.000000	95.333	166.9653
233.000000	95.303	167.0819
236.000000	95.273	167.1893
240.000000	95.242	167.2588
243.000000	95.216	167.3806
247.000000	95.191	167.5709
250.000000	95.176	167.7312
254.000000	95.134	167.9241
258.000000	95.090	168.3331
262.000000	95.106	168.6555
265.000000	95.107	168.6668
269.000000	95.081	168.6327
272.000000	95.067	168.6838
276.000000	95.042	168.6939
280.000000	95.004	168.7918
285.000000	94.968	168.9195
290.000000	94.938	169.2070
295.000000	94.931	169.5190
300.000000	94.917	169.6036
304.000000	94.898	169.5194
307.000000	94.886	169.5007
311.000000	94.880	169.6061
315.000000	94.855	169.8980
320.000000	94.771	170.2035
325.000000	94.724	170.2438
330.000000	94.710	170.5718
335.000000	94.681	170.7350
340.000000	94.650	170.8730
345.000000	94.624	171.0599
350.000000	94.600	171.2093
355.000000	94.581	171.4103
360.000000	94.562	171.5334
365.000000	94.538	171.6688
370.000000	94.509	171.8303
375.000000	94.477	171.9802
382.000000	94.435	172.2181
387.000000	94.408	172.4094
395.000000	94.365	172.6213
400.000000	94.341	172.7614
406.000000	94.312	173.0099
412.000000	94.279	173.2357
418.000000	94.250	173.4367
425.000000	94.219	173.6885
431.000000	94.187	173.8810
437.000000	94.155	174.0849
444.000000	94.121	174.3210
450.000000	94.094	174.5037
455.000000	94.074	174.6931
462.000000	94.049	174.9741
468.000000	94.023	175.1345
475.000000	93.983	175.3675
482.000000	93.947	175.6612
487.000000	93.927	175.8510
494.000000	93.900	176.0919
500.000000	93.874	176.2992
508.000000	93.835	176.6097
515.000000	93.800	176.8918
522.000000	93.765	177.1660
530.000000	93.725	177.4969
538.000000	93.685	177.8605
545.000000	93.650	178.1727
552.000000	93.618	178.4372
560.000000	93.588	178.7656
570.000000	93.548	179.2285
580.000000	93.507	179.6924
590.000000	93.467	-179.8385
600.000000	93.426	-179.3597
608.000000	93.394	-178.9705
615.000000	93.368	-178.6233
622.000000	93.342	-178.2682
630.000000	93.314	-177.8557
640.000000	93.280	-177.3281
650.000000	93.246	-176.7887
660.000000	93.216	-176.2597
670.000000	93.187	-175.7108
680.000000	93.160	-175.1500
690.000000	93.134	-174.5800
700.000000	93.108	-173.9994
710.000000	93.084	-173.4131
720.000000	93.063	-172.8181
730.000000	93.046	-172.2155
740.000000	93.030	-171.6039
750.000000	93.018	-170.9855
762.000000	93.003	-170.2159
775.000000	92.992	-169.3728
788.000000	92.987	-168.5151
800.000000	92.985	-167.7421
812.000000	92.980	-166.9663
825.000000	92.980	-166.0989
838.000000	92.988	-165.2233
850.000000	92.999	-164.4366
862.000000	93.015	-163.6406
875.000000	93.037	-162.7821
885.000000	93.060	-162.1199
900.000000	93.099	-161.1378
912.000000	93.133	-160.3873
925.000000	93.178	-159.5803
938.000000	93.228	-158.7791
950.000000	93.278	-158.0582
962.000000	93.334	-157.3745
975.000000	93.398	-156.6596
988.000000	93.465	-155.9812
1000.000000	93.531	-155.3820
