* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jul 8, 2025 11:34:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Pure Velvet R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.895	-175.8389
20.600000	100.884	-176.1800
20.900000	100.871	-176.5379
21.200001	100.858	-176.8974
21.400000	100.850	-177.1436
21.799999	100.836	-177.6602
22.000000	100.828	-177.9294
22.400000	100.809	-178.4746
22.700001	100.790	-178.8719
23.000000	100.770	-179.2441
23.299999	100.749	-179.5845
23.600000	100.730	-179.8958
24.000000	100.712	179.7132
24.299999	100.704	179.4158
24.700001	100.698	178.9865
25.000000	100.692	178.6354
25.400000	100.677	178.1461
25.799999	100.653	177.6730
26.200001	100.620	177.2578
26.500000	100.594	176.9946
26.900000	100.563	176.6940
27.200001	100.542	176.4858
27.600000	100.519	176.2005
28.000000	100.496	175.8904
28.500000	100.464	175.4788
29.000000	100.429	175.0742
29.500000	100.395	174.6959
30.000000	100.364	174.3392
30.400000	100.342	174.0632
30.700001	100.327	173.8599
31.100000	100.310	173.5906
31.500000	100.294	173.3182
32.000000	100.273	172.9705
32.500000	100.246	172.6303
33.000000	100.209	172.3242
33.500000	100.169	172.0552
34.000000	100.130	171.7961
34.500000	100.096	171.5260
35.000000	100.067	171.2590
35.500000	100.042	171.0189
36.000000	100.023	170.7986
36.500000	100.002	170.5635
37.000000	99.973	170.2911
37.500000	99.933	169.9933
38.200001	99.874	169.5945
38.700001	99.840	169.3643
39.500000	99.798	169.1254
40.000000	99.770	169.0217
40.599998	99.728	168.8575
41.200001	99.681	168.5938
41.799999	99.645	168.2670
42.500000	99.624	167.9669
43.099998	99.609	167.8763
43.700001	99.574	167.8567
44.400002	99.500	167.6686
45.000000	99.437	167.2876
45.500000	99.414	166.9206
46.200001	99.430	166.6042
46.799999	99.429	166.6931
47.500000	99.345	166.9949
48.200001	99.186	166.5132
48.700001	99.046	165.4054
49.400002	98.923	164.1928
50.000000	99.141	165.1440
50.799999	100.020	167.6690
51.500000	100.651	167.8162
52.200001	100.537	166.5966
53.000000	99.707	166.2166
53.799999	99.038	166.5093
54.500000	98.899	165.6354
55.200001	98.915	164.7149
56.000000	98.939	164.8310
57.000000	98.887	165.1915
58.000000	98.784	164.7915
59.000000	98.768	164.4622
60.000000	98.764	164.5553
60.799999	98.733	164.5338
61.500000	98.688	164.2881
62.200001	98.644	164.0440
63.000000	98.609	163.9249
64.000000	98.569	163.8467
65.000000	98.524	163.7545
66.000000	98.495	163.7349
67.000000	98.467	163.6780
68.000000	98.413	163.5584
69.000000	98.360	163.4480
70.000000	98.316	163.3587
71.000000	98.271	163.3151
72.000000	98.228	163.2672
73.000000	98.191	163.2165
74.000000	98.158	163.1726
75.000000	98.124	163.1017
76.199997	98.076	163.0144
77.500000	98.014	163.0024
78.800003	97.948	162.9963
80.000000	97.893	162.8734
81.199997	97.862	162.8005
82.500000	97.843	162.8016
83.800003	97.807	162.8485
85.000000	97.770	162.8645
86.199997	97.728	162.8615
87.500000	97.681	162.8559
88.500000	97.645	162.8055
90.000000	97.593	162.7532
91.199997	97.565	162.6991
92.500000	97.533	162.6757
93.800003	97.504	162.7029
95.000000	97.469	162.7346
96.199997	97.418	162.7447
97.500000	97.355	162.7049
98.800003	97.324	162.8743
100.000000	97.328	163.0251
101.500000	97.336	162.8471
103.000000	97.371	162.5339
104.400002	97.320	162.6374
106.000000	97.219	163.0116
107.500000	97.172	163.1189
109.000000	97.139	163.2070
110.599998	97.096	163.2802
