* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Jul 8, 2025 11:19:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Pure Wide L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.185	-177.9332
20.600000	101.170	-178.2827
20.900000	101.151	-178.6665
21.200001	101.131	-179.0654
21.400000	101.118	-179.3395
21.799999	101.091	-179.8978
22.000000	101.077	179.8252
22.400000	101.050	179.2915
22.700001	101.031	178.9142
23.000000	101.014	178.5533
23.299999	100.997	178.2016
23.600000	100.980	177.8524
24.000000	100.955	177.3867
24.299999	100.934	177.0408
24.700001	100.905	176.5931
25.000000	100.881	176.2713
25.400000	100.851	175.8615
25.799999	100.822	175.4706
26.200001	100.794	175.0977
26.500000	100.773	174.8307
26.900000	100.746	174.4901
27.200001	100.726	174.2422
27.600000	100.699	173.9129
28.000000	100.671	173.5796
28.500000	100.634	173.1664
29.000000	100.594	172.7808
29.500000	100.556	172.4327
30.000000	100.523	172.1008
30.400000	100.499	171.8268
30.700001	100.481	171.6116
31.100000	100.457	171.3146
31.500000	100.430	171.0150
32.000000	100.396	170.6536
32.500000	100.359	170.3218
33.000000	100.319	170.0272
33.500000	100.278	169.7605
34.000000	100.235	169.5012
34.500000	100.192	169.2375
35.000000	100.151	168.9766
35.500000	100.118	168.7256
36.000000	100.094	168.4733
36.500000	100.071	168.2068
37.000000	100.041	167.9408
37.500000	100.000	167.7067
38.200001	99.936	167.4314
38.700001	99.898	167.2241
39.500000	99.844	166.8599
40.000000	99.814	166.6671
40.599998	99.777	166.4885
41.200001	99.736	166.3206
41.799999	99.690	166.1321
42.500000	99.647	165.8690
43.099998	99.624	165.6111
43.700001	99.598	165.4424
44.400002	99.557	165.5675
45.000000	99.535	165.8342
45.500000	99.529	165.8929
46.200001	99.500	165.4818
46.799999	99.435	164.9036
47.500000	99.345	164.4793
48.200001	99.299	164.4393
48.700001	99.291	164.4719
49.400002	99.275	164.3970
50.000000	99.235	164.2130
50.799999	99.159	163.9126
51.500000	99.099	163.6520
52.200001	99.049	163.4350
53.000000	99.000	163.3137
53.799999	98.965	163.2648
54.500000	98.940	163.1631
55.200001	98.907	163.0187
56.000000	98.862	162.8898
57.000000	98.809	162.7921
58.000000	98.756	162.7264
59.000000	98.701	162.6306
60.000000	98.651	162.4726
60.799999	98.621	162.3666
61.500000	98.598	162.3156
62.200001	98.568	162.2773
63.000000	98.520	162.1914
64.000000	98.454	162.0087
65.000000	98.406	161.9587
66.000000	98.385	162.1264
67.000000	98.358	162.1272
68.000000	98.299	161.8855
69.000000	98.249	161.6961
70.000000	98.215	161.5622
71.000000	98.157	161.5062
72.000000	98.101	161.5317
73.000000	98.065	161.5099
74.000000	98.033	161.4897
75.000000	98.003	161.4739
76.199997	97.955	161.4070
77.500000	97.877	161.4229
78.800003	97.791	161.2263
80.000000	97.713	161.0986
81.199997	97.691	161.3750
82.500000	97.673	161.5710
83.800003	97.617	161.4922
85.000000	97.572	161.2694
86.199997	97.534	161.1480
87.500000	97.498	161.2424
88.500000	97.482	161.2698
90.000000	97.438	161.2141
91.199997	97.383	161.2773
92.500000	97.319	161.4342
93.800003	97.288	161.5732
95.000000	97.278	161.6483
96.199997	97.250	161.6752
97.500000	97.187	161.4441
98.800003	97.161	161.3257
100.000000	97.186	161.4261
101.500000	97.118	161.8349
103.000000	97.044	162.3280
104.400002	97.026	162.5540
106.000000	97.006	162.6055
107.500000	96.973	162.5501
109.000000	96.939	162.3947
110.599998	96.918	162.2128
112.000000	96.879	162.2897
113.800003	96.815	162.4861
115.000000	96.798	162.6191
117.199997	96.774	163.0415
118.000000	96.759	163.0682
120.599998	96.744	162.7533
122.000000	96.704	162.7710
124.099998	96.631	162.7444
125.000000	96.630	162.7873
126.500000	96.616	162.9639
128.000000	96.588	163.0786
131.500000	96.553	163.1650
132.000000	96.553	163.1419
134.000000	96.618	162.8847
136.000000	96.845	161.7536
138.000000	96.857	161.7205
140.000000	96.560	162.8914
143.000000	96.366	163.4915
145.000000	96.332	163.6502
147.500000	96.302	163.7468
150.000000	96.257	163.8065
152.500000	96.210	163.9162
155.000000	96.175	164.1666
157.500000	96.144	164.4269
160.000000	96.132	164.6514
162.500000	96.123	164.7735
165.000000	96.107	164.7692
167.500000	96.085	164.7957
170.000000	96.054	164.8260
172.500000	96.005	164.9135
175.000000	95.965	165.0295
177.500000	95.922	165.1343
180.000000	95.873	165.2820
182.500000	95.836	165.4511
185.000000	95.806	165.5777
187.500000	95.778	165.6557
190.000000	95.759	165.7574
192.500000	95.742	165.8860
195.000000	95.727	165.9818
197.500000	95.706	166.0637
200.000000	95.678	166.1237
203.000000	95.646	166.1781
206.000000	95.615	166.2726
209.000000	95.591	166.3788
212.000000	95.566	166.5018
214.000000	95.546	166.5786
218.000000	95.507	166.7318
220.000000	95.492	166.8101
224.000000	95.466	166.9269
227.000000	95.449	166.9960
230.000000	95.431	167.0208
233.000000	95.412	167.0934
236.000000	95.391	167.3005
240.000000	95.359	167.6296
243.000000	95.333	167.7905
247.000000	95.316	168.0037
250.000000	95.300	168.2099
254.000000	95.255	168.3928
258.000000	95.221	168.7106
262.000000	95.207	168.9993
265.000000	95.194	169.0743
269.000000	95.178	169.0095
272.000000	95.161	168.8057
276.000000	95.119	168.6960
280.000000	95.088	169.0233
285.000000	95.071	169.3746
290.000000	95.041	169.4518
295.000000	95.003	169.5149
300.000000	94.971	169.5880
304.000000	94.942	169.7878
307.000000	94.915	169.9017
311.000000	94.892	169.9908
315.000000	94.873	170.1285
320.000000	94.853	170.3661
325.000000	94.823	170.4817
330.000000	94.791	170.5892
335.000000	94.765	170.7525
340.000000	94.732	170.9707
345.000000	94.709	171.1354
350.000000	94.686	171.3066
355.000000	94.658	171.4688
360.000000	94.628	171.6237
365.000000	94.599	171.8008
370.000000	94.572	171.9683
375.000000	94.545	172.1394
382.000000	94.508	172.3796
387.000000	94.480	172.5278
395.000000	94.432	172.7900
400.000000	94.403	173.0044
406.000000	94.373	173.2585
412.000000	94.347	173.5108
418.000000	94.325	173.7901
425.000000	94.301	174.0999
431.000000	94.283	174.3177
437.000000	94.264	174.5209
444.000000	94.241	174.7382
450.000000	94.216	174.8977
455.000000	94.194	175.0187
462.000000	94.169	175.1851
468.000000	94.147	175.3074
475.000000	94.109	175.5390
482.000000	94.067	175.7886
487.000000	94.042	175.9636
494.000000	94.007	176.2131
500.000000	93.979	176.4238
508.000000	93.943	176.7126
515.000000	93.912	176.9937
522.000000	93.879	177.2817
530.000000	93.841	177.6075
538.000000	93.805	177.9509
545.000000	93.775	178.2587
552.000000	93.744	178.5518
560.000000	93.706	178.8719
570.000000	93.665	179.2987
580.000000	93.622	179.7545
590.000000	93.582	-179.7735
600.000000	93.543	-179.2976
608.000000	93.512	-178.9184
615.000000	93.486	-178.5802
622.000000	93.459	-178.2337
630.000000	93.431	-177.8121
640.000000	93.401	-177.2779
650.000000	93.369	-176.7563
660.000000	93.333	-176.2374
670.000000	93.302	-175.7019
680.000000	93.273	-175.1475
690.000000	93.247	-174.5804
700.000000	93.224	-174.0065
710.000000	93.202	-173.4254
720.000000	93.181	-172.8388
730.000000	93.164	-172.2467
740.000000	93.149	-171.6501
750.000000	93.137	-171.0416
762.000000	93.121	-170.2726
775.000000	93.107	-169.4364
788.000000	93.101	-168.6081
800.000000	93.098	-167.8279
812.000000	93.095	-167.0358
825.000000	93.097	-166.1767
838.000000	93.103	-165.3229
850.000000	93.114	-164.5389
862.000000	93.128	-163.7464
875.000000	93.149	-162.8913
885.000000	93.170	-162.2410
900.000000	93.207	-161.2770
912.000000	93.243	-160.5186
925.000000	93.287	-159.7152
938.000000	93.335	-158.9276
950.000000	93.384	-158.2158
962.000000	93.439	-157.5424
975.000000	93.503	-156.8438
988.000000	93.571	-156.1712
1000.000000	93.635	-155.5769
1015.000000	93.720	-154.8771
1030.000000	93.807	-154.2239
1044.000000	93.891	-153.6651
1060.000000	93.988	-153.0732
1075.000000	94.080	-152.5595
1090.000000	94.172	-152.0951
1106.000000	94.270	-151.6577
1120.000000	94.353	-151.3181
1138.000000	94.457	-150.9394
1150.000000	94.525	-150.7177
1172.000000	94.646	-150.3483
1180.000000	94.688	-150.2294
1206.000000	94.817	-149.8936
1220.000000	94.882	-149.7382
1241.000000	94.974	-149.5300
1250.000000	95.013	-149.4472
1265.000000	95.080	-149.3158
1280.000000	95.146	-149.1915
1315.000000	95.289	-148.9127
1320.000000	95.308	-148.8752
1340.000000	95.381	-148.7251
1360.000000	95.450	-148.5639
1380.000000	95.515	-148.3880
1400.000000	95.577	-148.2178
1430.000000	95.666	-147.9318
1450.000000	95.723	-147.7261
1475.000000	95.791	-147.4603
1500.000000	95.859	-147.1674
1525.000000	95.926	-146.8640
1550.000000	95.992	-146.5393
1575.000000	96.059	-146.2023
1600.000000	96.124	-145.8559
1625.000000	96.187	-145.5014
1650.000000	96.250	-145.1406
1675.000000	96.315	-144.7696
1700.000000	96.381	-144.3943
1725.000000	96.451	-144.0169
1750.000000	96.522	-143.6413
1775.000000	96.596	-143.2693
1800.000000	96.672	-142.8982
1825.000000	96.751	-142.5330
1850.000000	96.834	-142.1791
1875.000000	96.918	-141.8339
1900.000000	97.006	-141.4987
1925.000000	97.096	-141.1761
1950.000000	97.189	-140.8689
1975.000000	97.285	-140.5764
2000.000000	97.384	-140.3005
2030.000000	97.509	-139.9989
2060.000000	97.638	-139.7268
2090.000000	97.769	-139.4861
2120.000000	97.905	-139.2817
2140.000000	97.996	-139.1664
2180.000000	98.183	-138.9896
2200.000000	98.277	-138.9300
2240.000000	98.470	-138.8706
2270.000000	98.615	-138.8816
2300.000000	98.761	-138.9428
2330.000000	98.908	-139.0550
2360.000000	99.055	-139.2225
2400.000000	99.250	-139.5340
2430.000000	99.394	-139.8344
2470.000000	99.583	-140.3236
2500.000000	99.722	-140.7585
2540.000000	99.901	-141.4309
2580.000000	100.072	-142.2043
2620.000000	100.232	-143.0706
2650.000000	100.342	-143.7770
2690.000000	100.477	-144.7863
2720.000000	100.568	-145.5856
2760.000000	100.676	-146.6968
2800.000000	100.767	-147.8493
2850.000000	100.858	-149.3369
2900.000000	100.925	-150.8658
2950.000000	100.966	-152.4329
3000.000000	100.978	-154.0272
3040.000000	100.966	-155.3032
3070.000000	100.942	-156.2464
3110.000000	100.891	-157.4657
3150.000000	100.821	-158.6145
3200.000000	100.711	-159.9111
3250.000000	100.582	-161.0258
3300.000000	100.444	-161.9522
3350.000000	100.304	-162.7155
3400.000000	100.168	-163.3624
3450.000000	100.034	-163.9271
3500.000000	99.900	-164.4294
3550.000000	99.764	-164.8731
3600.000000	99.626	-165.2523
3650.000000	99.484	-165.5598
3700.000000	99.341	-165.7890
3750.000000	99.197	-165.9382
3820.000000	98.999	-166.0153
3870.000000	98.862	-165.9819
3950.000000	98.650	-165.7941
4000.000000	98.522	-165.6067
4060.000000	98.373	-165.3220
4120.000000	98.229	-164.9821
4180.000000	98.094	-164.5986
4250.000000	97.948	-164.1101
4310.000000	97.833	-163.6624
4370.000000	97.726	-163.1951
4440.000000	97.613	-162.6380
