* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 12:37:29 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: L Truthear Zero RED Bass+ Nov 6
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.244	-152.4425
20.600000	100.271	-153.0493
20.900000	100.300	-153.7189
21.200001	100.328	-154.4157
21.400000	100.345	-154.8943
21.799999	100.375	-155.8692
22.000000	100.388	-156.3527
22.400000	100.410	-157.2779
22.700001	100.427	-157.9187
23.000000	100.445	-158.5133
23.299999	100.467	-159.0750
23.600000	100.492	-159.6229
24.000000	100.526	-160.3597
24.299999	100.551	-160.9250
24.700001	100.578	-161.6866
25.000000	100.593	-162.2508
25.400000	100.610	-162.9802
25.799999	100.625	-163.6862
26.200001	100.641	-164.3860
26.500000	100.652	-164.9169
26.900000	100.663	-165.6343
27.200001	100.668	-166.1723
27.600000	100.671	-166.8751
28.000000	100.674	-167.5521
28.500000	100.680	-168.3683
29.000000	100.691	-169.1664
29.500000	100.700	-169.9375
30.000000	100.705	-170.6511
30.400000	100.710	-171.1745
30.700001	100.715	-171.5517
31.100000	100.726	-172.0606
31.500000	100.737	-172.5998
32.000000	100.745	-173.3186
32.500000	100.744	-174.0472
33.000000	100.738	-174.7415
33.500000	100.731	-175.3953
34.000000	100.726	-176.0299
34.500000	100.719	-176.6594
35.000000	100.709	-177.2778
35.500000	100.697	-177.8748
36.000000	100.687	-178.4522
36.500000	100.677	-179.0218
37.000000	100.669	-179.5944
37.500000	100.658	179.8273
38.200001	100.637	179.0247
38.700001	100.619	178.4770
39.500000	100.598	177.6503
40.000000	100.592	177.1336
40.599998	100.586	176.4791
41.200001	100.573	175.8003
41.799999	100.551	175.1467
42.500000	100.520	174.4604
43.099998	100.496	173.9281
43.700001	100.474	173.4199
44.400002	100.449	172.8204
45.000000	100.428	172.2685
45.500000	100.408	171.7816
46.200001	100.378	171.1160
46.799999	100.354	170.5994
47.500000	100.327	170.0209
48.200001	100.285	169.4414
48.700001	100.252	169.0475
49.400002	100.223	168.4900
50.000000	100.213	167.9649
50.799999	100.180	167.3742
51.500000	100.133	167.0110
52.200001	100.062	166.3414
53.000000	99.884	165.0786
53.799999	99.674	164.3151
54.500000	99.658	164.3124
55.200001	99.787	164.1291
56.000000	99.886	163.4908
57.000000	99.841	162.9174
58.000000	99.766	162.3344
59.000000	99.684	161.5338
60.000000	99.618	161.0123
60.799999	99.591	160.6450
61.500000	99.573	160.2289
62.200001	99.549	159.7674
63.000000	99.510	159.2747
64.000000	99.446	158.7279
65.000000	99.382	158.1484
66.000000	99.325	157.5379
67.000000	99.269	157.0192
68.000000	99.206	156.5380
69.000000	99.129	156.0354
70.000000	99.064	155.5180
71.000000	99.005	154.9645
72.000000	98.934	154.5051
73.000000	98.866	154.1282
74.000000	98.802	153.6793
75.000000	98.735	153.1660
76.199997	98.654	152.5485
77.500000	98.566	151.9151
78.800003	98.469	151.4356
80.000000	98.382	151.0702
81.199997	98.299	150.5880
82.500000	98.210	150.0340
83.800003	98.122	149.5322
85.000000	98.032	149.1059
86.199997	97.939	148.7314
87.500000	97.841	148.3375
88.500000	97.769	148.0137
90.000000	97.661	147.5149
91.199997	97.573	147.1349
92.500000	97.480	146.7650
93.800003	97.384	146.4361
95.000000	97.290	146.1505
96.199997	97.201	145.8609
97.500000	97.107	145.5487
98.800003	97.012	145.2632
100.000000	96.923	144.9955
101.500000	96.806	144.6586
103.000000	96.691	144.3468
104.400002	96.584	144.0957
106.000000	96.452	143.8544
107.500000	96.324	143.5916
109.000000	96.199	143.3521
110.599998	96.068	143.1470
112.000000	95.945	143.0064
113.800003	95.796	142.9085
115.000000	95.704	142.8444
117.199997	95.510	142.9171
118.000000	95.438	143.0343
120.599998	95.230	143.4148
122.000000	95.136	143.6256
124.099998	95.000	143.8967
125.000000	94.954	143.9404
126.500000	94.887	144.0103
128.000000	94.816	144.0486
131.500000	94.603	144.7505
132.000000	94.573	144.8864
134.000000	94.483	145.2060
136.000000	94.416	145.3482
138.000000	94.361	145.4219
140.000000	94.331	145.4554
143.000000	94.242	145.5043
145.000000	94.159	145.3808
147.500000	94.047	145.3100
150.000000	93.925	145.3569
152.500000	93.798	145.3922
155.000000	93.669	145.4203
157.500000	93.539	145.5260
160.000000	93.410	145.7053
162.500000	93.275	145.9064
165.000000	93.145	146.1459
167.500000	93.015	146.4465
170.000000	92.884	146.7574
172.500000	92.766	147.0452
175.000000	92.648	147.4321
177.500000	92.521	147.9572
180.000000	92.396	148.5761
182.500000	92.297	148.8441
185.000000	92.207	149.1533
187.500000	92.110	149.5385
190.000000	92.012	149.9683
192.500000	91.916	150.4495
195.000000	91.820	150.9832
197.500000	91.738	151.5994
200.000000	91.670	152.2125
203.000000	91.581	152.8607
206.000000	91.494	153.4756
209.000000	91.418	154.1091
212.000000	91.347	154.7620
214.000000	91.304	155.2147
218.000000	91.228	156.2167
220.000000	91.195	156.7535
224.000000	91.150	157.7458
227.000000	91.137	158.3940
230.000000	91.136	158.9341
233.000000	91.124	159.3698
236.000000	91.111	159.7651
240.000000	91.082	160.2466
243.000000	91.051	160.6707
247.000000	91.008	161.2144
250.000000	90.980	161.5879
254.000000	90.940	162.1575
258.000000	90.917	162.7084
262.000000	90.881	163.3127
265.000000	90.846	163.6985
269.000000	90.812	164.1596
272.000000	90.795	164.5136
276.000000	90.773	165.0023
280.000000	90.754	165.5771
285.000000	90.723	166.2442
290.000000	90.704	166.8524
295.000000	90.703	167.3381
300.000000	90.716	167.7124
304.000000	90.678	168.2685
307.000000	90.645	168.6618
311.000000	90.616	169.0931
315.000000	90.598	169.5066
320.000000	90.587	170.0244
325.000000	90.575	170.5489
330.000000	90.562	171.0114
335.000000	90.548	171.4750
