* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 8:45:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Zero RED Foam L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.073	-151.5610
20.600000	98.100	-152.1089
20.900000	98.132	-152.7046
21.200001	98.167	-153.3282
21.400000	98.191	-153.7641
21.799999	98.233	-154.6710
22.000000	98.250	-155.1255
22.400000	98.273	-155.9872
22.700001	98.285	-156.5663
23.000000	98.298	-157.0891
23.299999	98.314	-157.5800
23.600000	98.336	-158.0735
24.000000	98.367	-158.7784
24.299999	98.388	-159.3451
24.700001	98.409	-160.1138
25.000000	98.421	-160.6656
25.400000	98.437	-161.3407
25.799999	98.459	-161.9613
26.200001	98.482	-162.5696
26.500000	98.495	-163.0333
26.900000	98.500	-163.6508
27.200001	98.493	-164.0946
27.600000	98.479	-164.6474
28.000000	98.473	-165.1844
28.500000	98.487	-165.9312
29.000000	98.514	-166.8217
29.500000	98.534	-167.7546
30.000000	98.536	-168.5380
30.400000	98.536	-168.9961
30.700001	98.539	-169.2702
31.100000	98.550	-169.6242
31.500000	98.562	-170.0477
32.000000	98.567	-170.7162
32.500000	98.558	-171.4663
33.000000	98.545	-172.1887
33.500000	98.542	-172.8386
34.000000	98.550	-173.4366
34.500000	98.559	-174.0111
35.000000	98.560	-174.5705
35.500000	98.553	-175.1188
36.000000	98.540	-175.6644
36.500000	98.527	-176.2072
37.000000	98.515	-176.7300
37.500000	98.505	-177.2171
38.200001	98.495	-177.8588
38.700001	98.486	-178.3263
39.500000	98.463	-179.1176
40.000000	98.445	-179.6133
40.599998	98.427	179.8287
41.200001	98.411	179.3276
41.799999	98.397	178.8654
42.500000	98.379	178.3012
43.099998	98.362	177.7415
43.700001	98.340	177.1319
44.400002	98.312	176.4644
45.000000	98.289	175.9979
45.500000	98.271	175.6697
46.200001	98.250	175.2016
46.799999	98.230	174.7247
47.500000	98.200	174.1413
48.200001	98.169	173.6583
48.700001	98.151	173.3569
49.400002	98.123	172.8849
50.000000	98.088	172.4224
50.799999	98.056	171.8065
51.500000	98.052	171.2921
52.200001	98.026	171.0141
53.000000	97.968	171.3109
53.799999	97.953	171.5898
54.500000	97.947	170.9559
55.200001	97.887	169.7313
56.000000	97.803	168.5791
57.000000	97.780	167.8521
58.000000	97.765	167.2910
59.000000	97.702	166.7578
60.000000	97.646	166.2597
60.799999	97.610	165.8774
61.500000	97.574	165.5712
62.200001	97.534	165.2751
63.000000	97.491	164.8854
64.000000	97.434	164.3386
65.000000	97.376	163.8669
66.000000	97.322	163.4294
67.000000	97.268	162.9583
68.000000	97.212	162.4562
69.000000	97.160	161.9803
70.000000	97.114	161.5685
71.000000	97.062	161.2036
72.000000	97.001	160.8724
73.000000	96.942	160.5270
74.000000	96.885	160.1638
75.000000	96.828	159.8213
76.199997	96.758	159.4256
77.500000	96.680	158.9597
78.800003	96.598	158.4821
80.000000	96.530	158.0716
81.199997	96.464	157.7363
82.500000	96.388	157.4295
83.800003	96.305	157.0400
85.000000	96.236	156.6748
86.199997	96.175	156.3261
87.500000	96.103	156.0133
88.500000	96.041	155.8060
90.000000	95.942	155.4755
91.199997	95.867	155.1991
92.500000	95.793	154.9269
93.800003	95.712	154.7043
95.000000	95.634	154.4973
96.199997	95.561	154.2625
97.500000	95.483	154.0111
98.800003	95.407	153.7772
100.000000	95.337	153.5552
101.500000	95.245	153.3227
103.000000	95.152	153.1531
104.400002	95.066	152.9735
106.000000	94.971	152.7244
107.500000	94.879	152.5255
109.000000	94.788	152.3941
110.599998	94.691	152.2817
112.000000	94.609	152.1958
113.800003	94.507	152.0579
115.000000	94.438	152.0068
117.199997	94.304	151.8906
118.000000	94.258	151.8299
120.599998	94.112	151.7642
122.000000	94.031	151.7365
124.099998	93.916	151.7614
125.000000	93.865	151.7823
126.500000	93.777	151.7580
128.000000	93.690	151.7183
131.500000	93.496	151.8441
132.000000	93.471	151.8825
134.000000	93.373	152.0081
136.000000	93.268	152.0192
138.000000	93.150	152.0836
140.000000	93.054	152.2092
143.000000	92.918	152.5428
145.000000	92.822	152.7373
147.500000	92.707	152.9654
150.000000	92.601	153.1868
152.500000	92.487	153.4758
155.000000	92.375	153.8499
157.500000	92.269	154.2057
160.000000	92.166	154.5577
162.500000	92.065	154.9016
165.000000	91.968	155.2754
167.500000	91.867	155.6577
170.000000	91.767	156.0309
172.500000	91.670	156.5324
175.000000	91.579	157.0593
177.500000	91.494	157.5790
180.000000	91.413	158.1620
182.500000	91.341	158.5613
185.000000	91.266	158.9504
187.500000	91.187	159.3972
190.000000	91.115	159.9059
192.500000	91.055	160.4371
195.000000	91.001	160.8549
197.500000	90.950	161.2559
200.000000	90.893	161.7744
203.000000	90.830	162.4406
206.000000	90.764	162.9512
209.000000	90.702	163.4193
212.000000	90.669	164.1122
214.000000	90.658	164.6041
218.000000	90.615	165.3732
220.000000	90.588	165.7531
224.000000	90.552	166.5504
227.000000	90.518	167.0684
230.000000	90.480	167.6311
233.000000	90.454	168.1595
236.000000	90.438	168.6609
240.000000	90.427	169.2949
243.000000	90.411	169.7023
247.000000	90.383	170.3087
250.000000	90.363	170.7869
