* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 8:36:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Zero RED Narrow L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.174	-150.8984
20.600000	98.205	-151.5110
20.900000	98.235	-152.1646
21.200001	98.263	-152.8055
21.400000	98.281	-153.2243
21.799999	98.316	-154.0475
22.000000	98.334	-154.4554
22.400000	98.368	-155.2699
22.700001	98.391	-155.8794
23.000000	98.412	-156.4830
23.299999	98.429	-157.0736
23.600000	98.444	-157.6447
24.000000	98.464	-158.3718
24.299999	98.480	-158.8968
24.700001	98.505	-159.5879
25.000000	98.525	-160.1112
25.400000	98.549	-160.8186
25.799999	98.567	-161.5186
26.200001	98.581	-162.1815
26.500000	98.589	-162.6457
26.900000	98.603	-163.2337
27.200001	98.615	-163.6727
27.600000	98.630	-164.2828
28.000000	98.640	-164.9236
28.500000	98.641	-165.7181
29.000000	98.638	-166.4388
29.500000	98.647	-167.0878
30.000000	98.669	-167.7308
30.400000	98.687	-168.2647
30.700001	98.695	-168.6650
31.100000	98.697	-169.1740
31.500000	98.692	-169.6461
32.000000	98.685	-170.2299
32.500000	98.679	-170.8868
33.000000	98.670	-171.6305
33.500000	98.655	-172.3667
34.000000	98.642	-172.9877
34.500000	98.645	-173.4817
35.000000	98.661	-173.9377
35.500000	98.677	-174.4457
36.000000	98.677	-175.0187
36.500000	98.656	-175.6016
37.000000	98.628	-176.1387
37.500000	98.604	-176.6188
38.200001	98.588	-177.2525
38.700001	98.583	-177.7199
39.500000	98.569	-178.5115
40.000000	98.556	-179.0252
40.599998	98.541	-179.6505
41.200001	98.530	179.7440
41.799999	98.521	179.2106
42.500000	98.512	178.7028
43.099998	98.505	178.2925
43.700001	98.490	177.8231
44.400002	98.456	177.2163
45.000000	98.422	176.7279
45.500000	98.400	176.3571
46.200001	98.379	175.8409
46.799999	98.359	175.3907
47.500000	98.334	174.8928
48.200001	98.317	174.3786
48.700001	98.306	173.9672
49.400002	98.279	173.4028
50.000000	98.251	173.0217
50.799999	98.222	172.6063
51.500000	98.195	172.1997
52.200001	98.152	171.7584
53.000000	98.100	171.2465
53.799999	98.063	170.7037
54.500000	98.048	170.2571
55.200001	98.045	169.8790
56.000000	98.029	169.4864
57.000000	97.962	168.9786
58.000000	97.884	168.3612
59.000000	97.854	167.5941
60.000000	97.833	166.8642
60.799999	97.787	166.4950
61.500000	97.741	166.2682
62.200001	97.700	165.9648
63.000000	97.653	165.5283
64.000000	97.596	165.1111
65.000000	97.554	164.7620
66.000000	97.500	164.3466
67.000000	97.440	163.9875
68.000000	97.388	163.6066
69.000000	97.327	163.1566
70.000000	97.268	162.7824
71.000000	97.228	162.4151
72.000000	97.186	161.9238
73.000000	97.129	161.4125
74.000000	97.069	161.0522
75.000000	97.013	160.8194
76.199997	96.942	160.4779
77.500000	96.871	159.9678
78.800003	96.817	159.4382
80.000000	96.751	159.0255
81.199997	96.668	158.7102
82.500000	96.564	158.4510
83.800003	96.473	158.3685
85.000000	96.431	158.0838
86.199997	96.391	157.5368
87.500000	96.322	156.9944
88.500000	96.250	156.7026
90.000000	96.143	156.3290
91.199997	96.067	156.0825
92.500000	95.992	155.8954
93.800003	95.913	155.6648
95.000000	95.843	155.4066
96.199997	95.777	155.1702
97.500000	95.703	154.9695
98.800003	95.627	154.7816
100.000000	95.559	154.5737
101.500000	95.468	154.3105
103.000000	95.375	154.1260
104.400002	95.281	154.0124
106.000000	95.174	153.7944
107.500000	95.076	153.4672
109.000000	94.980	153.2704
110.599998	94.876	153.1936
112.000000	94.786	153.1472
113.800003	94.677	153.1664
115.000000	94.613	153.3018
117.199997	94.486	153.3156
118.000000	94.407	153.1552
120.599998	94.142	153.0220
122.000000	94.117	153.3593
124.099998	94.098	153.4899
125.000000	94.055	153.4121
126.500000	93.935	153.4802
128.000000	93.836	153.6684
131.500000	93.741	153.6506
132.000000	93.730	153.6765
134.000000	93.660	153.7007
136.000000	93.534	153.3798
138.000000	93.382	153.0992
140.000000	93.244	153.3295
143.000000	93.093	154.1426
145.000000	93.030	154.8565
147.500000	92.916	156.5923
150.000000	92.717	157.5644
152.500000	92.585	156.8634
155.000000	92.564	156.7116
157.500000	92.518	157.1192
160.000000	92.423	157.2179
162.500000	92.325	156.9585
165.000000	92.283	156.8596
167.500000	92.245	157.1362
170.000000	92.167	157.7828
172.500000	92.068	158.5481
175.000000	91.937	159.0244
177.500000	91.819	159.1582
180.000000	91.753	159.3799
182.500000	91.721	160.1136
185.000000	91.648	160.7858
187.500000	91.572	161.1681
190.000000	91.513	161.6177
192.500000	91.453	162.2233
195.000000	91.400	162.6855
197.500000	91.355	163.0936
200.000000	91.306	163.5559
203.000000	91.260	164.1772
206.000000	91.207	164.7931
209.000000	91.154	165.3647
212.000000	91.118	165.8932
214.000000	91.107	166.2449
218.000000	91.078	167.0023
220.000000	91.060	167.3416
224.000000	91.021	168.0052
227.000000	90.987	168.5107
230.000000	90.957	169.0130
233.000000	90.938	169.4803
236.000000	90.928	170.0172
240.000000	90.910	170.7491
243.000000	90.905	171.2140
247.000000	90.912	171.8458
250.000000	90.899	172.3484
254.000000	90.871	172.9547
258.000000	90.866	173.4297
262.000000	90.858	173.9529
265.000000	90.847	174.3309
269.000000	90.840	174.8270
272.000000	90.848	175.2728
276.000000	90.853	175.7744
280.000000	90.842	176.1650
285.000000	90.840	176.7171
290.000000	90.843	177.2939
295.000000	90.837	177.7418
300.000000	90.831	178.2686
304.000000	90.841	178.6880
307.000000	90.848	178.9958
311.000000	90.855	179.3768
315.000000	90.864	179.7640
320.000000	90.871	-179.7312
325.000000	90.874	-179.2776
330.000000	90.883	-178.8629
335.000000	90.895	-178.5027
340.000000	90.906	-178.0724
345.000000	90.906	-177.6470
350.000000	90.905	-177.2886
355.000000	90.911	-176.8996
360.000000	90.921	-176.5106
365.000000	90.930	-176.1410
370.000000	90.935	-175.7785
375.000000	90.946	-175.3999
382.000000	90.958	-174.8973
387.000000	90.964	-174.5416
395.000000	90.980	-174.0209
400.000000	90.987	-173.6923
406.000000	91.000	-173.2909
412.000000	91.012	-172.9306
418.000000	91.024	-172.5454
425.000000	91.034	-172.0798
431.000000	91.047	-171.7104
437.000000	91.067	-171.3819
444.000000	91.089	-171.0103
450.000000	91.096	-170.6796
455.000000	91.100	-170.4107
462.000000	91.109	-170.0167
468.000000	91.118	-169.7071
475.000000	91.128	-169.3763
482.000000	91.135	-169.0123
487.000000	91.138	-168.7497
494.000000	91.143	-168.3893
500.000000	91.147	-168.0667
508.000000	91.153	-167.6393
515.000000	91.157	-167.2486
522.000000	91.162	-166.8201
530.000000	91.171	-166.3108
538.000000	91.185	-165.8339
545.000000	91.201	-165.4775
552.000000	91.218	-165.1275
560.000000	91.234	-164.7086
570.000000	91.252	-164.1884
580.000000	91.270	-163.6715
590.000000	91.288	-163.1620
600.000000	91.307	-162.6674
608.000000	91.322	-162.2727
615.000000	91.334	-161.9214
622.000000	91.345	-161.5635
630.000000	91.358	-161.1512
640.000000	91.377	-160.6534
650.000000	91.395	-160.1552
660.000000	91.414	-159.6546
670.000000	91.430	-159.1318
680.000000	91.449	-158.6214
690.000000	91.468	-158.1046
700.000000	91.488	-157.5781
710.000000	91.508	-157.0496
720.000000	91.530	-156.5228
730.000000	91.552	-155.9962
740.000000	91.575	-155.4636
750.000000	91.599	-154.9257
762.000000	91.628	-154.2795
775.000000	91.662	-153.5567
788.000000	91.698	-152.8365
800.000000	91.730	-152.1712
812.000000	91.763	-151.5018
825.000000	91.799	-150.7726
838.000000	91.838	-150.0323
850.000000	91.877	-149.3509
862.000000	91.920	-148.6732
875.000000	91.970	-147.9379
885.000000	92.012	-147.3719
900.000000	92.079	-146.5282
912.000000	92.134	-145.8672
925.000000	92.199	-145.1579
938.000000	92.269	-144.4602
950.000000	92.337	-143.8413
962.000000	92.408	-143.2377
975.000000	92.489	-142.5968
988.000000	92.573	-141.9843
1000.000000	92.654	-141.4453
1015.000000	92.756	-140.8031
1030.000000	92.861	-140.1993
1044.000000	92.962	-139.6760
1060.000000	93.078	-139.1217
1075.000000	93.188	-138.6466
1090.000000	93.297	-138.2142
1106.000000	93.413	-137.7971
1120.000000	93.513	-137.4649
1138.000000	93.639	-137.0765
1150.000000	93.720	-136.8467
1172.000000	93.866	-136.4676
1180.000000	93.918	-136.3387
1206.000000	94.079	-135.9517
1220.000000	94.163	-135.7652
1241.000000	94.286	-135.5057
1250.000000	94.339	-135.3982
1265.000000	94.428	-135.2193
1280.000000	94.518	-135.0427
1315.000000	94.723	-134.6405
1320.000000	94.752	-134.5821
1340.000000	94.866	-134.3477
1360.000000	94.980	-134.1147
1380.000000	95.093	-133.8773
1400.000000	95.206	-133.6464
1430.000000	95.380	-133.3321
1450.000000	95.498	-133.1391
1475.000000	95.646	-132.9340
1500.000000	95.793	-132.7833
1525.000000	95.939	-132.6833
1550.000000	96.079	-132.6297
1575.000000	96.213	-132.6122
1600.000000	96.340	-132.6248
1625.000000	96.455	-132.6521
1650.000000	96.562	-132.6836
1675.000000	96.663	-132.7126
1700.000000	96.759	-132.7281
1725.000000	96.852	-132.7308
1750.000000	96.942	-132.7203
1775.000000	97.031	-132.6979
1800.000000	97.119	-132.6659
1825.000000	97.207	-132.6257
1850.000000	97.295	-132.5777
1875.000000	97.384	-132.5241
1900.000000	97.475	-132.4695
1925.000000	97.566	-132.4219
1950.000000	97.659	-132.3824
1975.000000	97.752	-132.3512
2000.000000	97.847	-132.3310
2030.000000	97.963	-132.3204
2060.000000	98.081	-132.3282
2090.000000	98.199	-132.3546
2120.000000	98.318	-132.3993
2140.000000	98.397	-132.4418
2180.000000	98.556	-132.5578
2200.000000	98.635	-132.6315
2240.000000	98.792	-132.8136
2270.000000	98.909	-132.9792
2300.000000	99.025	-133.1680
2330.000000	99.139	-133.3816
2360.000000	99.252	-133.6196
2400.000000	99.399	-133.9770
