* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 8:40:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Zero RED Wide L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.164	-150.5562
20.600000	98.188	-151.1240
20.900000	98.219	-151.7581
21.200001	98.256	-152.4148
21.400000	98.284	-152.8609
21.799999	98.343	-153.7575
22.000000	98.372	-154.1981
22.400000	98.423	-155.0373
22.700001	98.452	-155.6148
23.000000	98.475	-156.1448
23.299999	98.492	-156.6373
23.600000	98.505	-157.1121
24.000000	98.521	-157.7572
24.299999	98.532	-158.2726
24.700001	98.544	-159.0116
25.000000	98.552	-159.5934
25.400000	98.560	-160.3733
25.799999	98.567	-161.1225
26.200001	98.578	-161.8231
26.500000	98.589	-162.3212
26.900000	98.605	-162.9659
27.200001	98.616	-163.4431
27.600000	98.626	-164.0679
28.000000	98.628	-164.6617
28.500000	98.626	-165.3370
29.000000	98.626	-165.9592
29.500000	98.634	-166.5953
30.000000	98.643	-167.2872
30.400000	98.647	-167.8659
30.700001	98.649	-168.2978
31.100000	98.655	-168.8639
31.500000	98.665	-169.4318
32.000000	98.681	-170.1751
32.500000	98.688	-170.9427
33.000000	98.678	-171.6542
33.500000	98.660	-172.2377
34.000000	98.652	-172.7170
34.500000	98.658	-173.1907
35.000000	98.669	-173.7275
35.500000	98.670	-174.3061
36.000000	98.657	-174.8599
36.500000	98.639	-175.3557
37.000000	98.621	-175.8141
37.500000	98.609	-176.2684
38.200001	98.603	-176.9143
38.700001	98.608	-177.3797
39.500000	98.617	-178.1465
40.000000	98.611	-178.6264
40.599998	98.587	-179.1564
41.200001	98.559	-179.6322
41.799999	98.539	179.8809
42.500000	98.522	179.2392
43.099998	98.501	178.6778
43.700001	98.474	178.1678
44.400002	98.447	177.6165
45.000000	98.434	177.1151
45.500000	98.428	176.6653
46.200001	98.418	176.0530
46.799999	98.402	175.6098
47.500000	98.377	175.1538
48.200001	98.346	174.6464
48.700001	98.321	174.2564
49.400002	98.297	173.7603
50.000000	98.287	173.3940
50.799999	98.253	172.9422
51.500000	98.195	172.5511
52.200001	98.163	171.8521
53.000000	98.149	170.3126
53.799999	98.078	168.9003
54.500000	98.012	168.8163
55.200001	98.021	169.4399
56.000000	98.048	169.7560
57.000000	97.979	169.2564
58.000000	97.915	168.4502
59.000000	97.883	167.6868
60.000000	97.831	167.2554
60.799999	97.788	166.9620
61.500000	97.754	166.6512
62.200001	97.729	166.3413
63.000000	97.704	166.0037
64.000000	97.657	165.5457
65.000000	97.592	165.0490
66.000000	97.532	164.5266
67.000000	97.478	163.9998
68.000000	97.432	163.5508
69.000000	97.394	163.1684
70.000000	97.344	162.8138
71.000000	97.281	162.4615
72.000000	97.220	162.0683
73.000000	97.164	161.6582
74.000000	97.105	161.2832
75.000000	97.046	160.9376
76.199997	96.981	160.5172
77.500000	96.911	160.0952
78.800003	96.845	159.6792
80.000000	96.781	159.2521
81.199997	96.712	158.8954
82.500000	96.636	158.4940
83.800003	96.561	158.1047
85.000000	96.495	157.7706
86.199997	96.426	157.4427
87.500000	96.353	157.1052
88.500000	96.293	156.8966
90.000000	96.201	156.6188
91.199997	96.131	156.3532
92.500000	96.058	156.0583
93.800003	95.980	155.7881
95.000000	95.906	155.5367
96.199997	95.833	155.2761
97.500000	95.758	155.0094
98.800003	95.682	154.7895
100.000000	95.611	154.6181
101.500000	95.520	154.4067
103.000000	95.440	154.1989
104.400002	95.369	154.0514
106.000000	95.272	153.8770
107.500000	95.165	153.6873
109.000000	95.074	153.4800
110.599998	94.983	153.3306
112.000000	94.898	153.2324
113.800003	94.794	153.0185
115.000000	94.733	152.8988
117.199997	94.599	152.6853
118.000000	94.550	152.6240
120.599998	94.399	152.5857
122.000000	94.320	152.5517
124.099998	94.204	152.5238
125.000000	94.149	152.5788
126.500000	94.060	152.6837
128.000000	93.980	152.6278
131.500000	93.797	152.6224
132.000000	93.770	152.6482
134.000000	93.665	152.6322
136.000000	93.551	152.6510
138.000000	93.426	152.7985
140.000000	93.333	152.9936
143.000000	93.178	153.2556
145.000000	93.062	153.4875
147.500000	92.917	153.9600
150.000000	92.795	154.4798
152.500000	92.694	155.0374
155.000000	92.609	155.6266
157.500000	92.540	156.1118
160.000000	92.472	156.5093
162.500000	92.391	156.7489
165.000000	92.298	157.0552
167.500000	92.188	157.4584
170.000000	92.093	157.8531
172.500000	92.029	158.1490
175.000000	91.956	158.4626
177.500000	91.891	158.8755
180.000000	91.831	159.3814
182.500000	91.733	159.8262
185.000000	91.636	160.3230
187.500000	91.567	160.8625
190.000000	91.511	161.3041
192.500000	91.463	161.7393
195.000000	91.412	162.2457
197.500000	91.358	162.7966
200.000000	91.316	163.3396
203.000000	91.272	163.9177
206.000000	91.232	164.3511
209.000000	91.185	164.7471
212.000000	91.144	165.3109
214.000000	91.128	165.7320
218.000000	91.082	166.4846
220.000000	91.049	166.8548
224.000000	91.003	167.6040
227.000000	90.983	168.1905
230.000000	90.950	168.8184
233.000000	90.911	169.3950
236.000000	90.895	169.8647
240.000000	90.886	170.4730
243.000000	90.874	171.0007
247.000000	90.873	171.7072
250.000000	90.873	172.1944
254.000000	90.870	172.8313
258.000000	90.862	173.4449
262.000000	90.850	173.8842
265.000000	90.841	174.2747
269.000000	90.840	174.7056
272.000000	90.841	175.0138
276.000000	90.844	175.4262
280.000000	90.850	175.9320
285.000000	90.864	176.4716
290.000000	90.867	176.8794
295.000000	90.865	177.4106
300.000000	90.876	177.9785
304.000000	90.884	178.3548
307.000000	90.886	178.6119
311.000000	90.888	178.9383
315.000000	90.891	179.2599
320.000000	90.900	179.7043
325.000000	90.901	-179.8549
330.000000	90.905	-179.4245
335.000000	90.916	-178.9471
340.000000	90.931	-178.4898
345.000000	90.938	-178.1154
350.000000	90.943	-177.7778
355.000000	90.948	-177.4539
360.000000	90.960	-177.1431
365.000000	90.978	-176.7946
370.000000	90.991	-176.3750
375.000000	91.003	-176.0449
382.000000	91.015	-175.6188
387.000000	91.021	-175.3122
395.000000	91.028	-174.8229
400.000000	91.033	-174.5384
406.000000	91.041	-174.1804
412.000000	91.050	-173.7903
418.000000	91.070	-173.4246
425.000000	91.084	-173.0241
431.000000	91.086	-172.7181
437.000000	91.089	-172.3920
444.000000	91.092	-171.9782
450.000000	91.101	-171.6493
455.000000	91.110	-171.3730
462.000000	91.121	-171.0068
468.000000	91.130	-170.6924
475.000000	91.138	-170.3044
482.000000	91.144	-169.9246
487.000000	91.149	-169.6574
494.000000	91.160	-169.2951
500.000000	91.168	-169.0071
508.000000	91.173	-168.5921
515.000000	91.181	-168.2167
522.000000	91.190	-167.8523
530.000000	91.199	-167.4205
538.000000	91.211	-166.9731
545.000000	91.224	-166.6054
552.000000	91.236	-166.2455
560.000000	91.247	-165.8439
570.000000	91.264	-165.3445
580.000000	91.281	-164.8267
590.000000	91.299	-164.3304
600.000000	91.317	-163.8437
608.000000	91.330	-163.4591
615.000000	91.341	-163.1263
622.000000	91.352	-162.7900
630.000000	91.366	-162.4022
640.000000	91.384	-161.9177
650.000000	91.404	-161.4235
660.000000	91.422	-160.9250
670.000000	91.437	-160.4634
680.000000	91.453	-159.9820
690.000000	91.471	-159.4839
700.000000	91.489	-158.9822
710.000000	91.509	-158.4849
720.000000	91.528	-157.9865
730.000000	91.548	-157.4768
740.000000	91.569	-156.9577
750.000000	91.591	-156.4407
762.000000	91.619	-155.8170
775.000000	91.651	-155.1339
788.000000	91.686	-154.4454
800.000000	91.717	-153.8037
812.000000	91.748	-153.1541
825.000000	91.782	-152.4433
838.000000	91.820	-151.7294
850.000000	91.857	-151.0753
862.000000	91.897	-150.4202
875.000000	91.945	-149.7088
885.000000	91.984	-149.1653
900.000000	92.047	-148.3587
912.000000	92.101	-147.7127
925.000000	92.165	-147.0272
938.000000	92.232	-146.3561
950.000000	92.298	-145.7481
962.000000	92.367	-145.1570
975.000000	92.445	-144.5407
988.000000	92.527	-143.9533
1000.000000	92.605	-143.4373
1015.000000	92.705	-142.8222
1030.000000	92.808	-142.2446
1044.000000	92.905	-141.7457
1060.000000	93.017	-141.2170
1075.000000	93.123	-140.7623
1090.000000	93.229	-140.3494
1106.000000	93.341	-139.9495
1120.000000	93.438	-139.6361
1138.000000	93.560	-139.2828
1150.000000	93.640	-139.0658
1172.000000	93.782	-138.7086
1180.000000	93.832	-138.5927
1206.000000	93.989	-138.2556
1220.000000	94.069	-138.0910
1241.000000	94.186	-137.8549
1250.000000	94.237	-137.7579
1265.000000	94.323	-137.6001
1280.000000	94.409	-137.4427
1315.000000	94.605	-137.0743
1320.000000	94.633	-137.0213
1340.000000	94.742	-136.8101
1360.000000	94.850	-136.5964
1380.000000	94.959	-136.3795
1400.000000	95.069	-136.1665
1430.000000	95.235	-135.8754
1450.000000	95.347	-135.7031
1475.000000	95.489	-135.5214
1500.000000	95.631	-135.3883
1525.000000	95.770	-135.3036
1550.000000	95.905	-135.2695
1575.000000	96.032	-135.2735
1600.000000	96.151	-135.3018
1625.000000	96.259	-135.3424
1650.000000	96.359	-135.3872
1675.000000	96.452	-135.4262
