* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 5, 2024 11:56:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Wyvern Abyss L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.369	-173.0948
20.600000	99.359	-173.5943
20.900000	99.347	-174.1228
21.200001	99.337	-174.6560
21.400000	99.332	-175.0196
21.799999	99.325	-175.7699
22.000000	99.322	-176.1521
22.400000	99.312	-176.9099
22.700001	99.303	-177.4565
23.000000	99.293	-177.9767
23.299999	99.282	-178.4718
23.600000	99.271	-178.9482
24.000000	99.256	-179.5681
24.299999	99.244	179.9713
24.700001	99.226	179.3592
25.000000	99.210	178.9035
25.400000	99.187	178.3060
25.799999	99.162	177.7274
26.200001	99.136	177.1724
26.500000	99.118	176.7711
26.900000	99.095	176.2489
27.200001	99.078	175.8604
27.600000	99.055	175.3391
28.000000	99.029	174.8148
28.500000	98.993	174.1742
29.000000	98.953	173.5756
29.500000	98.916	173.0213
30.000000	98.886	172.4836
30.400000	98.864	172.0458
30.700001	98.846	171.7112
31.100000	98.821	171.2639
31.500000	98.791	170.8271
32.000000	98.750	170.3069
32.500000	98.707	169.8129
33.000000	98.664	169.3336
33.500000	98.620	168.8607
34.000000	98.577	168.3915
34.500000	98.536	167.9274
35.000000	98.496	167.4733
35.500000	98.460	167.0350
36.000000	98.425	166.6125
36.500000	98.391	166.2001
37.000000	98.356	165.7960
37.500000	98.316	165.4080
38.200001	98.256	164.8999
38.700001	98.215	164.5450
39.500000	98.152	163.9489
40.000000	98.111	163.5700
40.599998	98.061	163.1422
41.200001	98.012	162.7518
41.799999	97.963	162.3850
42.500000	97.904	161.9774
43.099998	97.853	161.6436
43.700001	97.803	161.3081
44.400002	97.746	160.8958
45.000000	97.694	160.5387
45.500000	97.648	160.2611
46.200001	97.585	159.9247
46.799999	97.534	159.6735
47.500000	97.481	159.3726
48.200001	97.429	159.0187
48.700001	97.389	158.7478
49.400002	97.328	158.4076
50.000000	97.277	158.1822
50.799999	97.215	157.9230
51.500000	97.161	157.6661
52.200001	97.108	157.3570
53.000000	97.048	156.9760
53.799999	96.984	156.6909
54.500000	96.927	156.5458
55.200001	96.868	156.3585
56.000000	96.796	156.0310
57.000000	96.734	155.6298
58.000000	96.667	155.4447
59.000000	96.532	156.0007
60.000000	96.463	156.3836
60.799999	96.434	155.6327
61.500000	96.376	154.7473
62.200001	96.321	154.2264
63.000000	96.280	154.0219
64.000000	96.210	153.8779
65.000000	96.125	153.6836
66.000000	96.055	153.4335
67.000000	95.987	153.2715
68.000000	95.913	153.1389
69.000000	95.837	152.9429
70.000000	95.765	152.7532
71.000000	95.698	152.6322
72.000000	95.634	152.5233
73.000000	95.568	152.3839
74.000000	95.501	152.2422
75.000000	95.434	152.1252
76.199997	95.356	151.9958
77.500000	95.273	151.8625
78.800003	95.193	151.7528
80.000000	95.116	151.6691
81.199997	95.041	151.5913
82.500000	94.961	151.5056
83.800003	94.884	151.4451
85.000000	94.811	151.3675
86.199997	94.736	151.3026
87.500000	94.658	151.2436
88.500000	94.600	151.1990
90.000000	94.515	151.1455
91.199997	94.449	151.1268
92.500000	94.380	151.1143
93.800003	94.312	151.1072
95.000000	94.247	151.1021
96.199997	94.179	151.0921
97.500000	94.109	151.0899
98.800003	94.043	151.0973
100.000000	93.981	151.1149
101.500000	93.906	151.1392
103.000000	93.832	151.1666
104.400002	93.766	151.2022
106.000000	93.692	151.2521
107.500000	93.623	151.3049
109.000000	93.556	151.3641
110.599998	93.486	151.4291
112.000000	93.422	151.4733
113.800003	93.341	151.5439
115.000000	93.287	151.6104
117.199997	93.186	151.7798
118.000000	93.148	151.8475
120.599998	93.036	152.0062
122.000000	92.990	152.0450
124.099998	92.914	152.1595
125.000000	92.881	152.2128
126.500000	92.826	152.3007
128.000000	92.770	152.4043
131.500000	92.638	152.6819
132.000000	92.620	152.7195
134.000000	92.551	152.8632
136.000000	92.483	153.0206
138.000000	92.418	153.1769
140.000000	92.354	153.3369
143.000000	92.261	153.6256
145.000000	92.195	153.8395
147.500000	92.116	154.0497
150.000000	92.040	154.2761
152.500000	91.964	154.5502
155.000000	91.890	154.7960
157.500000	91.818	155.0600
160.000000	91.744	155.3474
162.500000	91.664	155.6099
165.000000	91.582	155.8709
167.500000	91.502	156.1760
170.000000	91.428	156.5161
172.500000	91.360	156.8665
175.000000	91.299	157.2404
177.500000	91.269	157.7766
180.000000	91.232	158.2727
182.500000	91.122	158.5673
185.000000	91.035	158.9059
187.500000	90.986	159.2969
190.000000	90.950	159.7711
192.500000	90.921	160.2228
195.000000	90.892	160.5568
197.500000	90.856	160.8476
200.000000	90.815	161.1118
203.000000	90.758	161.3904
206.000000	90.707	161.7578
209.000000	90.681	162.3391
212.000000	90.673	163.0472
214.000000	90.674	163.4413
218.000000	90.690	163.9171
220.000000	90.694	164.0377
224.000000	90.679	164.0660
227.000000	90.651	164.1079
230.000000	90.613	164.2629
233.000000	90.574	164.4235
236.000000	90.530	164.5707
240.000000	90.467	164.7814
243.000000	90.430	165.0956
247.000000	90.397	165.5294
250.000000	90.372	165.7730
254.000000	90.335	166.1011
258.000000	90.290	166.4082
262.000000	90.243	166.7065
265.000000	90.211	166.9515
269.000000	90.170	167.2773
272.000000	90.135	167.5053
276.000000	90.086	167.8243
280.000000	90.039	168.1599
285.000000	89.983	168.5907
290.000000	89.934	169.0564
295.000000	89.897	169.5919
300.000000	89.866	170.1375
304.000000	89.813	170.4509
307.000000	89.775	170.6985
311.000000	89.735	171.0618
315.000000	89.700	171.4386
320.000000	89.659	171.8959
325.000000	89.621	172.3739
330.000000	89.585	172.8698
335.000000	89.551	173.3471
340.000000	89.521	173.8329
345.000000	89.493	174.3343
350.000000	89.469	174.8222
355.000000	89.446	175.2889
360.000000	89.417	175.7328
365.000000	89.387	176.1536
370.000000	89.359	176.5862
375.000000	89.334	177.0300
382.000000	89.301	177.6586
387.000000	89.275	178.1125
395.000000	89.235	178.8389
400.000000	89.211	179.2952
406.000000	89.180	179.8668
412.000000	89.146	-179.5229
418.000000	89.110	-178.8662
425.000000	89.085	-178.1843
431.000000	89.067	-177.5688
437.000000	89.050	-176.8503
444.000000	89.046	-175.9480
450.000000	89.062	-175.1829
455.000000	89.090	-174.5845
462.000000	89.145	-173.9176
468.000000	89.191	-173.5309
475.000000	89.228	-173.2277
482.000000	89.243	-172.9649
487.000000	89.242	-172.7374
494.000000	89.232	-172.3828
500.000000	89.221	-172.0456
508.000000	89.206	-171.5514
515.000000	89.192	-171.0941
522.000000	89.183	-170.6152
530.000000	89.181	-169.9982
538.000000	89.187	-169.3041
545.000000	89.171	-168.8564
552.000000	89.152	-168.4207
560.000000	89.142	-167.8501
570.000000	89.136	-167.1184
580.000000	89.135	-166.3840
590.000000	89.141	-165.6367
600.000000	89.150	-164.8876
608.000000	89.148	-164.2854
615.000000	89.148	-163.7621
622.000000	89.151	-163.2359
630.000000	89.157	-162.6365
640.000000	89.166	-161.8951
650.000000	89.181	-161.1431
660.000000	89.196	-160.3929
670.000000	89.209	-159.6556
680.000000	89.225	-158.9058
690.000000	89.243	-158.1596
700.000000	89.263	-157.4163
710.000000	89.285	-156.6726
720.000000	89.309	-155.9312
730.000000	89.333	-155.1731
740.000000	89.359	-154.4219
750.000000	89.388	-153.6711
762.000000	89.426	-152.7611
775.000000	89.473	-151.7716
788.000000	89.519	-150.8147
800.000000	89.562	-149.9362
812.000000	89.606	-149.0472
825.000000	89.655	-148.0728
838.000000	89.708	-147.0982
850.000000	89.762	-146.2315
862.000000	89.819	-145.3686
875.000000	89.886	-144.4395
885.000000	89.942	-143.7473
900.000000	90.029	-142.7328
912.000000	90.096	-141.8664
925.000000	90.174	-140.9514
938.000000	90.258	-140.0517
950.000000	90.338	-139.2098
962.000000	90.421	-138.4072
975.000000	90.515	-137.6185
988.000000	90.613	-136.8264
1000.000000	90.704	-136.0991
1015.000000	90.820	-135.2184
1030.000000	90.949	-134.3120
1044.000000	91.077	-133.4757
1060.000000	91.228	-132.5664
1075.000000	91.377	-131.7542
1090.000000	91.537	-131.0224
1106.000000	91.715	-130.3428
1120.000000	91.874	-129.8386
1138.000000	92.078	-129.3344
1150.000000	92.210	-129.0950
1172.000000	92.436	-128.7930
1180.000000	92.510	-128.7102
1206.000000	92.726	-128.4935
1220.000000	92.832	-128.3839
1241.000000	92.978	-128.1738
1250.000000	93.038	-128.0649
1265.000000	93.134	-127.8318
1280.000000	93.228	-127.5172
1315.000000	93.492	-126.4746
1320.000000	93.538	-126.3199
1340.000000	93.744	-125.8332
1360.000000	93.953	-125.6313
1380.000000	94.138	-125.6027
1400.000000	94.298	-125.6166
1430.000000	94.511	-125.5482
1450.000000	94.650	-125.4492
1475.000000	94.825	-125.3068
1500.000000	95.000	-125.1529
1525.000000	95.171	-124.9461
1550.000000	95.345	-124.7510
1575.000000	95.521	-124.5925
1600.000000	95.695	-124.4498
1625.000000	95.869	-124.3236
1650.000000	96.043	-124.2247
1675.000000	96.217	-124.1490
1700.000000	96.393	-124.1065
1725.000000	96.571	-124.0955
1750.000000	96.749	-124.1198
1775.000000	96.928	-124.1837
1800.000000	97.107	-124.2859
1825.000000	97.286	-124.4226
1850.000000	97.465	-124.6024
1875.000000	97.643	-124.8317
1900.000000	97.820	-125.1043
1925.000000	97.996	-125.4247
1950.000000	98.170	-125.7988
1975.000000	98.341	-126.2163
2000.000000	98.511	-126.6799
2030.000000	98.711	-127.3013
2060.000000	98.906	-127.9924
2090.000000	99.095	-128.7466
2120.000000	99.275	-129.5653
2140.000000	99.390	-130.1449
2180.000000	99.607	-131.3793
2200.000000	99.709	-132.0305
2240.000000	99.898	-133.3902
2270.000000	100.025	-134.4531
2300.000000	100.140	-135.5463
2330.000000	100.243	-136.6644
2360.000000	100.332	-137.7988
2400.000000	100.432	-139.3260
2430.000000	100.491	-140.4611
2470.000000	100.551	-141.9581
2500.000000	100.582	-143.0596
2540.000000	100.607	-144.4803
2580.000000	100.615	-145.8362
2620.000000	100.607	-147.1128
2650.000000	100.592	-148.0172
2690.000000	100.562	-149.1494
2720.000000	100.533	-149.9387
2760.000000	100.486	-150.9087
2800.000000	100.433	-151.7846
2850.000000	100.361	-152.7510
2900.000000	100.283	-153.5825
2950.000000	100.206	-154.2863
3000.000000	100.131	-154.8649
3040.000000	100.075	-155.2506
3070.000000	100.035	-155.4967
3110.000000	99.987	-155.7718
3150.000000	99.945	-155.9978
3200.000000	99.904	-156.2257
3250.000000	99.874	-156.4161
3300.000000	99.855	-156.5919
3350.000000	99.844	-156.7645
3400.000000	99.842	-156.9306
3450.000000	99.847	-157.0974
3500.000000	99.860	-157.2672
3550.000000	99.881	-157.4453
3600.000000	99.910	-157.6376
3650.000000	99.951	-157.8442
3700.000000	100.006	-158.0826
3750.000000	100.076	-158.3902
3820.000000	100.196	-159.0420
3870.000000	100.289	-159.7149
3950.000000	100.423	-161.1553
4000.000000	100.488	-162.2434
4060.000000	100.541	-163.6962
4120.000000	100.565	-165.2801
4180.000000	100.562	-166.9677
4250.000000	100.520	-169.0444
4310.000000	100.446	-170.9013
4370.000000	100.335	-172.7542
4440.000000	100.162	-174.8534
4500.000000	99.978	-176.5762
4550.000000	99.801	-177.9342
4620.000000	99.519	-179.6716
4680.000000	99.250	179.0201
4750.000000	98.912	177.7349
4820.000000	98.555	176.7310
4870.000000	98.292	176.1937
4940.000000	97.920	175.6974
5000.000000	97.604	175.5048
5080.000000	97.195	175.5653
5150.000000	96.855	175.8941
5220.000000	96.534	176.4375
5300.000000	96.196	177.2880
5380.000000	95.889	178.4152
5450.000000	95.668	179.6873
5520.000000	95.523	-178.9885
5600.000000	95.411	-177.8568
5700.000000	95.261	-176.5957
5800.000000	95.147	-175.0978
5900.000000	95.108	-173.5359
6000.000000	95.154	-172.0897
6080.000000	95.253	-171.0806
6150.000000	95.389	-170.3562
6220.000000	95.573	-169.8505
6300.000000	95.851	-169.6293
6400.000000	96.304	-170.0801
6500.000000	96.839	-171.6355
6600.000000	97.403	-174.6004
6700.000000	97.922	-179.2113
6800.000000	98.295	174.5098
6900.000000	98.419	166.8798
7000.000000	98.215	158.5720
7100.000000	97.666	150.4468
7200.000000	96.818	143.2678
7300.000000	95.756	137.4884
7400.000000	94.565	133.2776
7500.000000	93.323	130.6156
7620.000000	91.851	129.2012
7750.000000	90.347	129.3708
7880.000000	88.966	130.8167
8000.000000	87.785	132.9437
8120.000000	86.663	135.6002
8250.000000	85.527	138.9226
8380.000000	84.488	142.5643
8500.000000	83.611	146.1368
8620.000000	82.807	149.8430
8750.000000	82.011	153.9544
8850.000000	81.444	157.1780
9000.000000	80.657	162.0587
9120.000000	80.089	166.0161
9250.000000	79.529	170.3546
9380.000000	79.018	174.7180
9500.000000	78.586	178.8015
9620.000000	78.193	-177.0464
9750.000000	77.809	-172.4886
9880.000000	77.468	-167.8300
10000.000000	77.195	-163.3865
10150.000000	76.922	-157.4984
10300.000000	76.743	-151.0896
10440.000000	76.700	-144.5369
10600.000000	76.887	-136.2269
10750.000000	77.433	-128.0020
10900.000000	78.437	-120.7052
11060.000000	79.914	-115.9100
11200.000000	81.298	-115.1323
11380.000000	82.849	-118.0355
11500.000000	83.669	-121.2762
11720.000000	84.852	-128.0432
11800.000000	85.218	-130.6170
12060.000000	86.314	-139.3859
12200.000000	86.887	-144.6149
12410.000000	87.721	-153.5629
12500.000000	88.059	-157.8587
12650.000000	88.575	-165.6067
12800.000000	89.013	-173.9835
13150.000000	89.722	164.9796
13200.000000	89.802	161.8535
13400.000000	90.123	148.9294
13600.000000	90.490	134.8052
13800.000000	90.873	118.4300
14000.000000	91.040	99.0696
14300.000000	90.263	66.1562
14500.000000	88.859	44.4027
14750.000000	86.307	20.7727
15000.000000	83.398	2.2075
15250.000000	80.599	-12.3520
15500.000000	78.112	-24.5439
15750.000000	75.981	-35.7159
16000.000000	74.218	-46.7086
16250.000000	72.843	-58.1186
16500.000000	71.781	-70.3981
16750.000000	70.938	-83.9234
17000.000000	70.257	-98.9747
17250.000000	69.709	-115.8650
17500.000000	69.284	-134.9962
17750.000000	68.954	-156.8699
