* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Aug 16, 2025 10:40:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Yu9 Audio Que ASMR R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.080	-169.5862
20.600000	99.098	-170.2302
20.900000	99.117	-170.9246
21.200001	99.137	-171.6315
21.400000	99.150	-172.1131
21.799999	99.175	-173.0988
22.000000	99.185	-173.5961
22.400000	99.199	-174.5735
22.700001	99.205	-175.2742
23.000000	99.211	-175.9408
23.299999	99.217	-176.5784
23.600000	99.224	-177.1987
24.000000	99.237	-178.0187
24.299999	99.246	-178.6360
24.700001	99.257	-179.4597
25.000000	99.264	179.9282
25.400000	99.272	179.1266
25.799999	99.280	178.3409
26.200001	99.288	177.5637
26.500000	99.294	176.9827
26.900000	99.301	176.2106
27.200001	99.304	175.6357
27.600000	99.307	174.8789
28.000000	99.309	174.1360
28.500000	99.310	173.2280
29.000000	99.310	172.3426
29.500000	99.309	171.4780
30.000000	99.307	170.6298
30.400000	99.304	169.9607
30.700001	99.302	169.4642
31.100000	99.299	168.8096
31.500000	99.296	168.1616
32.000000	99.292	167.3529
32.500000	99.289	166.5381
33.000000	99.281	165.7248
33.500000	99.270	164.9365
34.000000	99.258	164.1895
34.500000	99.249	163.4716
35.000000	99.242	162.7511
35.500000	99.232	162.0100
36.000000	99.218	161.2619
36.500000	99.201	160.5347
37.000000	99.188	159.8363
37.500000	99.181	159.1461
38.200001	99.171	158.1598
38.700001	99.156	157.4614
39.500000	99.121	156.4081
40.000000	99.106	155.7528
40.599998	99.096	154.9079
41.200001	99.085	154.0528
41.799999	99.070	153.3297
42.500000	99.062	152.6820
43.099998	99.063	152.0947
43.700001	99.047	151.3294
44.400002	98.992	150.3126
45.000000	98.938	149.4973
45.500000	98.908	148.8717
46.200001	98.886	148.0092
46.799999	98.868	147.2802
47.500000	98.841	146.4554
48.200001	98.818	145.5547
48.700001	98.799	144.8344
49.400002	98.761	143.8595
50.000000	98.725	143.2170
50.799999	98.689	142.6368
51.500000	98.667	142.1669
52.200001	98.637	141.5665
53.000000	98.595	140.7030
53.799999	98.553	139.7604
54.500000	98.524	138.9854
55.200001	98.501	138.2797
56.000000	98.470	137.4940
57.000000	98.420	136.5000
58.000000	98.372	135.5253
59.000000	98.324	134.6025
60.000000	98.272	133.6833
60.799999	98.230	132.8618
61.500000	98.195	132.1337
62.200001	98.164	131.4724
63.000000	98.126	130.7857
64.000000	98.046	130.0374
65.000000	97.978	129.3942
66.000000	97.955	128.5255
67.000000	97.919	127.5591
68.000000	97.870	126.7541
69.000000	97.823	125.9229
70.000000	97.769	125.0928
71.000000	97.720	124.3273
72.000000	97.672	123.5302
73.000000	97.624	122.7168
74.000000	97.583	121.9759
75.000000	97.540	121.3141
76.199997	97.464	120.4583
77.500000	97.375	119.3933
78.800003	97.297	118.4698
80.000000	97.219	117.6700
81.199997	97.164	116.6962
82.500000	97.127	115.7819
83.800003	97.067	115.2854
85.000000	97.067	114.7547
86.199997	97.196	114.4673
87.500000	97.217	113.4556
88.500000	96.969	112.4861
90.000000	96.668	111.3466
91.199997	96.575	110.4681
92.500000	96.504	110.0278
93.800003	96.453	109.7860
