* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Aug 16, 2025 10:24:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Yu9 Audio Que Gel
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.997	-169.7488
20.600000	98.999	-170.3431
20.900000	98.999	-170.9709
21.200001	99.003	-171.5970
21.400000	99.010	-172.0232
21.799999	99.036	-172.9277
22.000000	99.054	-173.4144
22.400000	99.094	-174.4521
22.700001	99.121	-175.2606
23.000000	99.142	-176.0602
23.299999	99.157	-176.8212
23.600000	99.166	-177.5263
24.000000	99.176	-178.3804
24.299999	99.183	-178.9764
24.700001	99.195	-179.7520
25.000000	99.203	179.6601
25.400000	99.211	178.8592
25.799999	99.216	178.0511
26.200001	99.218	177.2554
26.500000	99.219	176.6730
26.900000	99.223	175.9123
27.200001	99.226	175.3472
27.600000	99.230	174.5934
28.000000	99.231	173.8392
28.500000	99.230	172.9080
29.000000	99.229	172.0026
29.500000	99.231	171.1215
30.000000	99.234	170.2572
30.400000	99.234	169.5790
30.700001	99.232	169.0802
31.100000	99.227	168.4255
31.500000	99.221	167.7715
32.000000	99.215	166.9343
32.500000	99.209	166.0782
33.000000	99.205	165.2462
33.500000	99.206	164.4772
34.000000	99.213	163.7513
34.500000	99.219	163.0054
35.000000	99.210	162.2048
35.500000	99.184	161.3775
36.000000	99.154	160.5641
36.500000	99.138	159.7559
37.000000	99.142	158.9143
37.500000	99.150	158.0506
38.200001	99.135	156.9825
38.700001	99.107	156.4316
39.500000	99.063	155.7771
40.000000	99.048	155.2964
40.599998	99.033	154.5222
41.200001	99.006	153.6202
41.799999	98.965	152.7684
42.500000	98.918	151.9611
43.099998	98.894	151.3372
43.700001	98.884	150.6200
44.400002	98.871	149.6300
45.000000	98.847	148.7882
45.500000	98.823	148.1670
46.200001	98.794	147.3829
46.799999	98.769	146.7127
47.500000	98.742	145.9127
48.200001	98.729	145.0842
48.700001	98.725	144.4508
49.400002	98.706	143.5520
50.000000	98.669	142.8743
50.799999	98.614	142.1200
51.500000	98.574	141.4363
52.200001	98.536	140.6751
53.000000	98.496	139.8130
53.799999	98.471	138.9581
54.500000	98.451	138.1870
55.200001	98.428	137.4393
56.000000	98.404	136.6089
57.000000	98.359	135.5258
58.000000	98.279	134.5329
59.000000	98.201	133.7523
60.000000	98.153	132.9532
60.799999	98.121	132.2118
61.500000	98.094	131.5354
62.200001	98.070	130.8450
63.000000	98.039	130.0508
64.000000	97.983	129.1466
65.000000	97.926	128.3212
66.000000	97.871	127.4731
67.000000	97.817	126.6254
68.000000	97.762	125.7906
69.000000	97.703	124.9120
70.000000	97.640	124.0029
71.000000	97.585	123.1928
72.000000	97.543	122.4526
73.000000	97.500	121.6848
74.000000	97.453	120.9225
75.000000	97.404	120.2325
76.199997	97.332	119.4362
77.500000	97.249	118.3898
78.800003	97.187	117.4261
80.000000	97.140	116.6168
81.199997	97.089	115.6990
82.500000	97.037	114.8011
83.800003	96.943	113.8370
85.000000	96.950	112.3463
86.199997	96.979	110.3090
87.500000	96.790	109.9551
88.500000	96.644	110.4734
90.000000	96.545	109.7315
91.199997	96.492	108.6678
92.500000	96.409	108.0474
93.800003	96.329	107.4266
95.000000	96.219	106.7713
96.199997	96.100	106.2235
97.500000	96.031	105.7668
98.800003	95.980	105.2335
100.000000	95.934	104.8891
101.500000	95.961	104.2346
103.000000	95.978	103.5546
104.400002	95.976	103.0132
106.000000	95.938	102.1712
107.500000	95.835	101.2869
109.000000	95.741	100.2494
110.599998	95.689	99.3935
112.000000	95.612	98.8812
113.800003	95.549	98.1395
115.000000	95.528	97.5012
117.199997	95.437	96.4958
118.000000	95.406	96.0930
120.599998	95.299	94.8028
122.000000	95.234	94.1494
124.099998	95.119	93.1993
125.000000	95.060	92.7618
126.500000	94.977	92.0907
128.000000	94.921	91.5396
131.500000	94.806	90.5738
132.000000	94.786	90.4597
134.000000	94.717	89.8556
136.000000	94.688	88.9170
138.000000	94.652	87.8838
140.000000	94.572	86.8444
143.000000	94.462	86.0795
145.000000	94.403	85.5721
147.500000	94.330	84.7492
150.000000	94.269	84.0190
152.500000	94.192	83.2393
155.000000	94.109	82.4518
157.500000	94.029	81.7599
160.000000	93.952	81.1372
162.500000	93.876	80.5063
165.000000	93.806	79.9466
167.500000	93.747	79.4112
170.000000	93.691	78.7580
172.500000	93.626	78.0400
175.000000	93.540	77.2959
177.500000	93.452	76.7540
180.000000	93.399	76.4144
182.500000	93.375	75.8960
185.000000	93.333	75.2563
187.500000	93.270	74.6855
190.000000	93.216	74.1967
192.500000	93.176	73.7508
195.000000	93.137	73.2574
197.500000	93.088	72.8053
200.000000	93.025	72.4211
203.000000	92.970	71.9331
206.000000	92.947	71.3265
209.000000	92.918	70.7495
212.000000	92.876	70.1159
214.000000	92.841	69.7832
218.000000	92.774	69.2423
220.000000	92.741	68.9622
224.000000	92.682	68.2766
227.000000	92.654	67.7559
230.000000	92.633	67.3336
233.000000	92.608	66.9156
236.000000	92.575	66.4057
240.000000	92.531	65.8248
243.000000	92.494	65.4320
247.000000	92.449	64.9186
250.000000	92.431	64.5792
254.000000	92.396	64.0705
258.000000	92.348	63.5253
262.000000	92.319	62.9281
265.000000	92.300	62.5832
269.000000	92.282	62.2133
272.000000	92.266	61.8671
276.000000	92.233	61.4913
280.000000	92.201	61.1392
285.000000	92.173	60.5196
290.000000	92.143	59.9084
295.000000	92.116	59.5396
300.000000	92.122	59.2138
304.000000	92.103	58.7574
307.000000	92.087	58.3897
311.000000	92.065	57.9702
315.000000	92.040	57.6558
320.000000	92.031	57.2317
325.000000	92.019	56.8283
330.000000	92.011	56.4330
335.000000	91.993	56.0676
340.000000	91.990	56.2049
345.000000	91.992	56.3529
350.000000	91.943	55.6613
355.000000	91.885	54.8226
360.000000	91.932	54.2468
365.000000	91.944	53.6101
370.000000	91.847	53.2481
375.000000	91.801	53.1449
382.000000	91.804	53.0361
387.000000	91.801	52.7468
395.000000	91.778	52.0977
400.000000	91.779	51.6627
406.000000	91.792	51.2730
412.000000	91.797	51.1061
418.000000	91.772	50.9195
425.000000	91.755	50.5845
431.000000	91.747	50.2828
437.000000	91.739	49.8824
444.000000	91.708	49.7485
450.000000	91.700	49.6169
455.000000	91.711	49.4052
462.000000	91.703	49.0175
468.000000	91.683	48.7928
475.000000	91.659	48.5868
482.000000	91.640	48.3883
487.000000	91.628	48.2445
494.000000	91.615	48.0496
500.000000	91.609	47.8861
508.000000	91.598	47.6942
515.000000	91.585	47.5449
522.000000	91.570	47.4080
530.000000	91.556	47.2753
538.000000	91.547	47.1568
545.000000	91.538	47.0778
552.000000	91.524	47.0068
560.000000	91.508	46.9767
570.000000	91.508	46.8146
580.000000	91.489	46.6427
590.000000	91.484	46.6949
600.000000	91.461	46.8780
608.000000	91.428	46.9354
615.000000	91.412	46.9516
622.000000	91.403	46.9690
630.000000	91.391	47.0072
640.000000	91.388	47.0649
650.000000	91.396	47.2319
660.000000	91.397	47.5031
670.000000	91.401	47.6229
680.000000	91.392	47.8039
690.000000	91.385	48.0450
700.000000	91.387	48.3089
710.000000	91.391	48.5871
720.000000	91.394	48.8599
730.000000	91.402	49.1393
740.000000	91.412	49.4441
750.000000	91.423	49.7485
762.000000	91.439	50.1469
775.000000	91.462	50.5985
788.000000	91.489	51.0811
800.000000	91.518	51.5237
812.000000	91.546	51.9836
825.000000	91.580	52.4897
838.000000	91.619	53.0065
850.000000	91.657	53.5044
862.000000	91.699	53.9833
875.000000	91.752	54.5101
885.000000	91.793	54.9204
900.000000	91.867	55.4816
912.000000	91.938	55.9369
925.000000	92.015	56.4455
938.000000	92.091	56.9536
950.000000	92.166	57.3784
962.000000	92.253	57.7943
975.000000	92.345	58.2570
988.000000	92.436	58.6314
1000.000000	92.525	58.9564
1015.000000	92.640	59.3443
1030.000000	92.762	59.6981
1044.000000	92.876	59.9904
1060.000000	93.005	60.2392
1075.000000	93.123	60.4475
1090.000000	93.247	60.6240
1106.000000	93.378	60.7439
1120.000000	93.494	60.8186
1138.000000	93.636	60.8737
1150.000000	93.726	60.8668
1172.000000	93.885	60.7983
1180.000000	93.943	60.7727
1206.000000	94.110	60.6649
1220.000000	94.200	60.5787
1241.000000	94.334	60.4646
1250.000000	94.391	60.3927
1265.000000	94.484	60.2325
1280.000000	94.574	60.0705
1315.000000	94.774	59.6892
1320.000000	94.801	59.6333
