* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Aug 16, 2025 10:12:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Yu9 Audio Que L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.952	-165.2072
20.600000	98.990	-165.8536
20.900000	99.031	-166.5550
21.200001	99.071	-167.2764
21.400000	99.094	-167.7713
21.799999	99.129	-168.7894
22.000000	99.140	-169.3029
22.400000	99.148	-170.3076
22.700001	99.148	-171.0232
23.000000	99.146	-171.7032
23.299999	99.148	-172.3589
23.600000	99.155	-173.0090
24.000000	99.173	-173.8947
24.299999	99.190	-174.5801
24.700001	99.214	-175.5091
25.000000	99.229	-176.2000
25.400000	99.244	-177.0912
25.799999	99.257	-177.9396
26.200001	99.267	-178.7511
26.500000	99.273	-179.3427
26.900000	99.280	179.8824
27.200001	99.285	179.3072
27.600000	99.292	178.5411
28.000000	99.300	177.7684
28.500000	99.310	176.7898
29.000000	99.315	175.8140
29.500000	99.316	174.8740
30.000000	99.315	173.9877
30.400000	99.316	173.3080
30.700001	99.318	172.8038
31.100000	99.322	172.1268
31.500000	99.324	171.4393
32.000000	99.322	170.5761
32.500000	99.316	169.7328
33.000000	99.308	168.9221
33.500000	99.305	168.1283
34.000000	99.303	167.3250
34.500000	99.300	166.5082
35.000000	99.291	165.7050
35.500000	99.280	164.9386
36.000000	99.275	164.1959
36.500000	99.274	163.4446
37.000000	99.274	162.6801
37.500000	99.273	161.9313
38.200001	99.275	160.9179
38.700001	99.277	160.1569
39.500000	99.252	158.8538
40.000000	99.211	158.1159
40.599998	99.164	157.4154
41.200001	99.146	156.8030
41.799999	99.149	156.0942
42.500000	99.142	155.1339
43.099998	99.122	154.3209
43.700001	99.105	153.5363
44.400002	99.086	152.5852
45.000000	99.058	151.7682
45.500000	99.027	151.1430
46.200001	98.985	150.3528
46.799999	98.958	149.6783
47.500000	98.937	148.8452
48.200001	98.924	148.0092
48.700001	98.917	147.4346
49.400002	98.901	146.6565
50.000000	98.874	146.0009
50.799999	98.824	145.1221
51.500000	98.782	144.3268
52.200001	98.752	143.5056
53.000000	98.725	142.5849
53.799999	98.692	141.7616
54.500000	98.661	141.1235
55.200001	98.635	140.4517
56.000000	98.602	139.5487
57.000000	98.537	138.4508
58.000000	98.488	137.5706
59.000000	98.457	136.6359
60.000000	98.413	135.6356
60.799999	98.375	134.8533
61.500000	98.344	134.1959
62.200001	98.317	133.5755
63.000000	98.290	132.8743
64.000000	98.250	131.9453
65.000000	98.193	131.0087
66.000000	98.129	130.1375
67.000000	98.074	129.3147
68.000000	98.033	128.4481
69.000000	97.991	127.5735
70.000000	97.944	126.7635
71.000000	97.895	125.9689
72.000000	97.843	125.1631
73.000000	97.791	124.3498
74.000000	97.741	123.5487
75.000000	97.695	122.7822
76.199997	97.636	121.8438
77.500000	97.570	120.8149
78.800003	97.536	119.9266
80.000000	97.502	119.2205
81.199997	97.408	118.3824
82.500000	97.275	117.3136
83.800003	97.197	116.3817
85.000000	97.179	115.8609
86.199997	97.172	115.3829
87.500000	97.113	114.5559
88.500000	97.043	113.7997
90.000000	96.958	112.5517
91.199997	96.913	111.7525
92.500000	96.876	111.0861
93.800003	96.837	110.4211
95.000000	96.777	109.5345
96.199997	96.693	108.7406
97.500000	96.622	108.0692
98.800003	96.559	107.3858
