* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Aug 16, 2025 10:28:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Yu9 Audio Que RDMZ L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.005	-165.9566
20.600000	99.037	-166.7812
20.900000	99.059	-167.6636
21.200001	99.070	-168.5049
21.400000	99.073	-169.0277
21.799999	99.081	-169.9744
22.000000	99.088	-170.4058
22.400000	99.113	-171.2239
22.700001	99.139	-171.8338
23.000000	99.167	-172.4636
23.299999	99.192	-173.1180
23.600000	99.211	-173.7881
24.000000	99.227	-174.6785
24.299999	99.235	-175.3282
24.700001	99.244	-176.1671
25.000000	99.252	-176.7867
25.400000	99.268	-177.6209
25.799999	99.285	-178.4745
26.200001	99.300	-179.3370
26.500000	99.309	-179.9762
26.900000	99.317	179.1953
27.200001	99.322	178.5939
27.600000	99.327	177.8140
28.000000	99.332	177.0526
28.500000	99.339	176.1216
29.000000	99.350	175.2059
29.500000	99.364	174.2860
30.000000	99.375	173.3535
30.400000	99.375	172.6163
30.700001	99.369	172.0837
31.100000	99.358	171.4092
31.500000	99.347	170.7637
32.000000	99.336	169.9532
32.500000	99.329	169.1088
33.000000	99.321	168.2601
33.500000	99.318	167.4569
34.000000	99.327	166.6929
34.500000	99.345	165.9100
35.000000	99.356	165.0799
35.500000	99.348	164.2484
36.000000	99.323	163.4801
36.500000	99.294	162.7814
37.000000	99.272	162.0982
37.500000	99.256	161.3801
38.200001	99.237	160.3191
38.700001	99.225	159.5591
39.500000	99.205	158.4021
40.000000	99.190	157.7415
40.599998	99.172	156.9913
41.200001	99.155	156.1943
41.799999	99.128	155.2983
42.500000	99.078	154.2589
43.099998	99.047	153.5068
43.700001	99.046	152.8439
44.400002	99.065	152.0415
45.000000	99.063	151.3256
45.500000	99.042	150.7434
46.200001	98.998	149.9238
46.799999	98.965	149.1714
47.500000	98.949	148.2645
48.200001	98.964	147.3739
48.700001	98.974	146.7541
49.400002	98.956	145.9569
50.000000	98.905	145.3711
50.799999	98.826	144.5808
51.500000	98.768	143.7368
52.200001	98.725	142.8791
53.000000	98.704	142.0741
53.799999	98.692	141.3468
54.500000	98.654	140.7151
55.200001	98.605	140.1151
56.000000	98.572	139.3344
57.000000	98.544	138.1241
58.000000	98.496	137.0138
59.000000	98.449	136.0349
60.000000	98.399	135.0501
60.799999	98.365	134.2818
61.500000	98.338	133.6101
62.200001	98.307	132.9505
63.000000	98.266	132.2449
64.000000	98.213	131.3993
65.000000	98.164	130.5208
66.000000	98.119	129.6531
67.000000	98.080	128.8357
68.000000	98.038	128.0146
69.000000	97.987	127.1304
70.000000	97.925	126.2076
71.000000	97.861	125.3806
72.000000	97.812	124.6357
73.000000	97.764	123.8816
74.000000	97.715	123.0860
75.000000	97.667	122.2105
76.199997	97.603	121.2875
77.500000	97.529	120.4314
78.800003	97.474	119.3210
80.000000	97.465	118.0991
81.199997	97.419	117.3291
82.500000	97.322	116.8725
83.800003	97.225	116.0139
85.000000	97.113	115.0639
86.199997	97.021	114.7192
87.500000	97.051	113.8401
88.500000	97.025	112.6876
90.000000	96.933	111.6337
91.199997	96.885	110.8976
92.500000	96.815	110.2700
93.800003	96.740	109.7614
95.000000	96.647	109.0409
96.199997	96.537	108.3503
97.500000	96.413	107.6457
98.800003	96.274	107.1620
100.000000	96.214	106.8602
101.500000	96.179	106.1376
103.000000	96.178	105.1676
104.400002	96.201	104.1707
106.000000	96.137	103.5481
107.500000	96.050	103.0173
109.000000	96.066	102.1818
110.599998	96.115	101.3528
112.000000	96.096	100.7751
113.800003	95.957	99.9283
115.000000	95.866	99.2399
117.199997	95.766	98.2982
118.000000	95.741	97.9753
120.599998	95.660	96.6845
122.000000	95.593	96.1204
124.099998	95.497	95.1836
125.000000	95.461	94.8071
126.500000	95.401	94.1819
128.000000	95.346	93.5570
131.500000	95.198	92.0824
132.000000	95.182	91.8093
134.000000	95.137	90.8780
136.000000	95.074	90.1411
138.000000	95.004	89.3198
140.000000	94.931	88.3498
143.000000	94.865	87.8495
145.000000	94.828	87.2991
147.500000	94.798	86.4811
150.000000	94.733	85.6148
152.500000	94.625	84.9291
155.000000	94.561	84.1213
157.500000	94.514	83.4617
160.000000	94.433	82.6756
162.500000	94.348	81.9278
165.000000	94.275	81.4074
167.500000	94.211	80.7681
170.000000	94.160	80.0540
172.500000	94.101	79.4350
175.000000	94.046	78.9522
177.500000	93.972	78.4477
180.000000	93.886	77.7542
182.500000	93.843	77.0713
185.000000	93.799	76.4316
187.500000	93.766	75.6395
190.000000	93.747	75.2528
192.500000	93.681	75.0202
195.000000	93.607	74.6343
197.500000	93.558	74.0998
200.000000	93.525	73.4801
203.000000	93.512	73.1086
206.000000	93.451	72.9627
209.000000	93.373	72.1380
212.000000	93.349	71.5148
214.000000	93.330	71.3113
218.000000	93.271	70.5577
220.000000	93.249	70.1455
224.000000	93.213	69.3857
227.000000	93.182	69.0077
230.000000	93.158	68.6756
233.000000	93.137	68.1949
236.000000	93.113	67.7489
240.000000	93.076	67.1358
243.000000	93.045	66.6741
247.000000	93.010	66.1469
250.000000	92.986	65.7107
254.000000	92.938	65.0831
258.000000	92.861	64.5307
262.000000	92.808	64.1524
265.000000	92.799	63.8050
269.000000	92.799	63.2622
272.000000	92.797	62.8815
276.000000	92.774	62.4654
280.000000	92.755	62.0135
285.000000	92.731	61.6136
290.000000	92.714	60.9459
295.000000	92.685	60.5904
300.000000	92.666	60.0130
304.000000	92.642	59.5399
307.000000	92.621	59.1700
311.000000	92.616	58.6919
315.000000	92.617	58.4623
320.000000	92.584	58.2213
325.000000	92.547	57.7006
330.000000	92.538	57.1904
335.000000	92.526	56.8375
340.000000	92.494	56.4549
345.000000	92.483	55.9976
350.000000	92.465	55.6941
355.000000	92.465	55.3435
360.000000	92.450	54.8033
365.000000	92.426	54.5768
370.000000	92.449	54.4285
375.000000	92.487	54.0051
382.000000	92.428	53.5112
387.000000	92.362	53.4426
395.000000	92.342	53.0519
400.000000	92.340	52.6567
406.000000	92.336	52.2675
412.000000	92.329	51.9837
418.000000	92.312	51.6740
425.000000	92.297	51.2546
431.000000	92.286	50.9724
437.000000	92.277	50.6261
444.000000	92.278	50.3665
450.000000	92.262	50.1183
455.000000	92.252	49.9767
462.000000	92.246	49.7360
468.000000	92.241	49.5192
475.000000	92.221	49.3561
482.000000	92.191	49.2015
487.000000	92.178	48.9927
494.000000	92.169	48.7968
500.000000	92.160	48.6359
508.000000	92.153	48.4059
515.000000	92.143	48.2817
522.000000	92.130	48.1666
530.000000	92.116	48.0228
538.000000	92.106	47.8743
545.000000	92.095	47.8183
552.000000	92.081	47.7833
560.000000	92.067	47.6936
570.000000	92.049	47.5525
580.000000	92.031	47.5138
590.000000	92.017	47.5986
600.000000	92.005	47.6727
608.000000	91.994	47.6969
615.000000	91.986	47.7293
622.000000	91.980	47.7850
630.000000	91.974	47.8678
640.000000	91.964	47.9902
650.000000	91.957	48.1244
660.000000	91.951	48.2898
670.000000	91.948	48.4744
680.000000	91.945	48.6823
690.000000	91.945	48.9006
700.000000	91.949	49.1453
710.000000	91.954	49.4107
720.000000	91.960	49.6881
730.000000	91.967	49.9864
740.000000	91.976	50.2979
750.000000	91.989	50.6253
762.000000	92.010	51.0405
775.000000	92.035	51.5048
788.000000	92.065	51.9743
800.000000	92.095	52.4398
812.000000	92.123	52.9144
825.000000	92.160	53.4382
838.000000	92.203	53.9858
850.000000	92.245	54.4955
862.000000	92.292	54.9949
875.000000	92.350	55.5376
885.000000	92.399	55.9539
900.000000	92.479	56.5793
912.000000	92.547	57.0703
925.000000	92.627	57.5874
938.000000	92.714	58.0896
950.000000	92.798	58.5331
962.000000	92.885	58.9543
975.000000	92.983	59.3851
988.000000	93.086	59.7870
1000.000000	93.184	60.1310
1015.000000	93.308	60.5210
1030.000000	93.435	60.8653
1044.000000	93.556	61.1418
1060.000000	93.695	61.3996
1075.000000	93.828	61.5952
1090.000000	93.958	61.7457
1106.000000	94.096	61.8562
1120.000000	94.216	61.9124
1138.000000	94.365	61.9317
1150.000000	94.464	61.9088
1172.000000	94.643	61.8144
1180.000000	94.705	61.7759
1206.000000	94.895	61.5662
1220.000000	94.993	61.4278
1241.000000	95.135	61.1945
1250.000000	95.195	61.0843
1265.000000	95.294	60.8905
1280.000000	95.392	60.6888
1315.000000	95.609	60.1840
1320.000000	95.638	60.1112
1340.000000	95.751	59.8232
1360.000000	95.858	59.5419
1380.000000	95.959	59.2604
1400.000000	96.055	58.9760
1430.000000	96.189	58.5662
1450.000000	96.275	58.2874
1475.000000	96.377	57.9463
1500.000000	96.470	57.6623
1525.000000	96.564	57.4405
1550.000000	96.652	57.2006
1575.000000	96.734	56.9139
1600.000000	96.817	56.6412
1625.000000	96.896	56.4089
1650.000000	96.969	56.1903
1675.000000	97.039	55.9753
1700.000000	97.107	55.7693
1725.000000	97.175	55.5679
1750.000000	97.241	55.3683
1775.000000	97.306	55.1704
1800.000000	97.370	54.9738
1825.000000	97.434	54.7777
1850.000000	97.496	54.5757
1875.000000	97.558	54.3714
1900.000000	97.618	54.1674
1925.000000	97.677	53.9617
1950.000000	97.736	53.7516
1975.000000	97.793	53.5333
2000.000000	97.850	53.3065
2030.000000	97.918	53.0283
2060.000000	97.985	52.7431
2090.000000	98.050	52.4500
2120.000000	98.113	52.1482
2140.000000	98.154	51.9419
2180.000000	98.231	51.5167
2200.000000	98.267	51.2992
2240.000000	98.337	50.8550
2270.000000	98.385	50.5123
2300.000000	98.430	50.1652
2330.000000	98.473	49.8145
2360.000000	98.511	49.4588
2400.000000	98.558	48.9810
2430.000000	98.589	48.6215
2470.000000	98.625	48.1447
2500.000000	98.650	47.7882
2540.000000	98.678	47.3193
2580.000000	98.702	46.8644
2620.000000	98.722	46.4200
2650.000000	98.733	46.0948
2690.000000	98.745	45.6760
2720.000000	98.751	45.3733
2760.000000	98.756	44.9875
2800.000000	98.758	44.6217
2850.000000	98.756	44.1909
2900.000000	98.752	43.7918
2950.000000	98.747	43.4279
3000.000000	98.740	43.0932
3040.000000	98.735	42.8441
3070.000000	98.731	42.6683
3110.000000	98.728	42.4462
3150.000000	98.726	42.2352
3200.000000	98.727	41.9838
3250.000000	98.732	41.7375
3300.000000	98.741	41.4889
3350.000000	98.754	41.2341
3400.000000	98.771	40.9659
3450.000000	98.792	40.6743
3500.000000	98.817	40.3502
3550.000000	98.845	39.9864
3600.000000	98.877	39.5733
3650.000000	98.909	39.1050
3700.000000	98.942	38.5760
3750.000000	98.974	37.9829
3820.000000	99.015	37.0396
3870.000000	99.039	36.2815
3950.000000	99.062	34.9253
4000.000000	99.064	33.9956
4060.000000	99.048	32.8078
4120.000000	99.013	31.5557
4180.000000	98.960	30.2582
4250.000000	98.875	28.7133
4310.000000	98.782	27.3829
4370.000000	98.673	26.0643
4440.000000	98.528	24.5483
4500.000000	98.391	23.2642
4550.000000	98.268	22.1920
4620.000000	98.080	20.6589
4680.000000	97.898	19.2961
4750.000000	97.648	17.6602
4820.000000	97.341	16.0608
4870.000000	97.083	15.0341
4940.000000	96.670	13.9119
5000.000000	96.281	13.3600
5080.000000	95.750	13.3016
5150.000000	95.303	13.8452
5220.000000	94.895	14.8344
5300.000000	94.488	16.3701
5380.000000	94.148	18.1723
5450.000000	93.904	19.8942
5520.000000	93.707	21.7069
5600.000000	93.538	23.8483
5700.000000	93.404	26.5551
5800.000000	93.358	29.2360
5900.000000	93.397	31.8263
6000.000000	93.519	34.2484
6080.000000	93.678	35.9995
6150.000000	93.859	37.3425
6220.000000	94.079	38.4538
6300.000000	94.379	39.3790
6400.000000	94.817	39.9484
6500.000000	95.287	39.8106
6600.000000	95.748	38.9075
6700.000000	96.153	37.2568
6800.000000	96.454	35.0848
6900.000000	96.634	32.8859
7000.000000	96.736	31.1794
7100.000000	96.860	30.1178
7200.000000	97.093	29.2864
7300.000000	97.451	27.9565
7400.000000	97.870	25.5045
7500.000000	98.235	21.6587
7620.000000	98.429	15.6693
7750.000000	98.243	8.8851
7880.000000	97.704	3.2849
8000.000000	97.016	-0.1052
8120.000000	96.271	-1.6914
8250.000000	95.538	-2.0520
8380.000000	94.913	-1.4824
8500.000000	94.451	-0.3348
8620.000000	94.109	1.1658
8750.000000	93.870	2.9593
8850.000000	93.777	4.3304
9000.000000	93.777	6.1633
9120.000000	93.891	7.2821
9250.000000	94.119	7.9514
9380.000000	94.438	7.8276
9500.000000	94.784	6.7884
9620.000000	95.137	4.7014
9750.000000	95.461	1.1833
9880.000000	95.645	-3.5037
10000.000000	95.632	-8.5115
10150.000000	95.329	-14.9563
10300.000000	94.729	-20.7367
10440.000000	93.974	-24.9238
10600.000000	93.001	-28.0140
10750.000000	92.086	-29.3859
10900.000000	91.237	-29.6057
11060.000000	90.441	-28.9702
11200.000000	89.849	-27.9442
11380.000000	89.230	-26.2750
11500.000000	88.906	-25.0577
11720.000000	88.517	-22.8893
11800.000000	88.445	-22.2498
12060.000000	88.428	-21.3503
12200.000000	88.526	-21.8016
12410.000000	88.768	-23.9925
12500.000000	88.891	-25.5598
12650.000000	89.092	-29.0451
12800.000000	89.238	-33.5566
13150.000000	89.114	-46.6786
13200.000000	89.035	-48.6547
13400.000000	88.591	-56.3323
13600.000000	88.014	-63.3169
13800.000000	87.395	-69.5432
14000.000000	86.790	-75.1490
14300.000000	85.979	-82.6077
14500.000000	85.543	-87.0695
14750.000000	85.159	-92.2583
15000.000000	85.013	-97.1024
15250.000000	85.274	-101.6294
15500.000000	86.279	-107.3904
15750.000000	87.971	-118.3246
16000.000000	89.893	-136.1595
16250.000000	91.617	-161.0993
16500.000000	92.490	167.9244
16750.000000	92.125	134.4478
17000.000000	90.713	102.3325
17250.000000	88.823	72.8936
17500.000000	86.945	44.9240
17750.000000	85.286	16.4462
18000.000000	83.856	-14.2938
18250.000000	82.605	-48.5877
18500.000000	81.476	-87.5076
18750.000000	80.401	-132.0999
19000.000000	79.230	176.7258
19250.000000	77.726	118.5142
19500.000000	75.648	53.1237
19750.000000	72.916	-21.2346
20000.000000	70.446	-97.4858
