* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Aug 16, 2025 10:52:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Yu9 Audio Que Velvet R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	99.131	-169.9867
20.600000	99.144	-170.5609
20.900000	99.158	-171.1685
21.200001	99.173	-171.7929
21.400000	99.182	-172.2294
21.799999	99.200	-173.1598
22.000000	99.206	-173.6491
22.400000	99.217	-174.6510
22.700001	99.223	-175.4026
23.000000	99.230	-176.1418
23.299999	99.240	-176.8632
23.600000	99.251	-177.5643
24.000000	99.266	-178.4633
24.299999	99.278	-179.1074
24.700001	99.290	-179.9256
25.000000	99.298	179.4861
25.400000	99.305	178.7211
25.799999	99.311	177.9622
26.200001	99.316	177.1989
26.500000	99.320	176.6219
26.900000	99.327	175.8475
27.200001	99.333	175.2647
27.600000	99.342	174.4903
28.000000	99.348	173.7314
28.500000	99.350	172.8271
29.000000	99.348	171.9764
29.500000	99.345	171.1433
30.000000	99.343	170.2842
30.400000	99.339	169.5763
30.700001	99.335	169.0460
31.100000	99.328	168.3574
31.500000	99.322	167.6970
32.000000	99.315	166.8973
32.500000	99.307	166.1029
33.000000	99.296	165.3063
33.500000	99.286	164.5102
34.000000	99.280	163.7153
34.500000	99.275	162.9382
35.000000	99.267	162.2228
35.500000	99.256	161.5953
36.000000	99.247	161.0089
36.500000	99.237	160.3622
37.000000	99.221	159.5949
37.500000	99.193	158.7478
38.200001	99.149	157.6115
38.700001	99.131	156.9014
39.500000	99.128	155.8453
40.000000	99.127	155.1628
40.599998	99.110	154.3269
41.200001	99.086	153.5522
41.799999	99.077	152.8883
42.500000	99.100	152.1426
43.099998	99.119	151.3817
43.700001	99.098	150.5297
44.400002	99.022	149.6175
45.000000	98.954	148.9487
45.500000	98.918	148.3832
46.200001	98.890	147.5007
46.799999	98.870	146.7482
47.500000	98.847	145.9699
48.200001	98.830	145.1877
48.700001	98.812	144.5571
49.400002	98.772	143.6351
50.000000	98.730	142.9292
50.799999	98.687	142.1610
51.500000	98.667	141.5250
52.200001	98.645	140.8290
53.000000	98.609	140.0001
53.799999	98.569	139.1900
54.500000	98.537	138.5066
55.200001	98.508	137.8622
56.000000	98.479	137.1355
57.000000	98.436	136.1166
58.000000	98.373	135.0858
59.000000	98.313	134.1835
60.000000	98.243	133.3462
60.799999	98.181	132.7264
61.500000	98.143	132.1302
62.200001	98.122	131.4122
63.000000	98.104	130.5539
64.000000	98.077	129.6518
65.000000	98.033	128.8078
66.000000	97.969	127.8886
67.000000	97.914	126.9810
68.000000	97.873	126.1195
69.000000	97.825	125.3204
70.000000	97.771	124.5327
71.000000	97.711	123.7480
72.000000	97.646	122.9535
73.000000	97.574	122.0612
74.000000	97.499	121.2439
75.000000	97.450	120.5849
76.199997	97.415	119.7473
77.500000	97.372	118.8295
78.800003	97.311	117.9943
80.000000	97.249	117.1772
81.199997	97.206	116.4706
82.500000	97.146	115.3996
83.800003	97.078	114.3930
85.000000	96.957	114.5906
86.199997	96.913	117.2160
87.500000	97.097	116.0890
88.500000	96.970	113.0657
90.000000	96.772	111.0809
91.199997	96.634	110.2445
92.500000	96.519	109.4194
93.800003	96.470	108.5912
95.000000	96.444	107.8743
96.199997	96.386	107.0584
97.500000	96.259	106.3624
98.800003	96.160	106.0425
100.000000	96.164	105.5211
101.500000	96.146	104.5276
103.000000	96.088	103.7035
104.400002	96.048	103.1310
106.000000	96.019	102.2919
107.500000	95.962	101.3539
109.000000	95.853	100.4571
110.599998	95.770	99.6914
112.000000	95.768	99.2070
113.800003	95.727	98.4582
115.000000	95.663	97.9093
117.199997	95.549	97.1598
118.000000	95.520	96.8102
120.599998	95.393	95.2664
122.000000	95.311	94.5626
124.099998	95.174	93.8264
125.000000	95.145	93.4997
126.500000	95.129	92.9706
128.000000	95.103	92.5003
131.500000	94.992	91.3509
132.000000	94.975	91.1882
134.000000	94.916	90.5845
136.000000	94.870	89.9367
138.000000	94.808	89.1215
140.000000	94.751	88.3515
143.000000	94.682	87.2573
145.000000	94.632	86.4961
147.500000	94.550	85.7567
150.000000	94.451	85.4069
152.500000	94.407	84.4601
155.000000	94.326	83.4082
157.500000	94.271	82.7702
160.000000	94.221	82.0643
162.500000	94.137	81.4884
165.000000	94.076	80.8756
167.500000	94.033	80.2696
170.000000	93.963	79.7227
172.500000	93.868	79.0116
175.000000	93.802	78.3088
177.500000	93.771	77.8346
180.000000	93.738	77.3199
182.500000	93.693	76.7679
185.000000	93.632	76.4339
187.500000	93.558	75.9415
190.000000	93.499	75.2537
192.500000	93.461	74.6799
195.000000	93.419	74.1541
197.500000	93.388	73.6728
200.000000	93.351	73.3034
203.000000	93.286	72.8396
206.000000	93.224	72.3163
209.000000	93.180	71.5706
212.000000	93.156	70.8763
214.000000	93.146	70.5465
218.000000	93.097	70.0988
220.000000	93.057	69.7858
224.000000	92.994	69.0116
227.000000	92.972	68.5606
230.000000	92.950	68.1552
233.000000	92.927	67.7575
236.000000	92.895	67.3239
240.000000	92.848	66.7988
243.000000	92.813	66.4240
247.000000	92.787	65.8558
250.000000	92.768	65.3755
254.000000	92.728	64.8583
258.000000	92.686	64.3669
262.000000	92.658	63.8912
265.000000	92.649	63.5676
269.000000	92.636	63.1125
272.000000	92.617	62.7263
276.000000	92.591	62.2114
280.000000	92.566	61.7781
285.000000	92.521	61.2069
290.000000	92.443	60.6692
295.000000	92.419	61.2775
300.000000	92.570	60.8747
304.000000	92.548	59.9796
307.000000	92.494	59.5990
311.000000	92.423	59.0110
315.000000	92.375	58.3726
320.000000	92.387	57.0645
325.000000	92.333	56.3761
330.000000	92.275	56.7793
335.000000	92.274	56.8616
340.000000	92.275	56.6195
345.000000	92.275	56.3807
350.000000	92.288	56.1027
355.000000	92.306	55.7440
360.000000	92.314	55.3596
365.000000	92.316	54.9525
370.000000	92.310	54.5708
375.000000	92.305	54.1854
382.000000	92.306	53.6025
387.000000	92.295	53.2439
395.000000	92.299	52.6795
400.000000	92.279	52.2538
406.000000	92.275	51.9328
412.000000	92.269	51.4661
418.000000	92.243	51.1085
425.000000	92.215	50.8202
431.000000	92.199	50.5487
437.000000	92.193	50.2149
444.000000	92.183	49.8503
450.000000	92.166	49.5682
455.000000	92.153	49.3683
462.000000	92.135	49.1106
468.000000	92.116	48.9043
475.000000	92.094	48.7118
482.000000	92.079	48.5551
487.000000	92.076	48.4511
494.000000	92.068	48.3910
500.000000	92.051	48.4124
508.000000	92.002	48.2525
515.000000	91.969	47.6769
522.000000	91.988	47.2967
530.000000	91.988	47.3002
538.000000	91.971	47.1720
545.000000	91.963	47.0088
552.000000	91.957	46.9487
560.000000	91.944	46.9963
570.000000	91.915	46.9988
580.000000	91.898	46.9198
590.000000	91.876	46.9364
600.000000	91.873	46.9829
608.000000	91.865	46.9601
615.000000	91.855	47.0073
622.000000	91.847	47.0648
630.000000	91.838	47.1407
640.000000	91.832	47.2372
650.000000	91.821	47.3026
660.000000	91.811	47.4556
670.000000	91.811	47.6618
680.000000	91.811	47.8657
690.000000	91.805	48.1139
700.000000	91.813	48.4279
710.000000	91.829	48.6349
720.000000	91.821	48.8276
730.000000	91.816	49.1228
740.000000	91.835	49.4385
750.000000	91.852	49.7016
762.000000	91.863	50.0548
775.000000	91.880	50.5117
788.000000	91.907	50.9852
800.000000	91.937	51.4226
812.000000	91.965	51.8922
825.000000	91.998	52.4156
838.000000	92.035	52.9371
850.000000	92.075	53.4250
862.000000	92.121	53.9036
875.000000	92.175	54.4234
885.000000	92.220	54.8276
900.000000	92.295	55.4355
912.000000	92.360	55.9072
925.000000	92.436	56.4110
938.000000	92.517	56.9058
950.000000	92.596	57.3369
962.000000	92.678	57.7398
975.000000	92.772	58.1479
988.000000	92.867	58.5177
1000.000000	92.956	58.8676
1015.000000	93.076	59.2613
1030.000000	93.201	59.5825
1044.000000	93.317	59.8515
1060.000000	93.450	60.1046
1075.000000	93.575	60.3072
1090.000000	93.699	60.4686
1106.000000	93.831	60.5987
1120.000000	93.954	60.6131
1138.000000	94.102	60.5055
1150.000000	94.194	60.5136
1172.000000	94.352	60.5724
1180.000000	94.407	60.5645
1206.000000	94.582	60.3912
1220.000000	94.674	60.2569
1241.000000	94.807	60.0461
1250.000000	94.864	59.9497
1265.000000	94.958	59.7810
1280.000000	95.051	59.6001
1315.000000	95.252	59.1771
1320.000000	95.279	59.1191
1340.000000	95.386	58.8912
1360.000000	95.488	58.6391
1380.000000	95.581	58.4023
1400.000000	95.669	58.1986
1430.000000	95.805	57.9380
1450.000000	95.880	57.6915
1475.000000	95.976	57.3448
1500.000000	96.072	57.1021
1525.000000	96.157	56.8696
1550.000000	96.241	56.6420
1575.000000	96.319	56.4578
1600.000000	96.397	56.2698
1625.000000	96.472	56.0823
1650.000000	96.540	55.9066
1675.000000	96.607	55.7443
1700.000000	96.672	55.5911
1725.000000	96.735	55.4468
1750.000000	96.797	55.3041
1775.000000	96.859	55.1596
1800.000000	96.920	55.0244
1825.000000	96.981	54.8947
1850.000000	97.040	54.7653
1875.000000	97.098	54.6301
1900.000000	97.155	54.5007
1925.000000	97.212	54.3558
1950.000000	97.268	54.1949
1975.000000	97.324	54.0473
2000.000000	97.380	53.9055
2030.000000	97.446	53.7164
2060.000000	97.512	53.5228
2090.000000	97.577	53.3214
2120.000000	97.640	53.1074
2140.000000	97.680	52.9648
2180.000000	97.758	52.6772
