* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 12:32:55 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Zero RED Bass+ CP145 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.675	-155.2722
20.600000	100.692	-155.9285
20.900000	100.706	-156.6119
21.200001	100.721	-157.2722
21.400000	100.734	-157.7068
21.799999	100.766	-158.5913
22.000000	100.784	-159.0495
22.400000	100.819	-159.9939
22.700001	100.838	-160.7030
23.000000	100.852	-161.3842
23.299999	100.860	-162.0179
23.600000	100.867	-162.5994
24.000000	100.879	-163.3150
24.299999	100.893	-163.8346
24.700001	100.915	-164.5402
25.000000	100.931	-165.0880
25.400000	100.948	-165.8327
25.799999	100.958	-166.5676
26.200001	100.964	-167.2703
26.500000	100.967	-167.7731
26.900000	100.971	-168.4203
27.200001	100.974	-168.8977
27.600000	100.979	-169.5349
28.000000	100.985	-170.1762
28.500000	100.992	-170.9733
29.000000	100.998	-171.7454
29.500000	101.005	-172.4874
30.000000	101.010	-173.2193
30.400000	101.009	-173.8124
30.700001	101.004	-174.2615
31.100000	100.990	-174.8542
31.500000	100.971	-175.4226
32.000000	100.948	-176.0874
32.500000	100.934	-176.7223
33.000000	100.930	-177.3640
33.500000	100.928	-178.0238
34.000000	100.922	-178.6816
34.500000	100.912	-179.3194
35.000000	100.899	-179.9421
35.500000	100.882	179.4421
36.000000	100.863	178.8448
36.500000	100.845	178.2844
37.000000	100.832	177.7544
37.500000	100.825	177.2227
38.200001	100.806	176.4518
38.700001	100.780	175.9255
39.500000	100.730	175.1872
40.000000	100.707	174.7297
40.599998	100.689	174.0945
41.200001	100.669	173.3864
41.799999	100.642	172.7141
42.500000	100.609	172.0600
43.099998	100.584	171.5653
43.700001	100.559	171.0632
44.400002	100.523	170.4510
45.000000	100.488	169.9331
45.500000	100.461	169.5146
46.200001	100.426	168.9249
46.799999	100.394	168.4055
47.500000	100.354	167.8203
48.200001	100.319	167.2887
48.700001	100.294	166.9355
49.400002	100.254	166.4835
50.000000	100.215	166.1233
50.799999	100.170	165.5278
51.500000	100.134	164.8647
52.200001	100.112	164.3376
53.000000	100.144	163.9992
53.799999	100.186	163.4905
54.500000	100.133	162.8690
55.200001	100.008	162.4091
56.000000	99.883	162.0212
57.000000	99.798	161.3194
58.000000	99.740	160.6737
59.000000	99.696	160.0584
60.000000	99.621	159.3777
60.799999	99.556	158.9597
61.500000	99.511	158.6471
62.200001	99.471	158.3168
63.000000	99.422	157.9073
64.000000	99.355	157.3987
65.000000	99.287	156.9279
66.000000	99.217	156.4644
67.000000	99.145	156.0096
68.000000	99.079	155.5405
69.000000	99.013	155.0743
70.000000	98.945	154.6534
71.000000	98.876	154.2136
72.000000	98.801	153.7692
73.000000	98.730	153.3698
74.000000	98.661	152.9803
75.000000	98.588	152.6169
76.199997	98.506	152.2015
77.500000	98.417	151.7131
78.800003	98.316	151.2856
80.000000	98.232	150.9190
81.199997	98.152	150.5255
82.500000	98.061	150.1585
83.800003	97.971	149.7922
85.000000	97.884	149.4392
86.199997	97.793	149.1221
87.500000	97.699	148.7873
88.500000	97.629	148.5059
90.000000	97.524	148.1390
91.199997	97.438	147.9164
92.500000	97.341	147.6559
93.800003	97.243	147.4149
95.000000	97.161	147.2209
96.199997	97.080	147.0071
97.500000	96.988	146.7459
98.800003	96.889	146.5394
100.000000	96.797	146.4120
101.500000	96.697	146.2531
103.000000	96.605	146.0083
104.400002	96.508	145.7139
106.000000	96.386	145.4797
107.500000	96.278	145.4381
109.000000	96.178	145.4385
110.599998	96.081	145.3834
112.000000	95.991	145.2817
113.800003	95.874	145.1751
115.000000	95.796	145.1463
117.199997	95.642	145.1041
118.000000	95.584	145.0878
120.599998	95.417	144.9767
122.000000	95.336	144.9285
124.099998	95.215	144.8616
125.000000	95.167	144.8104
126.500000	95.092	144.7651
128.000000	95.003	144.8350
131.500000	94.785	145.2392
132.000000	94.752	145.3181
134.000000	94.609	145.5651
136.000000	94.482	145.7344
138.000000	94.371	145.9480
140.000000	94.266	145.8906
143.000000	94.141	146.0703
145.000000	94.065	146.4649
147.500000	93.930	146.8111
150.000000	93.774	147.1052
152.500000	93.630	147.3455
155.000000	93.518	147.7184
157.500000	93.426	148.5063
160.000000	93.303	149.2101
162.500000	93.222	149.5706
165.000000	93.161	150.0906
167.500000	93.097	150.4634
170.000000	93.035	150.7651
172.500000	92.940	151.0972
175.000000	92.843	151.3951
177.500000	92.706	151.5468
180.000000	92.575	151.6738
182.500000	92.542	152.4081
185.000000	92.506	153.0378
187.500000	92.448	153.5008
190.000000	92.386	153.9357
192.500000	92.319	154.3730
195.000000	92.249	154.8286
197.500000	92.185	155.2618
200.000000	92.125	155.6724
203.000000	92.047	156.2084
206.000000	91.972	156.7837
209.000000	91.914	157.3266
212.000000	91.864	157.8846
214.000000	91.827	158.2538
218.000000	91.756	159.1081
220.000000	91.726	159.5947
224.000000	91.671	160.6147
227.000000	91.648	161.3730
230.000000	91.655	162.0786
233.000000	91.689	162.7068
236.000000	91.729	163.2049
240.000000	91.767	163.5447
243.000000	91.775	163.6821
247.000000	91.764	163.8274
250.000000	91.752	164.0195
254.000000	91.727	164.3889
258.000000	91.680	164.6311
262.000000	91.646	164.9906
265.000000	91.630	165.3192
269.000000	91.606	165.7059
272.000000	91.585	166.0322
276.000000	91.560	166.4336
280.000000	91.537	166.7637
285.000000	91.510	167.2224
290.000000	91.489	167.7166
295.000000	91.482	168.1429
300.000000	91.479	168.5402
304.000000	91.448	168.8697
307.000000	91.425	169.1039
311.000000	91.403	169.4050
315.000000	91.387	169.7269
320.000000	91.370	170.1194
325.000000	91.356	170.4675
330.000000	91.340	170.8045
335.000000	91.323	171.1218
340.000000	91.306	171.4796
345.000000	91.285	171.8400
350.000000	91.268	172.1776
355.000000	91.253	172.5160
360.000000	91.238	172.8700
365.000000	91.220	173.1938
370.000000	91.198	173.5383
375.000000	91.184	173.8590
382.000000	91.165	174.2967
387.000000	91.146	174.6370
395.000000	91.123	175.1871
400.000000	91.107	175.5050
406.000000	91.085	175.8831
412.000000	91.074	176.2911
418.000000	91.078	176.7162
425.000000	91.049	177.1500
431.000000	91.016	177.5119
437.000000	91.002	177.8881
444.000000	90.991	178.2895
450.000000	90.979	178.6498
455.000000	90.967	178.9586
462.000000	90.952	179.3922
468.000000	90.940	179.7639
475.000000	90.927	-179.8239
482.000000	90.913	-179.4119
487.000000	90.902	-179.0904
494.000000	90.890	-178.6528
500.000000	90.881	-178.2811
508.000000	90.869	-177.7778
515.000000	90.861	-177.3448
522.000000	90.852	-176.9305
530.000000	90.846	-176.4647
538.000000	90.844	-175.9992
545.000000	90.839	-175.5720
552.000000	90.832	-175.1429
560.000000	90.826	-174.6720
570.000000	90.822	-174.0910
580.000000	90.819	-173.5227
590.000000	90.820	-172.9514
600.000000	90.823	-172.3860
608.000000	90.818	-171.9493
615.000000	90.813	-171.5669
622.000000	90.811	-171.1800
630.000000	90.810	-170.7405
640.000000	90.811	-170.1936
650.000000	90.810	-169.6436
660.000000	90.809	-169.0865
670.000000	90.812	-168.5293
680.000000	90.815	-167.9730
690.000000	90.818	-167.4131
700.000000	90.823	-166.8549
710.000000	90.831	-166.2932
720.000000	90.838	-165.7295
730.000000	90.841	-165.1564
740.000000	90.847	-164.5762
750.000000	90.855	-163.9956
762.000000	90.867	-163.3013
775.000000	90.881	-162.5491
788.000000	90.900	-161.7776
800.000000	90.919	-161.0555
812.000000	90.936	-160.3356
825.000000	90.955	-159.5576
838.000000	90.977	-158.7796
850.000000	91.003	-158.0516
862.000000	91.032	-157.3304
875.000000	91.067	-156.5577
885.000000	91.097	-155.9694
900.000000	91.147	-155.1005
912.000000	91.189	-154.3868
925.000000	91.240	-153.6348
938.000000	91.295	-152.9078
950.000000	91.350	-152.2572
962.000000	91.409	-151.6212
975.000000	91.475	-150.9473
988.000000	91.543	-150.3029
1000.000000	91.610	-149.7347
1015.000000	91.695	-149.0572
1030.000000	91.783	-148.4195
1044.000000	91.866	-147.8650
1060.000000	91.963	-147.2825
1075.000000	92.055	-146.7817
1090.000000	92.145	-146.3070
1106.000000	92.239	-145.8424
1120.000000	92.320	-145.4722
1138.000000	92.420	-145.0361
1150.000000	92.484	-144.7669
1172.000000	92.596	-144.3065
1180.000000	92.635	-144.1444
1206.000000	92.752	-143.6251
1220.000000	92.808	-143.3388
1241.000000	92.889	-142.8665
1250.000000	92.926	-142.6408
