* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 8:44:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Zero RED Bass+ Foam L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.309	-153.7764
20.600000	100.337	-154.3670
20.900000	100.367	-154.9786
21.200001	100.399	-155.5862
21.400000	100.421	-156.0009
21.799999	100.462	-156.8735
22.000000	100.479	-157.3303
22.400000	100.505	-158.2589
22.700001	100.517	-158.9388
23.000000	100.526	-159.5833
23.299999	100.536	-160.1875
23.600000	100.549	-160.7609
24.000000	100.574	-161.5066
24.299999	100.595	-162.0680
24.700001	100.622	-162.8209
25.000000	100.637	-163.3758
25.400000	100.652	-164.0807
25.799999	100.663	-164.7396
26.200001	100.675	-165.3709
26.500000	100.684	-165.8431
26.900000	100.695	-166.4828
27.200001	100.701	-166.9671
27.600000	100.709	-167.6065
28.000000	100.719	-168.2339
28.500000	100.739	-169.0262
29.000000	100.759	-169.8701
29.500000	100.768	-170.7611
30.000000	100.755	-171.6233
30.400000	100.735	-172.2374
30.700001	100.721	-172.6459
31.100000	100.709	-173.1421
31.500000	100.707	-173.6219
32.000000	100.716	-174.2470
32.500000	100.727	-174.9051
33.000000	100.733	-175.5660
33.500000	100.731	-176.2106
34.000000	100.722	-176.8447
34.500000	100.707	-177.4748
35.000000	100.689	-178.0927
35.500000	100.673	-178.6888
36.000000	100.663	-179.2646
36.500000	100.657	-179.8261
37.000000	100.651	179.6245
37.500000	100.644	179.0803
38.200001	100.629	178.2926
38.700001	100.612	177.7033
39.500000	100.578	176.7889
40.000000	100.559	176.2726
40.599998	100.546	175.6805
41.200001	100.533	175.0771
41.799999	100.511	174.4865
42.500000	100.477	173.8779
43.099998	100.452	173.3963
43.700001	100.432	172.8769
44.400002	100.407	172.2115
45.000000	100.384	171.6519
45.500000	100.366	171.2141
46.200001	100.339	170.6199
46.799999	100.309	170.1150
47.500000	100.267	169.5366
48.200001	100.233	168.9421
48.700001	100.214	168.5143
49.400002	100.187	167.9885
50.000000	100.165	167.6105
50.799999	100.126	167.0206
51.500000	100.074	166.3890
52.200001	100.048	165.7822
53.000000	100.098	164.9641
53.799999	100.129	163.9429
54.500000	100.054	163.3960
55.200001	99.943	163.3940
56.000000	99.860	163.3905
57.000000	99.787	162.7622
58.000000	99.721	162.0554
59.000000	99.654	161.3741
60.000000	99.571	160.7577
60.799999	99.538	160.3246
61.500000	99.524	159.9104
62.200001	99.498	159.5068
63.000000	99.449	159.0929
64.000000	99.385	158.5397
65.000000	99.329	157.9517
66.000000	99.274	157.4496
67.000000	99.212	156.9895
68.000000	99.144	156.4816
69.000000	99.073	155.9908
