* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 8:52:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Zero RED Bass+ Narrow R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.720	-154.3399
20.600000	100.742	-155.0157
20.900000	100.760	-155.7217
21.200001	100.776	-156.4004
21.400000	100.787	-156.8416
21.799999	100.815	-157.7215
22.000000	100.831	-158.1687
22.400000	100.863	-159.0786
22.700001	100.882	-159.7570
23.000000	100.896	-160.4083
23.299999	100.907	-161.0155
23.600000	100.917	-161.5742
24.000000	100.934	-162.2635
24.299999	100.950	-162.7651
24.700001	100.974	-163.4485
25.000000	100.990	-163.9814
25.400000	101.008	-164.7099
25.799999	101.020	-165.4358
26.200001	101.028	-166.1414
26.500000	101.034	-166.6573
26.900000	101.042	-167.3350
27.200001	101.048	-167.8387
27.600000	101.052	-168.4978
28.000000	101.053	-169.1284
28.500000	101.055	-169.8664
29.000000	101.061	-170.5763
29.500000	101.070	-171.3067
30.000000	101.073	-172.0700
30.400000	101.069	-172.6822
30.700001	101.064	-173.1309
31.100000	101.058	-173.7173
31.500000	101.055	-174.3075
32.000000	101.053	-175.0712
32.500000	101.044	-175.8340
33.000000	101.025	-176.5244
33.500000	101.006	-177.1110
34.000000	100.995	-177.6481
34.500000	100.987	-178.2148
35.000000	100.976	-178.8297
35.500000	100.957	-179.4486
36.000000	100.937	179.9672
36.500000	100.923	179.4123
37.000000	100.914	178.8692
37.500000	100.903	178.3437
38.200001	100.889	177.6544
38.700001	100.880	177.1625
39.500000	100.858	176.3062
40.000000	100.833	175.7629
40.599998	100.799	175.1702
41.200001	100.773	174.6368
41.799999	100.757	174.1073
42.500000	100.736	173.4680
43.099998	100.710	172.9226
43.700001	100.681	172.3778
44.400002	100.647	171.7254
45.000000	100.620	171.1774
45.500000	100.598	170.7527
46.200001	100.567	170.1985
46.799999	100.533	169.7318
47.500000	100.487	169.1714
48.200001	100.449	168.5662
48.700001	100.428	168.1244
49.400002	100.394	167.5978
50.000000	100.362	167.2574
50.799999	100.312	166.7294
51.500000	100.259	166.0954
52.200001	100.251	165.4518
53.000000	100.347	164.6038
53.799999	100.418	163.5641
54.500000	100.340	163.0571
55.200001	100.190	163.1769
56.000000	100.056	163.2826
57.000000	99.949	162.6252
58.000000	99.903	161.9261
59.000000	99.874	161.3259
60.000000	99.785	160.7965
60.799999	99.722	160.4025
61.500000	99.684	159.9843
62.200001	99.644	159.5811
63.000000	99.590	159.2255
64.000000	99.524	158.8059
65.000000	99.464	158.2984
66.000000	99.407	157.7701
67.000000	99.341	157.2649
68.000000	99.267	156.7975
69.000000	99.208	156.3388
70.000000	99.155	155.8727
71.000000	99.087	155.4798
72.000000	99.006	155.1521
73.000000	98.927	154.7913
74.000000	98.857	154.3937
75.000000	98.794	153.9948
