* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 8:42:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Zero RED Bass+ Wide L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.335	-152.1284
20.600000	100.366	-152.7831
20.900000	100.397	-153.4927
21.200001	100.427	-154.2034
21.400000	100.446	-154.6746
21.799999	100.484	-155.6086
22.000000	100.503	-156.0709
22.400000	100.540	-156.9856
22.700001	100.564	-157.6604
23.000000	100.585	-158.3198
23.299999	100.602	-158.9569
23.600000	100.616	-159.5650
24.000000	100.635	-160.3273
24.299999	100.650	-160.8689
24.700001	100.675	-161.5718
25.000000	100.696	-162.0995
25.400000	100.722	-162.8151
25.799999	100.743	-163.5350
26.200001	100.757	-164.2341
26.500000	100.764	-164.7321
26.900000	100.772	-165.3618
27.200001	100.779	-165.8211
27.600000	100.789	-166.4399
28.000000	100.797	-167.0790
28.500000	100.801	-167.8871
29.000000	100.802	-168.6639
29.500000	100.809	-169.4085
30.000000	100.824	-170.1721
30.400000	100.835	-170.8156
30.700001	100.838	-171.3022
31.100000	100.833	-171.9173
31.500000	100.822	-172.4572
32.000000	100.811	-173.0308
32.500000	100.814	-173.5803
33.000000	100.824	-174.2036
33.500000	100.826	-174.9037
34.000000	100.816	-175.5954
34.500000	100.801	-176.1989
35.000000	100.793	-176.7156
35.500000	100.797	-177.2137
36.000000	100.804	-177.7546
36.500000	100.803	-178.3438
37.000000	100.792	-178.9444
37.500000	100.775	-179.5236
38.200001	100.753	179.6964
38.700001	100.741	179.1343
39.500000	100.719	178.2329
40.000000	100.704	177.7040
40.599998	100.688	177.1174
41.200001	100.678	176.5500
41.799999	100.668	175.9724
42.500000	100.648	175.3028
43.099998	100.623	174.7543
43.700001	100.596	174.2117
44.400002	100.562	173.5515
45.000000	100.535	172.9737
45.500000	100.515	172.5107
46.200001	100.495	171.9163
46.799999	100.480	171.4431
47.500000	100.455	170.8876
48.200001	100.417	170.3106
48.700001	100.391	169.8913
49.400002	100.369	169.2811
50.000000	100.354	168.7468
50.799999	100.309	168.1910
51.500000	100.258	167.8729
52.200001	100.217	167.2968
53.000000	100.138	166.0528
53.799999	100.014	164.9849
54.500000	99.965	164.7461
55.200001	100.003	164.7532
56.000000	100.040	164.5303
57.000000	99.983	164.0654
58.000000	99.916	163.4195
59.000000	99.874	162.4240
60.000000	99.811	161.5788
60.799999	99.763	161.2557
61.500000	99.738	161.0597
62.200001	99.712	160.7830
63.000000	99.665	160.3961
64.000000	99.603	159.8810
65.000000	99.546	159.2668
66.000000	99.483	158.7110
67.000000	99.430	158.2540
68.000000	99.377	157.7458
69.000000	99.314	157.2599
70.000000	99.257	156.7929
71.000000	99.198	156.2669
72.000000	99.132	155.7686
73.000000	99.065	155.3263
74.000000	98.997	154.9247
75.000000	98.934	154.5218
76.199997	98.860	153.9989
77.500000	98.774	153.4775
78.800003	98.681	153.0049
80.000000	98.599	152.5437
81.199997	98.529	152.0905
82.500000	98.453	151.6422
83.800003	98.367	151.1904
85.000000	98.284	150.7575
86.199997	98.206	150.3667
87.500000	98.122	149.9470
88.500000	98.051	149.6201
90.000000	97.943	149.1602
91.199997	97.863	148.8391
92.500000	97.776	148.5053
93.800003	97.684	148.1538
95.000000	97.600	147.8300
96.199997	97.522	147.5527
97.500000	97.440	147.2793
98.800003	97.354	147.0105
100.000000	97.271	146.7513
101.500000	97.163	146.4114
103.000000	97.059	146.1504
104.400002	96.960	145.9768
106.000000	96.846	145.7182
107.500000	96.751	145.4105
109.000000	96.652	145.1526
110.599998	96.546	144.8920
112.000000	96.457	144.7137
113.800003	96.334	144.5296
115.000000	96.251	144.4002
117.199997	96.094	144.2390
118.000000	96.031	144.2028
120.599998	95.833	144.0984
122.000000	95.758	143.9761
124.099998	95.654	143.6267
125.000000	95.609	143.4226
126.500000	95.516	143.2525
128.000000	95.395	143.2883
131.500000	95.152	143.3943
132.000000	95.116	143.4053
134.000000	94.964	143.4915
