* Measurement data measured by REW V5.31.3
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.295
* Format: 256k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 8:58:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Zero RED Bass+ Wide R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.669	-154.4056
20.600000	100.683	-154.9781
20.900000	100.700	-155.5793
21.200001	100.723	-156.1845
21.400000	100.742	-156.6016
21.799999	100.787	-157.4870
22.000000	100.809	-157.9538
22.400000	100.848	-158.9057
22.700001	100.870	-159.6006
23.000000	100.885	-160.2511
23.299999	100.897	-160.8470
23.600000	100.909	-161.3960
24.000000	100.928	-162.0948
24.299999	100.945	-162.6273
24.700001	100.968	-163.3792
25.000000	100.981	-163.9727
25.400000	100.992	-164.7728
25.799999	100.996	-165.5381
26.200001	101.000	-166.2392
26.500000	101.007	-166.7272
26.900000	101.022	-167.3568
27.200001	101.036	-167.8361
27.600000	101.052	-168.5023
28.000000	101.058	-169.1889
28.500000	101.050	-170.0215
29.000000	101.033	-170.7729
29.500000	101.022	-171.4569
30.000000	101.023	-172.1435
30.400000	101.029	-172.7291
30.700001	101.033	-173.1867
31.100000	101.037	-173.8009
31.500000	101.040	-174.3972
32.000000	101.043	-175.1084
32.500000	101.046	-175.8015
33.000000	101.043	-176.4883
33.500000	101.030	-177.1455
34.000000	101.009	-177.7439
34.500000	100.990	-178.2903
35.000000	100.976	-178.8249
35.500000	100.964	-179.3794
36.000000	100.950	-179.9529
36.500000	100.932	179.4732
37.000000	100.911	178.9086
37.500000	100.889	178.3502
38.200001	100.860	177.5725
38.700001	100.844	177.0225
39.500000	100.825	176.1611
40.000000	100.813	175.6439
40.599998	100.793	175.0591
41.200001	100.767	174.5129
41.799999	100.738	173.9826
42.500000	100.704	173.3560
43.099998	100.678	172.8177
43.700001	100.655	172.2960
44.400002	100.628	171.7020
45.000000	100.602	171.1763
45.500000	100.577	170.7234
46.200001	100.539	170.1081
46.799999	100.511	169.6245
47.500000	100.482	169.0912
48.200001	100.443	168.5753
48.700001	100.410	168.2138
49.400002	100.368	167.6725
50.000000	100.339	167.1685
50.799999	100.299	166.6029
51.500000	100.266	166.2408
52.200001	100.210	165.7734
53.000000	100.075	165.1458
53.799999	99.940	164.8267
54.500000	99.928	164.6056
55.200001	99.976	164.0341
56.000000	99.986	163.2272
57.000000	99.942	162.5933
58.000000	99.897	161.9814
59.000000	99.817	161.4879
60.000000	99.748	161.1837
60.799999	99.701	160.7007
61.500000	99.652	160.1457
62.200001	99.608	159.6375
63.000000	99.567	159.1804
64.000000	99.510	158.7218
65.000000	99.444	158.2546
66.000000	99.380	157.7253
67.000000	99.315	157.2326
68.000000	99.251	156.7849
69.000000	99.186	156.3130
70.000000	99.120	155.8590
71.000000	99.053	155.4763
72.000000	98.985	155.1088
73.000000	98.916	154.7176
74.000000	98.848	154.3385
75.000000	98.781	153.9855
76.199997	98.698	153.5521
77.500000	98.613	153.0548
78.800003	98.531	152.6251
80.000000	98.447	152.2835
81.199997	98.359	151.8982
82.500000	98.272	151.4663
83.800003	98.187	151.0952
85.000000	98.100	150.7711
86.199997	98.014	150.4691
87.500000	97.926	150.1448
88.500000	97.856	149.8929
90.000000	97.749	149.5406
91.199997	97.666	149.2790
92.500000	97.576	149.0187
93.800003	97.486	148.7580
95.000000	97.404	148.5158
96.199997	97.325	148.2834
97.500000	97.236	148.0646
98.800003	97.147	147.8723
100.000000	97.064	147.6927
101.500000	96.958	147.4896
103.000000	96.852	147.2604
104.400002	96.757	147.0524
106.000000	96.659	146.9094
107.500000	96.560	146.7953
109.000000	96.458	146.6532
110.599998	96.355	146.5226
112.000000	96.263	146.4411
113.800003	96.145	146.3392
115.000000	96.070	146.2768
117.199997	95.937	146.1682
118.000000	95.890	146.1475
120.599998	95.725	146.1935
122.000000	95.629	146.1964
124.099998	95.498	146.1527
125.000000	95.445	146.1553
126.500000	95.360	146.2288
128.000000	95.276	146.2793
131.500000	95.051	146.1651
132.000000	95.013	146.1583
134.000000	94.881	146.1880
136.000000	94.797	146.3493
138.000000	94.708	146.4689
140.000000	94.602	146.6457
143.000000	94.436	147.1578
145.000000	94.330	147.4858
147.500000	94.208	147.8721
150.000000	94.082	148.2245
152.500000	93.977	148.6644
155.000000	93.863	149.1068
157.500000	93.740	149.4179
160.000000	93.624	149.6919
162.500000	93.520	150.0790
165.000000	93.427	150.5304
167.500000	93.283	150.9226
170.000000	93.153	151.2968
172.500000	93.092	151.7094
175.000000	93.031	152.3417
177.500000	92.966	153.0861
180.000000	92.938	153.7372
182.500000	92.889	154.2308
185.000000	92.837	154.6502
187.500000	92.786	155.0704
190.000000	92.730	155.5236
192.500000	92.680	155.8907
195.000000	92.637	156.2337
197.500000	92.594	156.6290
200.000000	92.543	157.0335
203.000000	92.485	157.4755
206.000000	92.427	157.9312
209.000000	92.378	158.3873
212.000000	92.349	158.8644
214.000000	92.327	159.1510
218.000000	92.261	159.7444
220.000000	92.231	160.1060
224.000000	92.183	160.8152
227.000000	92.151	161.2838
230.000000	92.127	161.7476
233.000000	92.101	162.0980
236.000000	92.075	162.4378
240.000000	92.050	162.9483
243.000000	92.035	163.3305
247.000000	92.005	163.8388
250.000000	91.973	164.1676
254.000000	91.951	164.5164
258.000000	91.929	165.0168
262.000000	91.913	165.6631
265.000000	91.907	166.0995
269.000000	91.899	166.5493
272.000000	91.896	166.8257
276.000000	91.890	167.1967
280.000000	91.878	167.5587
285.000000	91.863	168.0357
290.000000	91.850	168.4343
295.000000	91.828	168.7576
300.000000	91.806	169.1016
304.000000	91.786	169.4568
307.000000	91.775	169.7256
311.000000	91.763	170.0380
315.000000	91.745	170.3412
320.000000	91.726	170.7343
325.000000	91.707	171.1600
330.000000	91.690	171.5565
335.000000	91.681	171.9288
340.000000	91.681	172.3310
345.000000	91.674	172.7156
350.000000	91.659	173.0188
355.000000	91.646	173.2970
360.000000	91.631	173.5830
365.000000	91.618	173.8707
370.000000	91.608	174.1941
375.000000	91.595	174.5172
382.000000	91.573	174.9136
387.000000	91.559	175.2137
395.000000	91.543	175.6887
400.000000	91.530	175.9767
406.000000	91.514	176.3264
412.000000	91.499	176.6846
418.000000	91.484	177.0121
425.000000	91.464	177.4322
431.000000	91.447	177.8097
437.000000	91.433	178.1813
444.000000	91.417	178.5803
450.000000	91.405	178.9146
455.000000	91.394	179.2058
462.000000	91.377	179.6084
468.000000	91.363	179.9680
475.000000	91.348	-179.6062
482.000000	91.335	-179.1794
487.000000	91.327	-178.8801
494.000000	91.316	-178.4661
500.000000	91.307	-178.1093
508.000000	91.295	-177.6477
515.000000	91.285	-177.2477
