* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
20.000000	68.378378
20.290907	68.379288
20.586045	68.400782
20.885476	68.422589
21.189262	68.444713
21.497467	68.467159
21.810155	68.489931
22.127391	68.513034
22.449241	68.529973
22.775773	68.547020
23.107054	68.564315
23.443154	68.581861
23.784142	68.599663
24.130091	68.617724
24.481071	68.636047
24.837156	68.651453
25.198421	68.660283
25.564940	68.669242
25.936791	68.678332
26.314050	68.687553
26.696797	68.696909
27.085111	68.706401
27.479073	68.716031
27.878765	68.728044
28.284271	68.740276
28.695675	68.752687
29.113064	68.765277
29.536523	68.778051
29.966142	68.760421
30.402009	68.717917
30.844217	68.732810
31.292856	68.750337
31.748021	68.768119
32.209807	68.779225
32.678309	68.744103
33.153626	68.719931
33.635857	68.737271
34.125101	68.754863
34.621462	68.772710
35.125043	68.778838
35.635949	68.765923
36.154286	68.752819
36.680162	68.739525
37.213687	68.726037
37.754973	68.713967
38.304131	68.705886
38.861278	68.697687
39.426528	68.689369
40.000000	68.680929
40.581813	68.672367
41.172089	68.663681
41.770951	68.654868
42.378524	68.644510
42.994934	68.630718
43.620309	68.616725
44.254781	68.602528
44.898482	68.588125
45.551545	68.569144
46.214108	68.545762
46.886308	68.522040
47.568285	68.500126
48.260181	68.479092
48.962142	68.457752
49.674312	68.434140
50.396842	68.407798
51.129881	68.381073
51.873582	68.354843
52.628101	68.328331
53.393594	68.298703
54.170222	68.263471
54.958146	68.231976
55.757531	68.205642
56.568542	68.178925
57.391351	68.129262
58.226127	68.076350
59.073046	68.027002
59.932283	67.985126
60.804018	67.942642
61.688433	67.895917
62.585712	67.828496
63.496042	67.775533
64.419613	67.693526
65.356618	67.658336
66.307252	67.610648
67.271713	67.540076
68.250203	67.469501
69.242925	67.382055
70.250086	67.335516
71.271897	67.300034
72.308571	67.199609
73.360323	67.116601
74.427374	67.023965
75.509945	66.963965
76.608262	66.903091
77.722555	66.771606
78.853056	66.673604
80.000000	66.593680
81.163627	66.473594
82.344179	66.431243
83.541903	66.309863
84.757048	66.203970
85.989867	66.098116
87.240619	65.996627
88.509563	65.912053
89.796964	65.780536
91.103091	65.640887
92.428216	65.529366
93.772615	65.421627
95.136569	65.350769
96.520362	65.183624
97.924283	65.077734
99.348625	64.971904
100.793684	64.838958
102.259762	64.754253
103.747164	64.620519
105.256202	64.502168
106.787188	64.374988
108.340444	64.280458
109.916292	64.195491
111.515061	64.023624
113.137085	63.916449
114.782702	63.772301
116.452255	63.664768
118.146092	63.593908
119.864566	63.460485
121.608036	63.354638
123.376866	63.248724
125.171424	63.122747
126.992084	63.036984
128.839227	62.897351
130.713236	62.791519
132.614504	62.693067
134.543426	62.632971
136.500406	62.572000
138.485850	62.435569
140.500173	62.329766
142.543795	62.226407
144.617142	62.166402
146.720647	62.105525
148.854748	61.991653
151.019890	61.921074
153.216525	61.850493
155.445111	61.786605
157.706112	61.726100
160.000000	61.647237
162.327254	61.568149
164.688358	61.497558
167.083805	61.412785
